SOUTHERN,,,,,,,,,,,,,,,,
REGION,Total,Arson,Campfire,Debris Burning,,Equip.  Use,,Ltng.,Misc.,Power -line,,P-W-F,Railroad,Smoking,Undet.,Vehicle
Fresno,"$109,085","$2,000",$500,$200,,"$15,650",,$0,"$62,335","$5,200",,$0,$0,$0,"$3,200","$20,000"
Kings,"$1,200",$0,$0,$0,,"$1,000",,$0,$200,$0,,$0,$0,$0,$0,$0
Fresno-Kings,"$110,285","$2,000",$500,$200,,"$16,650",,$0,"$62,535","$5,200",,$0,$0,$0,"$3,200","$20,000"
Madera,"$26,145",$200,$0,$100,,"$2,025",,$0,$500,"$15,000",,$0,$0,$0,"$8,320",$0
Mariposa,"$14,003",$0,$0,"$10,001",,$100,,$0,$2,"$3,400",,$0,$0,$0,$500,$0
Merced,"$81,080",$0,$0,$0,,"$60,000",,$0,$0,$0,,$0,$0,$0,"$9,780","$11,300"
Madera-Mariposa,"$121,228",$200,$0,"$10,101",,"$62,125",,$0,$502,"$18,400",,$0,$0,$0,"$18,600","$11,300"
Riverside,"$335,600",$0,$0,$0,,"$157,600",,$0,"$51,000","$17,000",,$0,$0,$0,"$51,000","$59,000"
Riverside,"$335,600",$0,$0,$0,,"$157,600",,$0,"$51,000","$17,000",,$0,$0,$0,"$51,000","$59,000"
Monterey,"$165,076",$250,$0,$400,,$220,,$0,"$132,586","$30,420",,$0,$0,$0,"$1,100",$100
San Benito,"$8,215",$0,$0,$0,,"$3,195",,$0,$20,$0,,$0,$0,$0,"$5,000",$0
San Benito-,,,,,,,,,,,,,,,,
Monterey,"$173,291",$250,$0,$400,,"$3,415",,$0,"$132,606","$30,420",,$0,$0,$0,"$6,100",$100
Inyo,"$20,007",$0,$0,$0,,"$20,000",,$0,$0,$0,,$0,$0,$0,$7,$0
San Bernardino,"$419,810",$0,$0,$0,,"$39,002",,$0,$108,$0,,$0,$0,$0,"$380,700",$0
San Bernardino,"$439,817",$0,$0,$0,,"$59,002",,$0,$108,$0,,$0,$0,$0,"$380,707",$0
San Diego,"$341,962","$5,000",$0,$0,,"$99,800",,$0,"$232,162",$500,,$0,$0,$0,"$3,500","$1,000"
San Diego,"$341,962","$5,000",$0,$0,,"$99,800",,$0,"$232,162",$500,,$0,$0,$0,"$3,500","$1,000"
San Luis Obispo,"$123,200",$0,$0,$0,,"$89,300",,$0,"$28,900","$3,000",,$0,$0,$0,"$2,000",$0
San Luis,,,,,,,,,,,,,,,,
Obispo,"$123,200",$0,$0,$0,,"$89,300",,$0,"$28,900","$3,000",,$0,$0,$0,"$2,000",$0
Tulare,"$76,685","$2,425",$0,$100,,"$24,460",,"$1,000","$12,000",$500,,$0,$0,$0,"$36,200",$0
Tulare,"$76,685","$2,425",$0,$100,,"$24,460",,"$1,000","$12,000",$500,,$0,$0,$0,"$36,200",$0
Calaveras,"$322,326",$100,$0,"$59,076",,"$44,300",,"$2,000","$170,975","$20,000",,$0,$0,"$4,800","$21,075",$0
E. San Joaquin,"$13,210",$100,$0,$0,,"$7,000",,$0,"$6,110",$0,,$0,$0,$0,$0,$0
E. Stanislaus,"$376,795","$103,200",$35,$0,,"$8,800",,"$224,400","$17,250",$600,,$0,$0,$0,"$13,310","$9,200"
Tuolumne,"$644,582",$900,$0,"$1,831",,,$0,$0,"$604,567",$600,,$0,$0,$0,"$35,484","$1,200"
Tuolumne-,,,,,,,,,,,,,,,,
Calaveras,"$1,356,913","$104,300",$35,"$60,907",,"$60,100",,"$226,400","$798,902","$21,200",,$0,$0,"$4,800","$69,869","$10,400"
SOUTHERN,,,,,,,,,,,,,,,,
REGION TOTAL,"$3,078,981","$114,175",$535,"$71,708",,"$572,452",,"$227,400","$1,318,715","$96,220",,$0,$0,"$4,800","$571,176","$101,800"
STATE TOTAL,"$7,222,651","$254,775",$535,"$145,941",,"$1,284,202",,"$227,724","$3,871,764","$278,281",,$0,$0,"$8,800","$843,929","$306,700"
