REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Amador,"$7,200 ",$0 ,$0 ,$200 ,"$6,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,000 ",$0 ,2012,north 
El Dorado,"$157,152 ","$48,000 ",$0 ,"$4,750 ","$7,000 ",$0 ,"$78,301 ","$7,000 ",$0 ,$0 ,$0 ,"$2,001 ","$10,100 ",2012,north 
Sacramento,"$260,912 ",$0 ,$0 ,$0 ,"$125,012 ",$0 ,"$135,900 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Amador-El Dorado,"$425,264 ","$48,000 ",$0 ,"$4,950 ","$138,012 ",$0 ,"$214,201 ","$7,000 ",$0 ,$0 ,$0 ,"$3,001 ","$10,100 ",2012,north 
Butte,"$436,760 ",$0 ,$0 ,"$10,050 ",$700 ,$0 ,"$300,000 ","$5,500 ",$10 ,$0 ,$0 ,"$60,900 ","$59,600 ",2012,north 
Tehama,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$0 ,2012,north 
Butte,"$441,760 ",$0 ,$0 ,"$10,050 ",$700 ,$0 ,"$300,000 ","$5,500 ",$10 ,$0 ,$0 ,"$65,900 ","$59,600 ",2012,north 
Del Norte,"$108,305 ","$100,000 ",$0 ,$200 ,$0 ,$0 ,$105 ,$0 ,$0 ,$0 ,$0 ,"$8,000 ",$0 ,2012,north 
Humboldt,"$43,000 ",$0 ,$500 ,$0 ,$0 ,$0 ,$0 ,"$16,000 ",$0 ,$0 ,$0 ,"$11,500 ","$15,000 ",2012,north 
Humboldt-Del Norte,"$151,305 ","$100,000 ",$500 ,$200 ,$0 ,$0 ,$105 ,"$16,000 ",$0 ,$0 ,$0 ,"$19,500 ","$15,000 ",2012,north 
Lassen,"$422,912 ",$0 ,$0 ,$500 ,$0 ,$0 ,"$422,380 ",$0 ,$0 ,$0 ,$0 ,$2 ,$30 ,2012,north 
Modoc,$50 ,$0 ,$0 ,$0 ,$0 ,$0 ,$50 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Plumas,$5 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$5 ,$0 ,2012,north 
Lassen-Modoc,"$422,967 ",$0 ,$0 ,$500 ,$0 ,$0 ,"$422,430 ",$0 ,$0 ,$0 ,$0 ,$7 ,$30 ,2012,north 
Mendocino,"$1,271,921 ",$0 ,"$4,618 ",$500 ,$300 ,$0 ,"$1,001 ","$1,260,000 ",$2 ,$0 ,$0 ,$0 ,"$5,500 ",2012,north 
Mendocino,"$1,271,921 ",$0 ,"$4,618 ",$500 ,$300 ,$0 ,"$1,001 ","$1,260,000 ",$2 ,$0 ,$0 ,$0 ,"$5,500 ",2012,north 
Nevada,"$68,830 ",$0 ,$0 ,"$20,800 ","$2,080 ",$0 ,"$3,000 ","$19,200 ",$0 ,$0 ,$0 ,$50 ,"$23,700 ",2012,north 
Placer,"$225,355 ","$110,000 ",$0 ,"$6,500 ",$0 ,$0 ,"$2,102 ",$0 ,$0 ,$0 ,$0 ,"$2,551 ","$104,202 ",2012,north 
Sierra,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Yuba,"$287,200 ",$0 ,$0 ,$0 ,"$2,100 ",$0 ,$0 ,"$35,000 ",$0 ,$0 ,$0 ,$0 ,"$250,100 ",2012,north 
Nevada-Yuba-Placer,"$581,385 ","$110,000 ",$0 ,"$27,300 ","$4,180 ",$0 ,"$5,102 ","$54,200 ",$0 ,$0 ,$0 ,"$2,601 ","$378,002 ",2012,north 
San Mateo,"$25,102 ",$0 ,"$20,000 ",$0 ,$0 ,$0 ,$100 ,"$5,002 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Santa Cruz,"$69,670 ",$0 ,$60 ,"$45,000 ","$1,000 ",$0 ,$0 ,$110 ,$0 ,$0 ,$0 ,$0 ,"$23,500 ",2012,north 
San Mateo-Santa Cruz,"$94,772 ",$0 ,"$20,060 ","$45,000 ","$1,000 ",$0 ,$100 ,"$5,112 ",$0 ,$0 ,$0 ,$0 ,"$23,500 ",2012,north 
Alameda,"$17,100 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,500 ","$14,000 ",$0 ,$0 ,$0 ,"$1,600 ",$0 ,2012,north 
Contra Costa,"$17,451 ",$1 ,$0 ,$0 ,"$15,000 ",$0 ,"$2,000 ",$200 ,$0 ,$0 ,$0 ,$250 ,$0 ,2012,north 
Santa Clara,"$4,302 ",$0 ,$0 ,"$3,000 ",$0 ,$0 ,$100 ,$0 ,$0 ,$0 ,$0 ,$202 ,"$1,000 ",2012,north 
W. San Joaquin,"$20,600 ",$0 ,$0 ,$0 ,$0 ,$0 ,$600 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$20,000 ",2012,north 
W. Stanislaus,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Santa Clara,"$59,453 ",$1 ,$0 ,"$3,000 ","$15,000 ",$0 ,"$4,200 ","$14,200 ",$0 ,$0 ,$0 ,"$2,052 ","$21,000 ",2012,north 
E. Trinity,"$5,400 ","$3,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,"$1,700 ",2012,north 
Shasta,"$84,700 ",$0 ,$500 ,"$1,000 ","$8,900 ",$100 ,$0 ,"$60,200 ",$0 ,$0 ,$0 ,"$2,500 ","$11,500 ",2012,north 
Shasta-Trinity,"$90,100 ","$3,500 ",$500 ,"$1,000 ","$8,900 ",$100 ,$0 ,"$60,200 ",$0 ,$0 ,$0 ,"$2,700 ","$13,200 ",2012,north 
Shasta,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Siskiyou,"$11,415 ",$0 ,"$1,000 ","$4,815 ",$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,$0 ,"$5,500 ",$0 ,2012,north 
Siskiyou,"$11,415 ",$0 ,"$1,000 ","$4,815 ",$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,$0 ,"$5,500 ",$0 ,2012,north 
Colusa,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Lake,"$3,274,740 ",$0 ,$0 ,"$67,000 ",$20 ,$0 ,$0 ,"$2,000,020 ",$0 ,$0 ,$0 ,"$1,202,700 ","$5,000 ",2012,north 
Napa,"$87,603 ",$0 ,$0 ,"$6,000 ","$3,000 ",$0 ,$0 ,"$13,500 ",$0 ,$0 ,$0 ,$103 ,"$65,000 ",2012,north 
Solano,"$2,512 ",$400 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$900 ,$12 ,$0 ,2012,north 
Sonoma,"$691,886 ","$3,000 ",$0 ,$0 ,$51 ,$0 ,$300 ,"$1,900 ",$0 ,$0 ,$0 ,"$101,535 ","$585,100 ",2012,north 
Yolo,$4 ,$0 ,$0 ,$0 ,$4 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Sonoma-Lake-Napa,"$4,056,745 ","$3,400 ","$1,000 ","$73,000 ","$3,075 ",$0 ,$300 ,"$2,015,620 ",$0 ,$0 ,$900 ,"$1,304,350 ","$655,100 ",2012,north 
Glenn,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,2012,north 
Tehama,"$16,489,420 ",$200 ,$20 ,"$20,400 ","$859,300 ","$15,000,000 ","$540,000 ","$15,000 ",$0 ,$0 ,$0 ,"$42,500 ","$12,000 ",2012,north 
Tehama-Glenn,"$16,489,620 ",$200 ,$20 ,"$20,400 ","$859,300 ","$15,000,000 ","$540,000 ","$15,000 ",$0 ,$0 ,$0 ,"$42,700 ","$12,000 ",2012,north 
Fresno,"$745,291 ",$900 ,$0 ,$0 ,"$18,500 ","$1,320 ","$8,001 ","$10,350 ",$0 ,$0 ,"$4,000 ","$702,020 ",$200 ,2012,south
Kings,"$3,600 ",$0 ,$0 ,$0 ,$0 ,$500 ,$0 ,"$3,100 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,south
Fresno-Kings,"$748,891 ",$900 ,$0 ,$0 ,"$18,500 ","$1,820 ","$8,001 ","$13,450 ",$0 ,$0 ,"$4,000 ","$702,020 ",$200 ,2012,south
Madera,"$9,060 ","$1,450 ",$0 ,$0 ,$500 ,$0 ,$0 ,$500 ,$0 ,$0 ,$0 ,"$6,260 ",$350 ,2012,south
Mariposa,"$80,202 ",$0 ,$0 ,$0 ,$2 ,$0 ,$0 ,"$80,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,south
Merced,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,000 ",$0 ,2012,south
Madera-Mariposa,"$93,262 ","$1,450 ",$0 ,$0 ,$502 ,$0 ,$0 ,"$80,700 ",$0 ,$0 ,$0 ,"$10,260 ",$350 ,2012,south
Riverside,"$1,494,451 ",$0 ,$0 ,"$150,000 ","$650,250 ","$250,500 ","$320,000 ","$11,000 ",$0 ,$0 ,"$2,001 ","$105,200 ","$5,500 ",2012,south
Riverside,"$1,494,451 ",$0 ,$0 ,"$150,000 ","$650,250 ","$250,500 ","$320,000 ","$11,000 ",$0 ,$0 ,"$2,001 ","$105,200 ","$5,500 ",2012,south
Monterey,"$444,355 ","$7,600 ",$0 ,"$3,500 ","$421,836 ",$0 ,"$4,500 ","$2,402 ",$500 ,$0 ,$0 ,$0 ,"$4,017 ",2012,south
San Benito,"$1,480 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,$480 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,south
San Benito-Monterey,"$445,835 ","$8,600 ",$0 ,"$3,500 ","$421,836 ",$0 ,"$4,980 ","$2,402 ",$500 ,$0 ,$0 ,$0 ,"$4,017 ",2012,south
Inyo,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,south
San Bernardino,"$33,300 ",$0 ,$0 ,$250 ,$0 ,$0 ,"$1,150 ","$25,500 ",$0 ,$0 ,$0 ,"$6,200 ",$200 ,2012,south
San Bernardino,"$33,300 ",$0 ,$0 ,$250 ,$0 ,$0 ,"$1,150 ","$25,500 ",$0 ,$0 ,$0 ,"$6,200 ",$200 ,2012,south
San Diego,"$1,011,115 ",$0 ,$0 ,$0 ,$2 ,$2 ,"$100,000 ","$10,700 ",$0 ,$0 ,$0 ,"$900,311 ",$100 ,2012,south
San Diego,"$1,011,115 ",$0 ,$0 ,$0 ,$2 ,$2 ,"$100,000 ","$10,700 ",$0 ,$0 ,$0 ,"$900,311 ",$100 ,2012,south
San Luis Obispo,"$43,800 ",$0 ,$0 ,$0 ,"$6,500 ",$0 ,$150 ,"$22,000 ",$0 ,$0 ,$0 ,$650 ,"$14,500 ",2012,south
San Luis Obispo,"$43,800 ",$0 ,$0 ,$0 ,"$6,500 ",$0 ,$150 ,"$22,000 ",$0 ,$0 ,$0 ,$650 ,"$14,500 ",2012,south
Tulare,"$8,906 ",$251 ,$0 ,$0 ,$275 ,$5 ,$100 ,"$1,050 ",$0 ,$0 ,$0 ,"$7,225 ",$0 ,2012,south
Calaveras,"$166,265 ","$10,177 ",$0 ,"$3,989 ","$101,861 ","$29,400 ","$5,571 ",$605 ,$277 ,$0 ,$0 ,"$13,485 ",$900 ,2012,south
E. San Joaquin,"$17,900 ","$2,200 ",$0 ,$200 ,"$14,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$800 ,$0 ,2012,south
E. Stanislaus,"$3,875 ",$0 ,$0 ,$250 ,$600 ,$0 ,$600 ,$0 ,$0 ,$0 ,$0 ,"$2,325 ",$100 ,2012,south
Tuolumne,"$48,893 ",$0 ,$0 ,$900 ,$802 ,"$3,100 ",$0 ,"$1,701 ","$4,820 ",$0 ,$0 ,"$37,370 ",$200 ,2012,south
Tuolumne-Calaveras,"$236,933 ","$12,377 ",$0 ,"$5,339 ","$117,963 ","$32,500 ","$6,171 ","$2,306 ","$5,097 ",$0 ,$0 ,"$53,980 ","$1,200 ",2012,south
