SOUTHERN REGION,,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Fresno,,"$58,000","$7,000",$0,$0,,"$17,000",,"$11,300",,$500,"$10,000",$0,$0,$0,"$12,200",$0
Kings,,$0,$0,$0,$0,,$0,,$0,,$0,$0,$0,$0,$0,$0,$0
Fresno-Kings,,"$58,000","$7,000",$0,$0,,"$17,000",,"$11,300",,$500,"$10,000",$0,$0,$0,"$12,200",$0
Madera,,"$12,650",$400,$100,$0,,$0,,"$7,250",,$0,$0,$0,$0,$0,"$4,800",$100
Mariposa,,$400,$0,$0,$0,,$0,,$300,,$0,$0,$0,$0,$0,$0,$100
Merced,,$0,$0,$0,$0,,$0,,$0,,$0,$0,$0,$0,$0,$0,$0
Madera-Mariposa,,"$13,050",$400,$100,$0,,$0,,"$7,550",,$0,$0,$0,$0,$0,"$4,800",$200
Riverside,,"$7,978,346",$0,$0,"$2,000",,"$1,138,100",,"$11,200",,$0,"$404,448",$0,$0,$0,"$3,188,148","$3,234,450"
Riverside,,"$7,978,346",$0,$0,"$2,000",,"$1,138,100",,"$11,200",,$0,"$404,448",$0,$0,$0,"$3,188,148","$3,234,450"
Monterey,,"$3,875",$0,$2,$50,,"$2,000",,$40,,$0,"$1,001",$0,$0,$1,$0,$781
San Benito,,"$22,600",$0,$0,"$5,000",,$0,,"$8,000",,$0,"$1,000",$0,$0,$0,$0,"$8,600"
San Benito-,,,,,,,,,,,,,,,,,
Monterey,,"$26,475",$0,$2,"$5,050",,"$2,000",,"$8,040",,$0,"$2,001",$0,$0,$1,$0,"$9,381"
Inyo,,"$60,350",$0,$0,$0,,"$10,000",,$0,,$0,$0,$0,$0,$0,$350,"$50,000"
San Bernardino,,"$7,326",$0,$0,$0,,$0,,"$5,000",,$300,"$2,000",$0,$25,$0,$1,$0
San Bernardino,,"$67,676",$0,$0,$0,,"$10,000",,"$5,000",,$300,"$2,000",$0,$25,$0,$351,"$50,000"
San Diego,,"$277,957",$0,"$1,300",$0,,"$1,500",,"$70,200",,$0,$2,$1,$0,$0,"$202,154","$2,800"
San Diego,,"$277,957",$0,"$1,300",$0,,"$1,500",,"$70,200",,$0,$2,$1,$0,$0,"$202,154","$2,800"
San Luis Obispo,,"$41,050",$0,$0,$0,,"$11,300",,"$1,550",,$0,"$1,100",$0,$0,$0,"$7,600","$19,500"
San Luis Obispo,,"$41,050",$0,$0,$0,,"$11,300",,"$1,550",,$0,"$1,100",$0,$0,$0,"$7,600","$19,500"
Tulare,,"$30,920","$15,000",$0,$0,,$500,,"$15,400",,$0,$0,$0,$0,$0,$20,$0
"",Tulare,"$30,920","$15,000",$0,$0,,$500,,"$15,400",,$0,$0,$0,$0,$0,$20,$0
Calaveras,,"$48,644",$402,$125,"$1,592",,"$9,720",,"$13,100",,$0,"$6,600",$0,$0,$100,"$14,205","$2,800"
E. San Joaquin,,"$75,500",$0,$0,$0,,$0,,"$70,000",,$0,$0,$0,$0,$0,"$5,500",$0
E. Stanislaus,,"$11,880",$210,$0,$0,,"$5,000",,$50,,$0,$0,$0,$0,$0,"$6,620",$0
Tuolumne,,"$107,172",$0,$100,$802,,"$35,650",,"$66,850",,$0,$510,$0,$0,$600,"$1,110","$1,550"
Tuolumne-,,,,,,,,,,,,,,,,,
Calaveras,,"$243,196",$612,$225,"$2,394",,"$50,370",,"$150,000",,$0,"$7,110",$0,$0,$700,"$27,435","$4,350"
SOUTHERN,,,,,,,,,,,,,,,,,
REGION TOTAL,,"$8,736,670","$23,012","$1,627","$9,444",,"$1,230,770",,"$280,240",,$800,"$426,661",$1,$25,$701,"$3,442,708","$3,320,681"
STATE TOTAL,,"$29,799,753","$147,226","$23,729","$124,009",,"$11,396,249",,"$877,794",,"$33,389","$2,333,144","$6,637",$25,"$668,309","$10,625,298","$3,563,944"
