SOUTHERN REGION,,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,,P-W-F,Railroad,Smoking,Undet.,Vehicle
Fresno,,"$1,017,700","$12,260",$0,$140,,"$5,100",,"$1,000,000",,$0,$0,,$0,$0,$0,$0,$200
Kings,,$0,$0,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$0,$0
Fresno-Kings,,"$1,017,700","$12,260",$0,$140,,"$5,100",,"$1,000,000",,$0,$0,,$0,$0,$0,$0,$200
Madera,,"$5,807,684","$1,000",$0,$0,,$0,,$500,,$0,"$2,901,332",,$0,$2,$0,"$2,900,450","$4,400"
Mariposa,,"$30,000",$0,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,"$10,000","$20,000"
Merced,,$0,$0,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$0,$0
Madera-Mariposa,,"$5,837,684","$1,000",$0,$0,,$0,,$500,,$0,"$2,901,332",,$0,$2,$0,"$2,910,450","$24,400"
Riverside,,"$275,802",$0,$200,$0,,"$10,000",,$600,,$2,$0,,$0,$0,$0,"$261,000","$4,000"
Riverside,,"$275,802",$0,$200,$0,,"$10,000",,$600,,$2,$0,,$0,$0,$0,"$261,000","$4,000"
Monterey,,"$2,180",$0,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$180,"$2,000"
San Benito,,"$1,700",$0,$0,$500,,"$1,000",,,$0,$0,$100,,$0,$0,$0,$100,$0
San Benito-,,,,,,,,,,,,,,,,,,
Monterey,,"$3,880",$0,$0,$500,,"$1,000",,,$0,$0,$100,,$0,$0,$0,$280,"$2,000"
Inyo,,"$100,000",$0,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$0,"$100,000"
San Bernardino,,"$5,485",$0,$0,$300,,$0,,$10,,$0,$0,,$175,$0,$0,$0,"$5,000"
San Bernardino,,"$105,485",$0,$0,$300,,$0,,$10,,$0,$0,,$175,$0,$0,$0,"$105,000"
San Diego,,"$666,154",$0,$0,$0,,$0,,,$2,$0,$150,,$0,$0,$0,"$606,700","$59,302"
San Diego,,"$666,154",$0,$0,$0,,$0,,,$2,$0,$150,,$0,$0,$0,"$606,700","$59,302"
San Luis Obispo,,"$4,190",$0,$50,$0,,$0,,$900,,$0,"$1,000",,$0,$0,$0,"$1,240","$1,000"
San Luis Obispo,,"$4,190",$0,$50,$0,,$0,,$900,,$0,"$1,000",,$0,$0,$0,"$1,240","$1,000"
Tulare,,"$243,754","$91,754","$150,000",$0,,"$1,000",,"$1,000",,$0,$0,,$0,$0,$0,$0,$0
"",Tulare,"$243,754","$91,754","$150,000",$0,,"$1,000",,"$1,000",,$0,$0,,$0,$0,$0,$0,$0
Calaveras,,"$163,589",$0,$112,$980,,"$30,100",,"$77,450",,"$2,025",$500,,$620,$0,$25,"$23,575","$28,202"
E. San Joaquin,,"$9,605",$0,$0,$0,,"$3,000",,"$3,800",,$0,"$2,200",,$0,$0,$0,$0,$605
E. Stanislaus,,"$10,586",$0,$0,$0,,$0,,"$1,400",,$0,$50,,$0,$0,$0,"$5,136","$4,000"
Tuolumne,,"$499,363",$404,$0,"$3,700",,"$3,204",,"$1,000",,"$2,300",$0,,$0,$0,$0,"$433,454","$55,301"
Tuolumne-,,,,,,,,,,,,,,,,,,
Calaveras,,"$683,143",$404,$112,"$4,680",,"$36,304",,"$83,650",,"$4,325","$2,750",,$620,$0,$25,"$462,165","$88,108"
SOUTHERN,,,,,,,,,,,,,,,,,,
REGION TOTAL,,"$8,837,792","$105,418","$150,362","$5,620",,"$53,404",,"$1,086,662",,"$4,327","$2,905,332",,$795,$2,$25,"$4,241,835","$284,010"
STATE TOTAL,,"$20,034,168","$124,728","$178,532","$871,288",,"$177,610",,"$3,287,027",,"$565,850","$4,156,891",,"$10,795",$0,"$1,847,625","$6,565,898","$2,247,924"
