SOUTHERN,,,,,,,,,,,,,,,,
REGION,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip.Use,,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Fresno,"$11,675",$900,$0,$0,,"$2,300",,,$0,$500,$375,$0,$0,$0,"$1,600","$6,000"
Kings,$0,$0,$0,$0,,,$0,,$0,$0,$0,$0,$0,$0,$0,$0
Fresno-Kings,"$11,675",$900,$0,$0,,"$2,300",,,$0,$500,$375,$0,$0,$0,"$1,600","$6,000"
Madera,"$101,321",$400,$600,"$35,000",,"$56,020",,,$0,$0,$0,$0,$0,$0,$100,"$9,201"
Mariposa,"$1,000",$500,$200,$0,,,$0,,$0,$0,$0,$0,$0,$0,$300,$0
Merced,"$701,920",$600,$0,$0,,,$0,,$0,"$100,000","$600,000",$0,$0,$0,"$1,300",$20
Madera-Mariposa,"$804,241","$1,500",$800,"$35,000",,"$56,020",,,$0,"$100,000","$600,000",$0,$0,$0,"$1,700","$9,221"
Riverside,"$35,148",$0,$100,$37,,,$11,"$24,000",,$0,"$1,000",$0,$0,$0,"$8,500","$1,500"
Riverside,"$35,148",$0,$100,$37,,,$11,"$24,000",,$0,"$1,000",$0,$0,$0,"$8,500","$1,500"
Monterey,"$10,005,710","$10,000,000",$0,$500,,"$1,200",,$100,,$200,"$1,500",$0,$0,$200,$0,"$2,010"
San Benito,"$15,620",$0,$0,$0,,"$5,000",,"$10,620",,$0,$0,$0,$0,$0,$0,$0
San Benito-,,,,,,,,,,,,,,,,
Monterey,"$10,021,330","$10,000,000",$0,$500,,"$6,200",,"$10,720",,$200,"$1,500",$0,$0,$200,$0,"$2,010"
Inyo,"$15,819,560",$0,$0,$0,,"$3,000",,,$0,$0,$0,$0,$0,$0,"$15,811,560","$5,000"
San Bernardino,"$66,102",$0,$0,$0,,,$0,$200,,$0,$2,"$65,000",$0,$0,$900,$0
San Bernardino,"$15,885,662",$0,$0,$0,,"$3,000",,$200,,$0,$2,"$65,000",$0,$0,"$15,812,460","$5,000"
San Diego,"$144,957",$0,$0,$0,,"$11,407",,,$0,$0,$0,"$30,000",$0,$0,"$88,050","$15,500"
San Diego,"$144,957",$0,$0,$0,,"$11,407",,,$0,$0,$0,"$30,000",$0,$0,"$88,050","$15,500"
San Luis Obispo,"$1,399,900",$0,$100,$0,,"$15,100",,,$0,"$20,000","$440,400",$0,$0,$0,$0,"$924,300"
San Luis Obispo,"$1,399,900",$0,$100,$0,,"$15,100",,,$0,"$20,000","$440,400",$0,$0,$0,$0,"$924,300"
Tulare,"$176,768",$45,$0,$0,,,$2,$500,,"$1,000","$175,201",$0,$0,$0,$20,$0
Tulare,"$176,768",$45,$0,$0,,,$2,$500,,"$1,000","$175,201",$0,$0,$0,$20,$0
Calaveras,"$139,494",$0,$0,"$19,600",,"$8,625",,"$13,000",,"$8,000","$10,110",$100,$0,$0,"$64,643","$15,416"
E. San Joaquin,"$3,175",$0,$0,$0,,,$0,"$2,025",,$0,$400,$0,$0,$0,$150,$600
E. Stanislaus,"$27,330","$2,800",$0,$0,,"$9,380",,"$1,000",,$0,"$1,800",$0,$0,$0,$350,"$12,000"
Tuolumne,"$61,927",$20,$0,$920,,$336,,"$22,247",,$0,"$12,400",$0,$0,$0,$4,"$26,000"
Tuolumne-,,,,,,,,,,,,,,,,
Calaveras,"$231,926","$2,820",$0,"$20,520",,"$18,341",,"$38,272",,"$8,000","$24,710",$100,$0,$0,"$65,147","$54,016"
SOUTHERN,,,,,,,,,,,,,,,,
REGION TOTAL,"$28,711,607","$10,005,265","$1,000","$56,057",,"$112,381",,"$73,692",,"$129,700","$1,243,188","$95,100",$0,$200,"$15,977,477","$1,017,547"
STATE TOTAL,"$3,061,836,666","$18,014,700","$1,800","$337,715",,"$3,000,670,584",,"$8,117,253",,"$197,976","$3,763,541","$100,224",$0,"$14,740","$28,676,071","$1,942,062"
