COUNTY,Total,Arson,,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,,P-W-F,Railroad,Smoking,Undet.,Vehicle
Alameda,"$32,410",$0,,$0,$0,,"$11,300",,"$1,200",,$0,$0,,$0,$0,$0,"$9,910","$10,000"
Alpine,$0,$0,,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$0,$0
Amador,"$307,070",$0,,$0,$0,,"$6,000",,$700,,$0,"$200,000",,$0,$0,$70,"$20,000","$80,300"
Butte,$0,$0,,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$0,$0
Calaveras,"$405,009",$0,,$0,"$1,270",,"$1,400",,"$286,300",,$0,"$1,077",,$0,$0,$20,"$24,786","$90,156"
Colusa,$0,$0,,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$0,$0
Contra Costa,"$11,450",$0,,$0,$0,,$250,,"$1,700",,$0,$0,,$0,$0,$0,"$9,500",$0
Del Norte,$0,$0,,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$0,$0
El Dorado,"$231,015",$850,,$0,"$2,550",,"$50,170",,"$80,000",,$0,"$32,250",,$0,$0,$0,"$60,200","$4,995"
Fresno,"$812,917","$758,025",,$0,"$2,020",,"$3,656",,,$0,$0,$1,,$0,$0,"$25,000","$17,200","$7,015"
Glenn,$0,$0,,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$0,$0
Humboldt,"$1,595,068","$347,901",,$0,$0,,"$270,617",,"$705,000",,$0,"$61,000",,$0,$0,$0,"$210,550",$0
Imperial,$0,$0,,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$0,$0
Inyo,$350,$0,,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$350,$0
Kings,$0,$0,,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$0,$0
Lake,"$105,579,028","$105,260,000",,$0,$0,,"$3,300",,"$150,000",,$0,"$142,728",,$0,$0,$0,"$23,000",$0
Lassen,"$715,300",$0,,$0,$0,,$0,,,$0,$0,"$110,100",,$0,$0,$0,"$400,000","$205,200"
Madera,"$299,925","$10,600",,$0,"$268,350",,"$1,525",,"$15,000",,$0,$100,,$0,$0,$0,"$1,450","$2,900"
Mariposa,"$48,410",$0,,$0,$310,,$0,,"$1,000",,$0,"$1,000",,$0,$0,$0,"$44,100","$2,000"
Mendocino,"$693,434",$0,,$0,$500,,"$153,502",,"$101,002",,$0,"$5,620",,$0,$0,$0,"$152,788","$280,022"
Merced,"$177,500",$0,,$0,"$1,000",,"$150,000",,"$10,000",,$0,$0,,$0,$0,$0,"$1,900","$14,600"
Modoc,"$150,004",$0,,$0,$0,,$0,,,$0,$1,$1,,$0,$2,$0,"$150,000",$0
Mono,$0,$0,,$0,$0,,$0,,,$0,$0,$0,,$0,$0,$0,$0,$0
Monterey,"$11,222,283","$1,000",,"$10,345,582","$776,200",,$101,,$800,,$0,"$3,200",,$0,$0,$0,"$84,400","$11,000"
Napa,"$300,120",$0,,$0,$0,,$120,,,$0,$0,$0,,$0,$0,$0,"$100,000","$200,000"
Nevada,"$1,080,921",$16,,$0,$300,,"$2,002",,$70,,$0,"$1,049,627",,$100,$0,$0,"$28,306",$500
Placer,"$242,200",$0,,$0,"$16,200",,"$2,250",,"$207,000",,$0,$200,,$350,$0,$100,"$16,100",$0
COUNTY,Total,,Arson,,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Plumas,$0,,$0,,$0,$0,,$0,,,$0,$0,$0,$0,$0,$0,$0,$0
Riverside,"$3,620",,$0,,$0,$0,,$0,,$600,,$0,"$1,020",$0,$0,$0,"$2,000",$0
