county,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,P-W-F,Power- line,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Amador,$0 ,$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
El Dorado,$0 ,$0 ,"$2,200 ",$0 ,$0 ,$50 ,$0 ,$0 ,$0 ,$0 ,"$50,400 ",$0 ,2010,north 
Sacramento,$0 ,$0 ,"$1,000 ","$2,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Butte,"$1,500 ",$0 ,$2 ,"$1,350 ",$0 ,"$155,002 ",$0 ,$500 ,$0 ,$0 ,"$301,500 ",$0 ,2010,north 
Plumas,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Tehama,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Del Norte,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Humboldt,$0 ,"$1,200 ",$0 ,$150 ,$0 ,"$275,020 ",$0 ,$700 ,$0 ,$0 ,"$1,800 ",$0 ,2010,north 
Siskiyou,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
W. Trinity,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Lassen,$24 ,$0 ,$2 ,"$60,000 ","$1,201 ","$1,835 ",$0 ,$0 ,$0 ,$18 ,$0 ,$0 ,2010,north 
Modoc,$8 ,$0 ,$4 ,$0 ,"$1,250 ",$52 ,$0 ,$0 ,$0 ,$0 ,$50 ,$0 ,2010,north 
