county,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Amador,$0 ,$0 ,$200 ,"$6,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,000 ",$0 ,2012,north 
El Dorado,"$48,000 ",$0 ,"$4,750 ","$7,000 ",$0 ,"$78,301 ","$7,000 ",$0 ,$0 ,$0 ,"$2,001 ","$10,100 ",2012,north 
Sacramento,$0 ,$0 ,$0 ,"$125,012 ",$0 ,"$135,900 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Butte,$0 ,$0 ,"$10,050 ",$700 ,$0 ,"$300,000 ","$5,500 ",$10 ,$0 ,$0 ,"$60,900 ","$59,600 ",2012,north 
Tehama,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$0 ,2012,north 
Del Norte,"$100,000 ",$0 ,$200 ,$0 ,$0 ,$105 ,$0 ,$0 ,$0 ,$0 ,"$8,000 ",$0 ,2012,north 
Humboldt,$0 ,$500 ,$0 ,$0 ,$0 ,$0 ,"$16,000 ",$0 ,$0 ,$0 ,"$11,500 ","$15,000 ",2012,north 
Lassen,$0 ,$0 ,$500 ,$0 ,$0 ,"$422,380 ",$0 ,$0 ,$0 ,$0 ,$2 ,$30 ,2012,north 
Modoc,$0 ,$0 ,$0 ,$0 ,$0 ,$50 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Plumas,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$5 ,$0 ,2012,north 
Mendocino,$0 ,"$4,618 ",$500 ,$300 ,$0 ,"$1,001 ","$1,260,000 ",$2 ,$0 ,$0 ,$0 ,"$5,500 ",2012,north 
Nevada,$0 ,$0 ,"$20,800 ","$2,080 ",$0 ,"$3,000 ","$19,200 ",$0 ,$0 ,$0 ,$50 ,"$23,700 ",2012,north 
Placer,"$110,000 ",$0 ,"$6,500 ",$0 ,$0 ,"$2,102 ",$0 ,$0 ,$0 ,$0 ,"$2,551 ","$104,202 ",2012,north 
Sierra,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Yuba,$0 ,$0 ,$0 ,"$2,100 ",$0 ,$0 ,"$35,000 ",$0 ,$0 ,$0 ,$0 ,"$250,100 ",2012,north 
San Mateo,$0 ,"$20,000 ",$0 ,$0 ,$0 ,$100 ,"$5,002 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Santa Cruz,$0 ,$60 ,"$45,000 ","$1,000 ",$0 ,$0 ,$110 ,$0 ,$0 ,$0 ,$0 ,"$23,500 ",2012,north 
Alameda,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,500 ","$14,000 ",$0 ,$0 ,$0 ,"$1,600 ",$0 ,2012,north 
Contra Costa,$1 ,$0 ,$0 ,"$15,000 ",$0 ,"$2,000 ",$200 ,$0 ,$0 ,$0 ,$250 ,$0 ,2012,north 
Santa Clara,$0 ,$0 ,"$3,000 ",$0 ,$0 ,$100 ,$0 ,$0 ,$0 ,$0 ,$202 ,"$1,000 ",2012,north 
W. San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$600 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$20,000 ",2012,north 
W. Stanislaus,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
E. Trinity,"$3,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,"$1,700 ",2012,north 
Shasta,$0 ,$500 ,"$1,000 ","$8,900 ",$100 ,$0 ,"$60,200 ",$0 ,$0 ,$0 ,"$2,500 ","$11,500 ",2012,north 
Siskiyou,$0 ,"$1,000 ","$4,815 ",$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,$0 ,"$5,500 ",$0 ,2012,north 
Colusa,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Lake,$0 ,$0 ,"$67,000 ",$20 ,$0 ,$0 ,"$2,000,020 ",$0 ,$0 ,$0 ,"$1,202,700 ","$5,000 ",2012,north 
Napa,$0 ,$0 ,"$6,000 ","$3,000 ",$0 ,$0 ,"$13,500 ",$0 ,$0 ,$0 ,$103 ,"$65,000 ",2012,north 
Solano,$400 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$900 ,$12 ,$0 ,2012,north 
Sonoma,"$3,000 ",$0 ,$0 ,$51 ,$0 ,$300 ,"$1,900 ",$0 ,$0 ,$0 ,"$101,535 ","$585,100 ",2012,north 
Yolo,$0 ,$0 ,$0 ,$4 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north 
Glenn,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,2012,north 
Tehama,$200 ,$20 ,"$20,400 ","$859,300 ","$15,000,000 ","$540,000 ","$15,000 ",$0 ,$0 ,$0 ,"$42,500 ","$12,000 ",2012,north 
Fresno,$900 ,$0 ,$0 ,"$18,500 ","$1,320 ","$8,001 ","$10,350 ",$0 ,$0 ,"$4,000 ","$702,020 ",$200 ,2012,south
Kings,$0 ,$0 ,$0 ,$0 ,$500 ,$0 ,"$3,100 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,south
Madera,"$1,450 ",$0 ,$0 ,$500 ,$0 ,$0 ,$500 ,$0 ,$0 ,$0 ,"$6,260 ",$350 ,2012,south
Mariposa,$0 ,$0 ,$0 ,$2 ,$0 ,$0 ,"$80,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,south
Merced,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,000 ",$0 ,2012,south
Riverside,$0 ,$0 ,"$150,000 ","$650,250 ","$250,500 ","$320,000 ","$11,000 ",$0 ,$0 ,"$2,001 ","$105,200 ","$5,500 ",2012,south
Monterey,"$7,600 ",$0 ,"$3,500 ","$421,836 ",$0 ,"$4,500 ","$2,402 ",$500 ,$0 ,$0 ,$0 ,"$4,017 ",2012,south
San Benito,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$480 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,south
Inyo,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,south
San Bernardino,$0 ,$0 ,$250 ,$0 ,$0 ,"$1,150 ","$25,500 ",$0 ,$0 ,$0 ,"$6,200 ",$200 ,2012,south
San Diego,$0 ,$0 ,$0 ,$2 ,$2 ,"$100,000 ","$10,700 ",$0 ,$0 ,$0 ,"$900,311 ",$100 ,2012,south
San Luis Obispo,$0 ,$0 ,$0 ,"$6,500 ",$0 ,$150 ,"$22,000 ",$0 ,$0 ,$0 ,$650 ,"$14,500 ",2012,south
Tulare,$251 ,$0 ,$0 ,$275 ,$5 ,$100 ,"$1,050 ",$0 ,$0 ,$0 ,"$7,225 ",$0 ,2012,south
