county ,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
Amador,$0 ,$0 ,$601 ,,"$11,000 ",$0 ,"$141,300 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
El Dorado,$0 ,$0 ,"$15,150 ","$3,000 ","$14,601 ",$0 ,"$5,900 ",$0 ,$0 ,"$135,000 ",$300 ,"$44,500 ",2014,north
Sacramento,$0 ,$0 ,$0 ,,$50 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$2 ,2014,north
San Joaquin,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Butte,"$5,700 ",$0 ,"$1,003 ","$4,251 ","$1,578 ",$0 ,"$3,500 ",$0 ,$0 ,"$12,000 ","$105,402 ","$8,300 ",2014,north
Tehama,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Del Norte,$0 ,"$20,000 ",$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$75 ,$0 ,2014,north
Humboldt,$0 ,$0 ,"$220,100 ","$2,500 ","$13,501 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,000 ",$0 ,2014,north
Lassen,$0 ,$200 ,"$200,000 ",,,"$556,221 ",$0 ,$0 ,$0 ,$0 ,$102 ,$0 ,2014,north
Modoc,$0 ,$0 ,$0 ,,,$1 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,2014,north
Plumas,$0 ,$0 ,$1 ,,,$301 ,$0 ,$0 ,$0 ,$0 ,$600 ,$0 ,2014,north
Shasta,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Mendocino,"$1,000 ",$510 ,"$20,100 ","$52,150 ","$1,425,618 ",$0 ,"$666,405 ","$10,000 ",$0 ,$0 ,$200 ,"$5,500 ",2014,north
Mendocino,"$1,000 ",$510 ,"$20,100 ","$52,150 ","$1,425,618 ",$0 ,"$666,405 ","$10,000 ",$0 ,$0 ,$200 ,"$5,500 ",2014,north
Nevada,$100 ,$0 ,"$100,000 ",$100 ,"$1,000 ",$0 ,"$15,000 ",$0 ,$0 ,$0 ,"$501,400 ","$1,010 ",2014,north
Placer,$0 ,"$7,100 ","$2,900 ","$5,600 ","$1,310 ",$0 ,$100 ,$0 ,$0 ,$0 ,"$1,401,600 ",$200 ,2014,north
Sierra,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Sutter,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Yuba,$0 ,$0 ,$100 ,"$21,000 ",,$0 ,"$299,000 ",$0 ,$0 ,"$150,000 ","$3,805 ","$15,000 ",2014,north
San Mateo,$0 ,$0 ,$0 ,$100 ,,$0 ,$2 ,$0 ,$0 ,$0 ,$40 ,$0 ,2014,north
Santa Cruz,$600 ,$360 ,$0 ,"$4,000 ",,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Alameda,$0 ,$0 ,$0 ,"$5,400 ","$200,550 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$17,102 ",$200 ,2014,north  
Contra Costa,$250 ,$0 ,$0 ,"$20,000 ",,$0 ,$250 ,$0 ,$0 ,$0 ,$777 ,"$3,000 ",2014,north  
Santa Clara,$0 ,$0 ,$0 ,$0 ,"$1,100 ",$0 ,$0 ,$0 ,$0 ,"$1,550,500 ",$100 ,$0 ,2014,north  
W. San Joaquin,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north  
W. Stanislaus,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ",$0 ,2014,north  
E. Trinity,$250 ,$0 ,$0 ,$0 ,,$0 ,"$3,000 ",$0 ,$0 ,$0 ,$0 ,"$150,000 ",2014,north  
Shasta,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014,north  
Siskiyou,"$10,300 ",$0 ,$200 ,$0 ,,$0 ,"$61,600 ",$0 ,$0 ,$0 ,"$175,300 ","$150,000 ",2014,north  
Colusa,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north  
Lake,$0 ,$0 ,$5 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,"$55,250 ","$14,000 ",2014,north  
Napa,$100 ,$0 ,"$103,808 ",$100 ,"$5,007 ",$0 ,"$4,000 ",$0 ,$0 ,$100 ,$400 ,"$12,500 ",2014,north  
Solano,$0 ,$0 ,"$1,500 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$8,000 ",2014,north  
Sonoma,$0 ,$0 ,$0 ,$5 ,"$14,350 ",$0 ,$600 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north  
Yolo,$0 ,$0 ,$0 ,$0 ,,$0 ,$302 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ",2014,north  
Glenn,$0 ,$0 ,$0 ,$0 ,,$0 ,$100 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north  
Tehama,$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$500 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014,north  
Tehama-Glenn,$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$600 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014,north  
Fresno,"$12,260 ",$0 ,$140 ,"$5,100 ","$1,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,2014,south 
Kings,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,south 
Madera,"$1,000 ",$0 ,$0 ,$0 ,$500 ,$0 ,"$2,901,332 ",$0 ,$2 ,$0 ,"$2,900,450 ","$4,400 ",2014,south 
Mariposa,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ","$20,000 ",2014,south 
Merced,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,south 
Riverside,$0 ,$200 ,$0 ,"$10,000 ",$600 ,$2 ,$0 ,$0 ,$0 ,$0 ,"$261,000 ","$4,000 ",2014,south 
Monterey,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$180 ,"$2,000 ",2014,south 
San Benito,$0 ,$0 ,$500 ,"$1,000 ",,$0 ,$100 ,$0 ,$0 ,$0 ,$100 ,$0 ,2014,south 
Inyo,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$100,000 ",2014,south 
San Bernardino,$0 ,$0 ,$300 ,$0 ,$10 ,$0 ,$0 ,$175 ,$0 ,$0 ,$0 ,"$5,000 ",2014,south 
San Diego,$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,$150 ,$0 ,$0 ,$0 ,"$606,700 ","$59,302 ",2014,south 
San Luis Obispo,$0 ,$50 ,$0 ,$0 ,$900 ,$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$1,240 ","$1,000 ",2014,south 
Tulare,"$91,754 ","$150,000 ",$0 ,"$1,000 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,south 
E. San Joaquin,$0 ,$0 ,$0 ,"$3,000 ","$3,800 ",$0 ,"$2,200 ",$0 ,$0 ,$0 ,$0 ,$605 ,2014,south 
E. Stanislaus,$0 ,$0 ,$0 ,$0 ,"$1,400 ",$0 ,$50 ,$0 ,$0 ,$0 ,"$5,136 ","$4,000 ",2014,south 
Tuolumne,$404 ,$0 ,"$3,700 ","$3,204 ","$1,000 ","$2,300 ",$0 ,$0 ,$0 ,$0 ,"$433,454 ","$55,301 ",2014,south 
