county,Arson,Campfire,Debris Burning,Elec. Power,Equip.Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year ,region 
Amador,$0 ,$0 ,$180 ,"$999,999,999 ",,$0 ,$0 ,$0 ,$0 ,$0 ,$530 ,$0 ,2015,north 
El Dorado,$0 ,$100 ,$395 ,,"$5,770 ",$2 ,"$14,050 ",$120 ,$0 ,"$14,000 ","$2,540 ",$150 ,2015,north 
Sacramento,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$100 ,2015,north 
San Joaquin,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Amador-El Dorado,$0 ,$100 ,$575 ,"$999,999,999 ","$5,770 ",$2 ,"$14,050 ",$120 ,$0 ,"$14,000 ","$3,070 ",$250 ,2015,north 
Butte,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Tehama,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Del Norte,$0 ,$500 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Humboldt,"$8,000,060 ",$0 ,$2 ,$2 ,"$55,000 ","$57,400 ","$571,002 ",$0 ,$0 ,$0 ,"$100,500 ",$2 ,2015,north 
Lassen,$0 ,$0 ,$0 ,,$400 ,"$1,010 ",$0 ,$0 ,$0 ,$0 ,"$1,000 ",$100 ,2015,north 
Modoc,$0 ,$0 ,$0 ,,,$4 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Plumas,$0 ,$0 ,$0 ,,,$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Mendocino,"$3,000 ",$0 ,"$3,870 ","$11,101 ","$12,500 ",$0 ,"$272,381 ",$0 ,$0 ,$40 ,$910 ,"$24,212 ",2015,north 
Nevada,$0 ,$0 ,"$10,000 ",$400 ,"$20,000 ",$0 ,$0 ,$2 ,$0 ,$0 ,"$12,000 ",$0 ,2015,north 
Placer,$0 ,$0 ,"$231,001 ","$16,150 ","$7,000 ","$2,700 ","$1,000 ",$2 ,$0 ,$0 ,"$15,300 ","$16,201 ",2015,north 
Sierra,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Sutter,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Yuba,$0 ,$0 ,$0 ,"$250,000 ","$2,600 ",$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
San Mateo,$0 ,$0 ,$0 ,$2 ,$200 ,$300 ,$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,2015,north 
Santa Cruz,$105 ,$0 ,$0 ,$900 ,$500 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,002 ","$5,500 ",2015,north 
Alameda,$0 ,$0 ,$0 ,"$85,350 ","$3,756 ","$4,275 ",$400 ,$0 ,$0 ,$0 ,"$1,675,450 ","$57,000 ",2015,north 
Contra Costa,"$1,420 ",$0 ,$0 ,"$5,000 ","$47,950 ",$0 ,"$3,500 ",$0 ,$0 ,$0 ,"$1,360 ",$0 ,2015,north 
Santa Clara,$0 ,$0 ,$0 ,,$494 ,$0 ,$100 ,$0 ,$0 ,$0 ,"$10,580 ",$100 ,2015,north 
W. San Joaquin,$0 ,$0 ,$0 ,,,$0 ,$150 ,$0 ,$0 ,$0 ,$40 ,"$1,000 ",2015,north 
W. Stanislaus,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$800 ,2015,north 
E. Trinity,$0 ,$0 ,$0 ,,,$0 ,"$10,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Shasta,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north 
Siskiyou,"$3,650 ",$0 ,"$2,200 ","$56,001 ","$1,250 ","$1,185 ",$600 ,$0 ,$0 ,$0 ,"$4,020 ",$0 ,2015,north 
Colusa,$0 ,$0 ,$0 ,"$6,500 ",,$0 ,$50 ,$0 ,$0 ,$0 ,$1 ,$0 ,2015,north 
Lake,"$1,000 ",$0 ,$520 ,"$2,000,000,198 ","$7,755,841 ",$0 ,"$225,000 ",$0 ,$0 ,$500 ,"$10,001,030 ",$0 ,2015,north 
Napa,$0 ,$0 ,$0 ,"$50,000 ",,$0 ,"$7,000 ",$0 ,$0 ,$0 ,"$220,310 ",$0 ,2015,north 
Solano,$0 ,$0 ,$40 ,,,$0 ,$300 ,$0 ,$0 ,$0 ,"$5,000 ","$15,000 ",2015,north 
Sonoma,$0 ,$0 ,$0 ,"$25,600 ","$10,700 ",$0 ,"$1,350,500 ",$0 ,$0 ,$0 ,"$5,000 ",$200 ,2015,north 
Yolo,$0 ,$0 ,$0 ,,"$60,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$7,500 ",$0 ,2015,north 
Glenn,$0 ,$0 ,$0 ,,,$0 ,$250 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Tehama,$0 ,$0 ,"$3,450 ","$51,000 ",$800 ,"$1,000 ","$53,600 ","$2,000 ",$0 ,$0 ,"$219,050 ","$502,550 ",2015,north 
Fresno,$900 ,$0 ,$0 ,"$2,300 ",,$500 ,$375 ,$0 ,$0 ,$0 ,"$1,600 ","$6,000 ",2015,south
Kings,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
Madera,$400 ,$600 ,"$35,000 ","$56,020 ",,$0 ,$0 ,$0 ,$0 ,$0 ,$100 ,"$9,201 ",2015,south
Mariposa,$500 ,$200 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$300 ,$0 ,2015,south
Merced,$600 ,$0 ,$0 ,,,"$100,000 ","$600,000 ",$0 ,$0 ,$0 ,"$1,300 ",$20 ,2015,south
Riverside,$0 ,$100 ,$37 ,$11 ,"$24,000 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$8,500 ","$1,500 ",2015,south
Monterey,"$10,000,000 ",$0 ,$500 ,"$1,200 ",$100 ,$200 ,"$1,500 ",$0 ,$0 ,$200 ,$0 ,"$2,010 ",2015,south
San Benito,$0 ,$0 ,$0 ,"$5,000 ","$10,620 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
Inyo,$0 ,$0 ,$0 ,"$3,000 ",,$0 ,$0 ,$0 ,$0 ,$0 ,"$15,811,560 ","$5,000 ",2015,south
San Bernardino,$0 ,$0 ,$0 ,,$200 ,$0 ,$2 ,"$65,000 ",$0 ,$0 ,$900 ,$0 ,2015,south
San Diego,$0 ,$0 ,$0 ,"$11,407 ",,$0 ,$0 ,"$30,000 ",$0 ,$0 ,"$88,050 ","$15,500 ",2015,south
San Luis Obispo,$0 ,$100 ,$0 ,"$15,100 ",,"$20,000 ","$440,400 ",$0 ,$0 ,$0 ,$0 ,"$924,300 ",2015,south
Tulare,$45 ,$0 ,$0 ,$2 ,$500 ,"$1,000 ","$175,201 ",$0 ,$0 ,$0 ,$20 ,$0 ,2015,south
Calaveras,$0 ,$0 ,"$19,600 ","$8,625 ","$13,000 ","$8,000 ","$10,110 ",$100 ,$0 ,$0 ,"$64,643 ","$15,416 ",2015,south
E. San Joaquin,$0 ,$0 ,$0 ,,"$2,025 ",$0 ,$400 ,$0 ,$0 ,$0 ,$150 ,$600 ,2015,south
E. Stanislaus,"$2,800 ",$0 ,$0 ,"$9,380 ","$1,000 ",$0 ,"$1,800 ",$0 ,$0 ,$0 ,$350 ,"$12,000 ",2015,south
Tuolumne,$20 ,$0 ,$920 ,$336 ,"$22,247 ",$0 ,"$12,400 ",$0 ,$0 ,$0 ,$4 ,"$26,000 ",2015,south
