county,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year ,region 
Alameda,$0 ,$0 ,$0 ,"$11,300 ","$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$9,910 ","$10,000 ",2016,unspecified
Alpine,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
Amador,$0 ,$0 ,$0 ,"$6,000 ",$700 ,$0 ,"$200,000 ",$0 ,$0 ,$70 ,"$20,000 ","$80,300 ",2016,unspecified
Butte,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
Calaveras,$0 ,$0 ,"$1,270 ","$1,400 ","$286,300 ",$0 ,"$1,077 ",$0 ,$0 ,$20 ,"$24,786 ","$90,156 ",2016,unspecified
Colusa,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
Contra Costa,$0 ,$0 ,$0 ,$250 ,"$1,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$9,500 ",$0 ,2016,unspecified
Del Norte,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
El Dorado,$850 ,$0 ,"$2,550 ","$50,170 ","$80,000 ",$0 ,"$32,250 ",$0 ,$0 ,$0 ,"$60,200 ","$4,995 ",2016,unspecified
Fresno,"$758,025 ",$0 ,"$2,020 ","$3,656 ",$0 ,$0 ,$1 ,$0 ,$0 ,"$25,000 ","$17,200 ","$7,015 ",2016,unspecified
Glenn,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
Humboldt,"$347,901 ",$0 ,$0 ,"$270,617 ","$705,000 ",$0 ,"$61,000 ",$0 ,$0 ,$0 ,"$210,550 ",$0 ,2016,unspecified
Imperial,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
Inyo,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$350 ,$0 ,2016,unspecified
Kings,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
Lake,"$105,260,000 ",$0 ,$0 ,"$3,300 ","$150,000 ",$0 ,"$142,728 ",$0 ,$0 ,$0 ,"$23,000 ",$0 ,2016,unspecified
Lassen,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$110,100 ",$0 ,$0 ,$0 ,"$400,000 ","$205,200 ",2016,unspecified
Madera,"$10,600 ",$0 ,"$268,350 ","$1,525 ","$15,000 ",$0 ,$100 ,$0 ,$0 ,$0 ,"$1,450 ","$2,900 ",2016,unspecified
Mariposa,$0 ,$0 ,$310 ,$0 ,"$1,000 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$44,100 ","$2,000 ",2016,unspecified
Mendocino,$0 ,$0 ,$500 ,"$153,502 ","$101,002 ",$0 ,"$5,620 ",$0 ,$0 ,$0 ,"$152,788 ","$280,022 ",2016,unspecified
Merced,$0 ,$0 ,"$1,000 ","$150,000 ","$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,900 ","$14,600 ",2016,unspecified
Modoc,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$1 ,$0 ,$2 ,$0 ,"$150,000 ",$0 ,2016,unspecified
Mono,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
Monterey,"$1,000 ","$10,345,582 ","$776,200 ",$101 ,$800 ,$0 ,"$3,200 ",$0 ,$0 ,$0 ,"$84,400 ","$11,000 ",2016,unspecified
Napa,$0 ,$0 ,$0 ,$120 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$100,000 ","$200,000 ",2016,unspecified
Nevada,$16 ,$0 ,$300 ,"$2,002 ",$70 ,$0 ,"$1,049,627 ",$100 ,$0 ,$0 ,"$28,306 ",$500 ,2016,unspecified
Placer,$0 ,$0 ,"$16,200 ","$2,250 ","$207,000 ",$0 ,$200 ,$350 ,$0 ,$100 ,"$16,100 ",$0 ,2016,unspecified
Plumas,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
Riverside,$0 ,$0 ,$0 ,$0 ,$600 ,$0 ,"$1,020 ",$0 ,$0 ,$0 ,"$2,000 ",$0 ,2016,unspecified
Sacramento,$0 ,$0 ,$0 ,$0 ,"$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,"$20,000 ",2016,unspecified
San Benito,$0 ,$0 ,"$1,000 ","$8,000 ",$100 ,$0 ,"$20,500 ",$0 ,$0 ,$0 ,$0 ,$2 ,2016,unspecified
San Bernardino,$0 ,$0 ,$200 ,"$20,000 ",$0 ,$0 ,"$604,045 ",$0 ,$0 ,$0 ,"$5,000 ",$0 ,2016,unspecified
San Diego,$0 ,$0 ,$0 ,$0 ,"$15,210 ",$0 ,"$23,700 ",$0 ,$0 ,$0 ,"$3,833,850 ","$414,000 ",2016,unspecified
San Francisco,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
San Joaquin,$0 ,$0 ,$0 ,$0 ,$900 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,036 ",$0 ,2016,unspecified
San Luis Obispo,$700 ,$0 ,$0 ,"$23,460 ","$21,300 ",$0 ,$0 ,$0 ,$0 ,$200 ,"$7,300 ","$12,162,751 ",2016,unspecified
San Mateo,$0 ,"$15,000 ",$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",2016,unspecified
Santa Clara,$0 ,$0 ,"$3,500 ","$50,000 ",$500 ,$0 ,$200 ,$0 ,$0 ,$0 ,"$220,002 ","$1,020 ",2016,unspecified
Santa Cruz,$0 ,$2 ,$100 ,"$1,000 ",$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,$201 ,"$7,000 ",2016,unspecified
Shasta,"$52,000 ",$0 ,"$12,211 ",$0 ,"$100,500 ",$0 ,"$40,000 ",$0 ,$0 ,$0 ,$700 ,"$10,300 ",2016,unspecified
Sierra,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
Siskiyou,$200 ,$0 ,$500 ,"$286,411 ",$501 ,$0 ,"$1,500 ",$500 ,"$1,300 ",$0 ,"$4,800 ",$0 ,2016,unspecified
Solano,$0 ,$0 ,$0 ,$100 ,"$1,002 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,001 ",$0 ,2016,unspecified
Sonoma,$0 ,$0 ,$0 ,"$1,000 ",$502 ,$0 ,"$116,002 ",$0 ,$0 ,$0 ,"$503,902 ","$43,700 ",2016,unspecified
Stanislaus,$0 ,"$1,600 ",$0 ,"$4,500 ",$100 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,250 ",$100 ,2016,unspecified
Sutter,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
Tehama,$0 ,$0 ,$200 ,"$371,000 ","$7,850 ",$0 ,$200 ,$0 ,$0 ,$0 ,"$34,000 ","$21,000 ",2016,unspecified
Trinity,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified
Tulare,$0 ,$2 ,$0 ,"$4,000 ","$1,750 ",$500 ,$0 ,$0 ,$0 ,$0 ,$2 ,"$2,410 ",2016,unspecified
Tuolumne,$0 ,$0 ,$601 ,"$4,102 ","$4,100 ",$0 ,$0 ,"$20,750 ",$0 ,$0 ,"$6,260 ","$4,550 ",2016,unspecified
Yolo,$0 ,$0 ,"$1,600 ",$100 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,000,000 ",$0 ,2016,unspecified
Yuba,$0 ,$0 ,$4 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$171,000 ","$26,016 ",$0 ,2016,unspecified
