"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Amador,"$5,000",$0,"$5,000",$0,$0,$0,$0,$0
El Dorado,"$52,650",$250,"$52,400",$0,$0,$0,$0,$0
Sacramento,"$3,800",$0,"$3,800",$0,$0,$0,$0,$0
San Joaquin,$0,$0,$0,$0,$0,$0,$0,$0
Amador-El Dorado,"$61,450",$250,"$61,200",$0,$0,$0,$0,$0
Butte,"$459,854","$106,000","$33,852","$320,002",$0,$0,$0,$0
Plumas,$0,$0,$0,$0,$0,$0,$0,$0
Tehama,$0,$0,$0,$0,$0,$0,$0,$0
Butte,"$459,854","$106,000","$33,852","$320,002",$0,$0,$0,$0
Del Norte,$0,$0,$0,$0,$0,$0,$0,$0
Humboldt,"$278,870","$276,270","$2,600",$0,$0,$0,$0,$0
Siskiyou,$0,$0,$0,$0,$0,$0,$0,$0
W. Trinity,$0,$0,$0,$0,$0,$0,$0,$0
Humboldt-Del Norte,"$278,870","$276,270","$2,600",$0,$0,$0,$0,$0
Lassen,"$63,080","$2,863",$217,"$60,000",$0,$0,$0,$0
Modoc,"$1,364",$204,$512,$648,$0,$0,$0,$0
Plumas,$10,$10,$0,$0,$0,$0,$0,$0
Lassen-Modoc,"$64,454","$3,077",$729,"$60,648",$0,$0,$0,$0
Mendocino,"$31,710","$21,710","$3,200","$6,800",$0,$0,$0,$0
Mendocino,"$31,710","$21,710","$3,200","$6,800",$0,$0,$0,$0
Nevada,"$16,000",$0,"$16,000",$0,$0,$0,$0,$0
Placer,"$37,560","$1,652","$22,908","$13,000",$0,$0,$0,$0
Sierra,"$10,000",$0,"$10,000",$0,$0,$0,$0,$0
Yuba,"$17,500",$0,"$17,500",$0,$0,$0,$0,$0
Nevada-Yuba-Placer,"$81,060","$1,652","$66,408","$13,000",$0,$0,$0,$0
San Mateo,"$1,600",$0,"$1,600",$0,$0,$0,$0,$0
Santa Cruz,"$200,951",$751,"$200,200",$0,$0,$0,$0,$0
San Mateo-Santa,,,,,,,,
Cruz,"$202,551",$751,"$201,800",$0,$0,$0,$0,$0
"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Alameda,"$264,450","$2,500","$101,250",$100,"$110,000","$50,600",$0,$0
Contra Costa,"$74,500","$5,000","$5,000","$8,500","$56,000",$0,$0,$0
Santa Clara,"$5,400","$1,500","$3,400",$500,$0,$0,$0,$0
W. San Joaquin,"$32,100","$6,500",$100,"$14,500","$11,000",$0,$0,$0
W. Stanislaus,"$142,300",$200,"$3,500","$8,600",$0,"$130,000",$0,$0
Santa Clara,"$518,750","$15,700","$113,250","$32,200","$177,000","$180,600",$0,$0
E. Trinity,"$1,700",$500,"$1,200",$0,$0,$0,$0,$0
Shasta,"$101,950","$15,000","$41,750","$45,200",$0,$0,$0,$0
Shasta-Trinity,"$103,650","$15,500","$42,950","$45,200",$0,$0,$0,$0
Shasta,$0,$0,$0,$0,$0,$0,$0,$0
Siskiyou,"$7,050","$2,700","$4,350",$0,$0,$0,$0,$0
Siskiyou,"$7,050","$2,700","$4,350",$0,$0,$0,$0,$0
Colusa,$0,$0,$0,$0,$0,$0,$0,$0
Lake,"$1,000",$0,"$1,000",$0,$0,$0,$0,$0
Napa,"$201,725",$0,"$1,725","$200,000",$0,$0,$0,$0
Solano,"$11,150",$250,$900,"$10,000",$0,$0,$0,$0
Sonoma,$0,"$1,500","$108,790","$229,950",$0,$0,$0,$0
Yolo,$2,$0,$2,$0,$0,$0,$0,$0
Sonoma-Lake-Napa,"$554,117","$1,750","$112,417","$439,950",$0,$0,$0,$0
Glenn,"$4,000",$0,"$4,000",$0,$0,$0,$0,$0
Tehama,"$50,400","$10,700","$38,700","$1,000",$0,$0,$0,$0
Tehama-Glenn,"$54,400","$10,700","$42,700","$1,000",$0,$0,$0,$0
NORTHERN REGION,,,,,,,,
TOTAL,"$2,417,916","$456,060","$685,456","$918,800","$177,000","$180,600",$0,$0
