"",,A,B,C,D,E,F,G
SOUTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Fresno,"$302,622",$0,"$24,422","$3,200","$275,000",$0,"$302,622",$0
Kings,$0,$0,$0,$0,$0,$0,$0,$0
Fresno-Kings,"$302,622",$0,"$24,422","$3,200","$275,000",$0,"$302,622",$0
Madera,"$5,340",$820,"$2,900","$1,620",$0,$0,"$5,340",$820
Mariposa,"$20,296",$100,"$15,660","$4,536",$0,$0,"$20,296",$100
Merced,"$49,700",$0,$0,"$2,700","$3,000",$0,"$49,700",$0
Madera-Mariposa,"$75,336",$920,"$18,560","$8,856","$3,000",$0,"$75,336",$920
Riverside,"$53,475",$25,"$53,450",$0,$0,$0,"$53,475",$25
Riverside,"$53,475",$25,"$53,450",$0,$0,$0,"$53,475",$25
Monterey,"$27,750",$0,"$1,250","$26,500",$0,$0,"$27,750",$0
San Benito,"$62,015",$0,$15,"$62,000",$0,$0,"$62,015",$0
San Benito-Monterey,"$89,765",$0,"$1,265","$88,500",$0,$0,"$89,765",$0
Inyo,"$7,500",$0,"$7,500",$0,$0,$0,"$7,500",$0
San Bernardino,"$5,800",$0,$800,"$5,000",$0,$0,"$5,800",$0
San Bernardino,"$13,300",$0,"$8,300","$5,000",$0,$0,"$13,300",$0
San Diego,"$35,550","$10,350","$15,200",$0,$0,"$10,000","$35,550","$10,350"
San Diego,"$35,550","$10,350","$15,200",$0,$0,"$10,000","$35,550","$10,350"
San Luis Obispo,"$54,268","$3,568","$10,100",$100,"$40,500",$0,"$54,268","$3,568"
San Luis Obispo,"$54,268","$3,568","$10,100",$100,"$40,500",$0,"$54,268","$3,568"
Tulare,"$57,895",$0,"$7,605","$22,490","$5,370","$22,430","$57,895",$0
Tulare,"$57,895",$0,"$7,605","$22,490","$5,370","$22,430","$57,895",$0
Calaveras,"$96,763","$31,772","$53,791","$11,200",$0,$0,"$96,763","$31,772"
E. San Joaquin,"$8,250",$50,"$1,200","$7,000",$0,$0,"$8,250",$50
E. Stanislaus,"$68,800",$50,"$48,950","$19,800",$0,$0,"$68,800",$50
Tuolumne,"$123,502","$40,800","$25,802","$56,900",$0,$0,"$123,502","$40,800"
Tuolumne-Calaveras,"$297,315","$72,672","$129,743","$94,900",$0,$0,"$297,315","$72,672"
SOUTHERN REGION TOTAL,"$979,526","$87,535","$268,645","$223,046","$323,870","$32,430","$979,526","$87,535"
STATE TOTAL,"$3,397,442","$543,595","$954,101","$1,141,846","$500,870","$213,030","$3,397,442","$543,595"
