"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Amador,"$4,200","$3,000","$1,200",$0,$0,$0,$0,$0
El Dorado,"$55,400","$10,300","$45,100",$0,$0,$0,$0,$0
Sacramento,$0,$0,$0,$0,$0,$0,$0,$0
San Joaquin,$0,$0,$0,$0,$0,$0,$0,$0
Amador-El Dorado,"$59,600","$13,300","$46,300",$0,$0,$0,$0,$0
Butte,"$125,600","$2,200","$123,400",$0,$0,$0,$0,$0
Plumas,$0,$0,$0,$0,$0,$0,$0,$0
Tehama,"$2,500",$0,"$2,500",$0,$0,$0,$0,$0
Butte,"$128,100","$2,200","$125,900",$0,$0,$0,$0,$0
Del Norte,$0,$0,$0,$0,$0,$0,$0,$0
Humboldt,"$133,938","$130,037","$3,901",$0,$0,$0,$0,$0
Siskiyou,$0,$0,$0,$0,$0,$0,$0,$0
W. Trinity,$0,$0,$0,$0,$0,$0,$0,$0
Humboldt-Del Norte,"$133,938","$130,037","$3,901",$0,$0,$0,$0,$0
Lassen,"$9,916",$574,"$9,332",$10,$0,$0,$0,$0
Modoc,"$1,882",$250,"$1,632",$0,$0,$0,$0,$0
Plumas,$750,$750,$0,$0,$0,$0,$0,$0
Lassen-Modoc,"$12,548","$1,574","$10,964",$10,$0,$0,$0,$0
Mendocino,"$81,012","$11,000","$67,011",$0,$0,"$3,001",$0,$0
Mendocino,"$81,012","$11,000","$67,011",$0,$0,"$3,001",$0,$0
Nevada,"$30,350","$29,000","$1,350",$0,$0,$0,$0,$0
Placer,"$55,550","$1,900","$53,650",$0,$0,$0,$0,$0
Sierra,$0,$0,$0,$0,$0,$0,$0,$0
Sutter,$0,$0,$0,$0,$0,$0,$0,$0
Yuba,"$319,161",$500,"$77,901","$175,000","$25,760","$40,000",$0,$0
Nevada-Yuba-Placer,"$405,061","$31,400","$132,901","$175,000","$25,760","$40,000",$0,$0
San Mateo,$0,$0,$0,$0,$0,$0,$0,$0
Santa Cruz,"$13,426","$11,425","$2,001",$0,$0,$0,$0,$0
San Mateo-Santa,,,,,,,,
Cruz,"$13,426","$11,425","$2,001",$0,$0,$0,$0,$0
"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Alameda,"$487,750","$60,000","$3,900","$14,850","$22,000","$387,000",$0,$0
Contra Costa,"$684,650","$650,000","$3,450","$31,200",$0,$0,$0,$0
Santa Clara,"$24,500",$200,"$7,200","$17,100",$0,$0,$0,$0
W. San Joaquin,"$58,450","$1,000",$250,"$14,200","$43,000",$0,$0,$0
W. Stanislaus,"$10,100",$0,"$6,800","$3,300",$0,$0,$0,$0
Santa Clara,"$1,265,450","$711,200","$21,600","$80,650","$65,000","$387,000",$0,$0
E. Trinity,"$16,100",$100,"$6,000","$10,000",$0,$0,$0,$0
Shasta,"$33,600","$3,500","$19,100","$11,000",$0,$0,$0,$0
Shasta-Trinity,"$49,700","$3,600","$25,100","$21,000",$0,$0,$0,$0
Shasta,$0,$0,$0,$0,$0,$0,$0,$0
Siskiyou,"$291,402","$41,200","$250,202",$0,$0,$0,$0,$0
Siskiyou,"$291,402","$41,200","$250,202",$0,$0,$0,$0,$0
Colusa,"$13,000",$0,"$13,000",$0,$0,$0,$0,$0
Lake,"$534,840","$1,640","$533,200",$0,$0,$0,$0,$0
Napa,"$754,350",$0,"$4,350","$750,000",$0,$0,$0,$0
Solano,"$3,020",$0,$520,"$2,500",$0,$0,$0,$0
Sonoma,"$276,401",$201,"$276,200",$0,$0,$0,$0,$0
Yolo,"$35,002",$0,"$35,002",$0,$0,$0,$0,$0
Sonoma-Lake-Napa,"$1,616,613","$1,841","$862,272","$752,500",$0,$0,$0,$0
Glenn,$0,$0,$0,$0,$0,$0,$0,$0
Tehama,"$86,820",$20,"$84,300","$2,500",$0,$0,$0,$0
Tehama-Glenn,"$86,820",$20,"$84,300","$2,500",$0,$0,$0,$0
NORTHERN REGION,,,,,,,,
TOTAL,"$4,143,670","$958,797","$1,632,452","$1,031,660","$90,760","$430,001",$0,$0
