"",,A,B,C,D,E,F,G
SOUTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Fresno,"$58,000","$10,200","$15,800","$20,000","$12,000",$0,$0,$0
Kings,$0,$0,$0,$0,$0,$0,$0,$0
Fresno-Kings,"$58,000","$10,200","$15,800","$20,000","$12,000",$0,$0,$0
Madera,"$12,650",$300,"$8,050","$4,300",$0,$0,$0,$0
Mariposa,$400,$0,$400,$0,$0,$0,$0,$0
Merced,$0,$0,$0,$0,$0,$0,$0,$0
Madera-Mariposa,"$13,050",$300,"$8,450","$4,300",$0,$0,$0,$0
Riverside,"$7,978,346","$3,638,498","$11,700","$104,700",$0,$0,$0,"$4,223,448"
Riverside,"$7,978,346","$3,638,498","$11,700","$104,700",$0,$0,$0,"$4,223,448"
Monterey,"$3,875",$3,"$2,492","$1,275",$105,$0,$0,$0
San Benito,"$22,600",$0,"$14,600",$0,$0,"$8,000",$0,$0
San Benito-Monterey,"$26,475",$3,"$17,092","$1,275",$105,"$8,000",$0,$0
Inyo,"$60,350","$10,350",$0,$0,$0,"$50,000",$0,$0
San Bernardino,"$7,326","$7,301",$25,$0,$0,$0,$0,$0
San Bernardino,"$67,676","$17,651",$25,$0,$0,"$50,000",$0,$0
San Diego,"$277,957","$103,953","$171,800","$2,202",$0,$0,$0,$2
San Diego,"$277,957","$103,953","$171,800","$2,202",$0,$0,$0,$2
San Luis Obispo,"$41,050","$17,200","$20,250","$3,600",$0,$0,$0,$0
San Luis Obispo,"$41,050","$17,200","$20,250","$3,600",$0,$0,$0,$0
Tulare,"$30,920",$500,$120,$300,"$30,000",$0,$0,$0
Tulare,"$30,920",$500,$120,$300,"$30,000",$0,$0,$0
Calaveras,"$48,644","$3,145","$20,499","$25,000",$0,$0,$0,$0
E. San Joaquin,"$75,500",$0,$100,"$15,400",$0,"$60,000",$0,$0
E. Stanislaus,"$11,880","$5,110","$5,270","$1,500",$0,$0,$0,$0
Tuolumne,"$107,172","$6,300","$99,372",$500,"$1,000",$0,$0,$0
Tuolumne-Calaveras,"$243,196","$14,555","$125,241","$42,400","$1,000","$60,000",$0,$0
SOUTHERN REGION,,,,,,,,
TOTAL,"$8,736,670","$3,802,860","$370,478","$178,777","$43,105","$118,000",$0,"$4,223,450"
STATE TOTAL,"$29,799,753","$4,241,507","$3,656,914","$1,519,162","$901,505","$749,500","$9,153,524","$9,577,641"
