"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Amador,"$152,901","$1,500","$151,300",$101,$0,$0,$0,$0
El Dorado,"$218,451","$159,150","$53,901","$5,400",$0,$0,$0,$0
Sacramento,$52,$0,$52,$0,$0,$0,$0,$0
San Joaquin,$0,$0,$0,$0,$0,$0,$0,$0
Amador-El Dorado,"$371,404","$160,650","$205,253","$5,501",$0,$0,$0,$0
Butte,"$141,734","$14,154","$127,202",$0,$0,$378,$0,$0
Tehama,$0,$0,$0,$0,$0,$0,$0,$0
Butte,"$141,734","$14,154","$127,202",$0,$0,$378,$0,$0
Del Norte,"$20,075",$0,"$20,075",$0,$0,$0,$0,$0
Humboldt,"$247,101","$16,000","$21,100","$10,000",$1,"$200,000",$0,$0
Humboldt-Del Norte,"$267,176","$16,000","$41,175","$10,000",$1,"$200,000",$0,$0
Lassen,"$756,523","$2,249","$204,250",$24,$0,$0,$0,"$550,000"
Modoc,$11,$11,$0,$0,$0,$0,$0,$0
Plumas,$902,$902,$0,$0,$0,$0,$0,$0
Shasta,$0,$0,$0,$0,$0,$0,$0,$0
Siskiyou,$0,$0,$0,$0,$0,$0,$0,$0
Lassen-Modoc,"$757,436","$3,162","$204,250",$24,$0,$0,$0,"$550,000"
Mendocino,"$2,181,483","$461,142","$294,723",$0,$0,"$1,425,618",$0,$0
Mendocino,"$2,181,483","$461,142","$294,723",$0,$0,"$1,425,618",$0,$0
Nevada,"$618,610","$102,200","$16,410",$0,"$500,000",$0,$0,$0
Placer,"$1,418,810","$16,510","$2,300",$0,$0,"$1,400,000",$0,$0
Sierra,$0,$0,$0,$0,$0,$0,$0,$0
Sutter,$0,$0,$0,$0,$0,$0,$0,$0
Yuba,"$488,905","$17,700","$321,205","$150,000",$0,$0,$0,$0
Nevada-Yuba-Placer,"$2,526,325","$136,410","$339,915","$150,000","$500,000","$1,400,000",$0,$0
San Mateo,$142,$42,$100,$0,$0,$0,$0,$0
Santa Cruz,"$4,960","$3,460","$1,500",$0,$0,$0,$0,$0
San Mateo-Santa Cruz,"$5,102","$3,502","$1,600",$0,$0,$0,$0,$0
"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Alameda,"$248,252",$250,"$226,002","$22,000",$0,$0,$0,$0
Contra Costa,"$24,277",$195,"$1,082","$23,000",$0,$0,$0,$0
Santa Clara,"$1,551,700",$800,"$1,550,900",$0,$0,$0,$0,$0
W. San Joaquin,$0,$0,$0,$0,$0,$0,$0,$0
W. Stanislaus,"$10,000",$0,$0,"$10,000",$0,$0,$0,$0
Santa Clara,"$1,834,229","$1,245","$1,777,984","$55,000",$0,$0,$0,$0
E. Trinity,"$153,250","$3,250",$0,$0,$0,"$150,000",$0,$0
Shasta,"$2,277,210","$38,110","$371,100","$328,000",$0,$0,$0,"$1,540,000"
Shasta-Trinity,"$2,430,460","$41,360","$371,100","$328,000",$0,"$150,000",$0,"$1,540,000"
Shasta,$0,$0,$0,$0,$0,$0,$0,$0
Siskiyou,"$397,400","$386,100","$1,300",$0,"$10,000",$0,$0,$0
Siskiyou,"$397,400","$386,100","$1,300",$0,"$10,000",$0,$0,$0
Colusa,$0,$0,$0,$0,$0,$0,$0,$0
Lake,"$69,255","$69,005",$250,$0,$0,$0,$0,$0
Napa,"$126,015","$14,100","$111,908",$0,$0,$0,$7,$0
Solano,"$10,500","$8,000","$1,500","$1,000",$0,$0,$0,$0
Sonoma,"$14,955","$7,105","$7,850",$0,$0,$0,$0,$0
Yolo,"$10,302",$300,$2,$0,$0,"$10,000",$0,$0
Sonoma-Lake-Napa,"$231,027","$98,510","$121,510","$1,000",$0,"$10,000",$7,$0
Glenn,$100,$0,$100,$0,$0,$0,$0,$0
Tehama,"$52,500","$3,000","$17,000","$30,500","$2,000",$0,$0,$0
Tehama-Glenn,"$52,600","$3,000","$17,100","$30,500","$2,000",$0,$0,$0
NORTHERN REGION,,,,,,,,
TOTAL,"$11,196,376","$1,325,235","$3,503,112","$580,025","$512,001","$3,185,996",$7,"$2,090,000"
