"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Amador,"$1,000,000,709",$110,$600,$0,$0,$0,$0,"$999,999,999"
El Dorado,"$37,127","$28,915","$8,212",$0,$0,$0,$0,$0
Sacramento,$100,$0,$100,$0,$0,$0,$0,$0
San Joaquin,$0,$0,$0,$0,$0,$0,$0,$0
Amador-El Dorado,"$1,000,037,936","$29,025","$8,912",$0,$0,$0,$0,"$999,999,999"
Butte,$0,$0,$0,$0,$0,$0,$0,$0
Tehama,$0,$0,$0,$0,$0,$0,$0,$0
Butte,$0,$0,$0,$0,$0,$0,$0,$0
Del Norte,$500,$0,$500,$0,$0,$0,$0,$0
Humboldt,"$8,783,968","$111,013","$2,575,555","$5,040,000","$1,000,000","$21,900","$35,500",$0
Humboldt-Del Norte,"$8,784,468","$111,013","$2,576,055","$5,040,000","$1,000,000","$21,900","$35,500",$0
Lassen,"$2,510","$1,510","$1,000",$0,$0,$0,$0,$0
Modoc,$4,$4,$0,$0,$0,$0,$0,$0
Plumas,$300,$300,$0,$0,$0,$0,$0,$0
Shasta,$0,$0,$0,$0,$0,$0,$0,$0
Siskiyou,$0,$0,$0,$0,$0,$0,$0,$0
Lassen-Modoc,"$2,814","$1,814","$1,000",$0,$0,$0,$0,$0
Mendocino,"$328,014","$45,081","$282,933",$0,$0,$0,$0,$0
Mendocino,"$328,014","$45,081","$282,933",$0,$0,$0,$0,$0
Nevada,"$42,402","$11,402","$10,000","$21,000",$0,$0,$0,$0
Placer,"$289,354","$19,154","$255,200","$15,000",$0,$0,$0,$0
Sierra,$0,$0,$0,$0,$0,$0,$0,$0
Sutter,$0,$0,$0,$0,$0,$0,$0,$0
Yuba,"$252,620","$2,600","$250,000",$20,$0,$0,$0,$0
Nevada-Yuba-Placer,"$584,376","$33,156","$515,200","$36,020",$0,$0,$0,$0
San Mateo,$602,$302,$300,$0,$0,$0,$0,$0
Santa Cruz,"$10,007","$9,107",$900,$0,$0,$0,$0,$0
San Mateo-Santa Cruz,"$10,609","$9,409","$1,200",$0,$0,$0,$0,$0
"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Alameda,"$1,826,231",$0,"$76,981","$169,000","$60,250",$0,"$1,520,000",$0
Contra Costa,"$59,230","$2,260","$5,970","$12,000","$39,000",$0,$0,$0
Santa Clara,"$11,274",$400,"$3,374","$7,500",$0,$0,$0,$0
W. San Joaquin,"$1,190",$40,"$1,150",$0,$0,$0,$0,$0
W. Stanislaus,$800,$0,$0,$800,$0,$0,$0,$0
Santa Clara,"$1,898,725","$2,700","$87,475","$189,300","$99,250",$0,"$1,520,000",$0
E. Trinity,"$10,400",$400,"$10,000",$0,$0,$0,$0,$0
Shasta,"$817,321","$31,080","$71,241","$415,000","$300,000",$0,$0,$0
Shasta-Trinity,"$827,721","$31,480","$81,241","$415,000","$300,000",$0,$0,$0
Shasta,$0,$0,$0,$0,$0,$0,$0,$0
Siskiyou,"$68,906","$59,721","$8,000",$0,$0,"$1,185",$0,$0
Siskiyou,"$68,906","$59,721","$8,000",$0,$0,"$1,185",$0,$0
Colusa,"$6,551",$50,"$6,501",$0,$0,$0,$0,$0
Lake,"$2,017,984,089",$550,"$227,700","$36,000","$25,000",$0,$0,"$2,017,694,839"
Napa,"$277,310",$310,"$77,000",$0,$0,$0,$0,"$200,000"
Solano,"$20,340",$340,"$5,000",$0,"$15,000",$0,$0,$0
Sonoma,"$1,392,000","$116,600","$1,273,300","$2,100",$0,$0,$0,$0
Yolo,"$67,500","$67,500",$0,$0,$0,$0,$0,$0
Sonoma-Lake-Napa,"$2,019,747,790","$185,350","$1,589,501","$38,100","$40,000",$0,$0,"$2,017,894,839"
Glenn,$250,$250,$0,$0,$0,$0,$0,$0
Tehama,"$833,450","$2,900","$519,150","$111,400","$200,000",$0,$0,$0
Tehama-Glenn,"$833,700","$3,150","$519,150","$111,400","$200,000",$0,$0,$0
NORTHERN REGION,,,,,,,,
TOTAL,"$3,033,125,059","$511,899","$5,670,667","$5,829,820","$1,639,250","$23,085","$1,555,500","$3,017,894,838"
