"",,A,B,C,D,E,F,G
SOUTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Fresno,"$11,675","$2,300","$7,775","$1,600",$0,$0,$0,$0
Kings,$0,$0,$0,$0,$0,$0,$0,$0
Fresno-Kings,"$11,675","$2,300","$7,775","$1,600",$0,$0,$0,$0
Madera,"$101,321","$6,820","$44,501",$0,$0,"$50,000",$0,$0
Mariposa,"$1,000","$1,000",$0,$0,$0,$0,$0,$0
Merced,"$701,920",$20,"$601,900",$0,$0,$0,"$100,000",$0
Madera-Mariposa,"$804,241","$7,840","$646,401",$0,$0,"$50,000","$100,000",$0
Riverside,"$35,148","$2,637","$32,511",$0,$0,$0,$0,$0
Riverside,"$35,148","$2,637","$32,511",$0,$0,$0,$0,$0
Monterey,"$10,005,710","$3,110","$2,600",$0,$0,$0,"$10,000,000",$0
San Benito,"$15,620",$0,"$15,045",$575,$0,$0,$0,$0
San Benito-Monterey,"$10,021,330","$3,110","$17,645",$575,$0,$0,"$10,000,000",$0
Inyo,"$15,819,560","$5,000","$3,000",$0,$0,$0,$0,"$15,811,560"
San Bernardino,"$66,102","$20,400","$45,702",$0,$0,$0,$0,$0
San Bernardino,"$15,885,662","$25,400","$48,702",$0,$0,$0,$0,"$15,811,560"
San Diego,"$144,957","$58,407",$550,"$86,000",$0,$0,$0,$0
San Diego,"$144,957","$58,407",$550,"$86,000",$0,$0,$0,$0
San Luis Obispo,"$1,399,900","$440,800","$39,100",$0,$0,$0,"$920,000",$0
San Luis Obispo,"$1,399,900","$440,800","$39,100",$0,$0,$0,"$920,000",$0
Tulare,"$176,768",$2,"$175,266","$1,500",$0,$0,$0,$0
Tulare,"$176,768",$2,"$175,266","$1,500",$0,$0,$0,$0
Calaveras,"$139,494","$10,880","$115,592","$13,022",$0,$0,$0,$0
E. San Joaquin,"$3,175",$75,"$3,100",$0,$0,$0,$0,$0
E. Stanislaus,"$27,330",$50,"$15,900","$11,380",$0,$0,$0,$0
Tuolumne,"$61,927","$5,816","$13,909","$20,200","$22,002",$0,$0,$0
Tuolumne-Calaveras,"$231,926","$16,821","$148,501","$44,602","$22,002",$0,$0,$0
SOUTHERN REGION,,,,,,,,
TOTAL,"$28,711,607","$557,317","$1,116,451","$134,277","$22,002","$50,000","$11,020,000","$15,811,560"
STATE TOTAL,"$3,061,836,666","$1,069,216","$6,787,118","$5,964,097","$1,661,252","$73,085","$12,575,500","$3,033,706,398"
