"",,A,B,C,D,E,F,G
"",Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
NORTHERN REGION,,,,,,,,
Amador-El Dorado,"$559,286","$19,735","$499,551",$0,"$20,000","$20,000",$0,$0
Butte,$0,$0,$0,$0,$0,$0,$0,$0
Humboldt-Del Norte,"$1,595,068","$13,550","$318,617","$915,000",$0,"$347,901",$0,$0
Lassen-Modoc,"$865,304","$200,302","$260,000","$5,000",$0,$2,"$400,000",$0
Mendocino,"$693,434","$180,746","$252,688","$260,000",$0,$0,$0,$0
Nevada-Yuba-Placer,"$1,520,141","$648,112","$869,029","$3,000",$0,$0,$0,$0
San Mateo-Santa Cruz,"$28,803","$21,803","$7,000",$0,$0,$0,$0,$0
Santa Clara,"$321,468","$3,750","$17,622","$78,460","$1,636",$0,"$220,000",$0
Shasta-Trinity,"$215,711","$112,500","$48,701","$2,510",$0,"$52,000",$0,$0
Siskiyou,"$295,712","$5,801","$1,900","$1,800",$0,"$286,211",$0,$0
Sonoma-Lake-Napa,"$111,549,257","$295,048","$742,209","$512,000",$0,$0,"$105,000,000","$5,000,000"
Tehama-Glenn,"$434,250","$7,950","$407,800","$13,500",$0,"$5,000",$0,$0
TOTAL,"$118,078,434","$1,509,297","$3,425,117","$1,791,270","$21,636","$711,114","$105,620,000","$5,000,000"
SOUTHERN REGION,,,,,,,,
Fresno-Kings,"$812,917",$135,"$10,201","$2,000","$36,556",$0,"$185,275","$578,750"
Madera-Mariposa,"$525,835","$13,360","$58,175","$449,300",$0,$0,"$5,000",$0
Riverside,"$3,620","$2,000",$620,$0,"$1,000",$0,$0,$0
San Benito-Monterey,"$11,251,885","$6,401","$40,702","$1,000","$83,000",$0,"$775,200","$10,345,582"
San Bernardino,"$629,595","$624,045","$5,550",$0,$0,$0,$0,$0
San Diego,"$4,286,760","$178,210","$285,700","$4,500",$0,$0,$0,"$3,818,350"
San Luis Obispo,"$12,215,711","$3,100","$54,560","$3,000","$2,500",$0,$0,"$12,152,551"
Tulare,"$8,664",$502,"$2,662","$5,500",$0,$0,$0,$0
Tuolumne-Calaveras,"$453,472","$10,322","$37,650","$65,500",$0,"$340,000",$0,$0
TOTAL,"$30,188,459","$838,075","$495,820","$530,800","$123,056","$340,000","$965,475","$26,895,233"
STATE TOTAL,"$148,266,893","$2,347,372","$3,920,937","$2,322,070","$144,692","$1,051,114","$106,585,475","$31,895,233"
