county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Amador,"$1,500 ","$151,300 ",$101 ,$0 ,$0 ,$0 ,$0 ,2014,north
El Dorado,"$159,150 ","$53,901 ","$5,400 ",$0 ,$0 ,$0 ,$0 ,2014,north
Sacramento,$0 ,$52 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Butte,"$14,154 ","$127,202 ",$0 ,$0 ,$378 ,$0 ,$0 ,2014,north
Tehama,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Del Norte,$0 ,"$20,075 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Humboldt,"$16,000 ","$21,100 ","$10,000 ",$1 ,"$200,000 ",$0 ,$0 ,2014,north
Lassen,"$2,249 ","$204,250 ",$24 ,$0 ,$0 ,$0 ,"$550,000 ",2014,north
Modoc,$11 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Plumas,$902 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Shasta,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Siskiyou,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Mendocino,"$461,142 ","$294,723 ",$0 ,$0 ,"$1,425,618 ",$0 ,$0 ,2014,north
Nevada,"$102,200 ","$16,410 ",$0 ,"$500,000 ",$0 ,$0 ,$0 ,2014,north
Placer,"$16,510 ","$2,300 ",$0 ,$0 ,"$1,400,000 ",$0 ,$0 ,2014,north
Sierra,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Sutter,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Yuba,"$17,700 ","$321,205 ","$150,000 ",$0 ,$0 ,$0 ,$0 ,2014,north
San Mateo,$42 ,$100 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Santa Cruz,"$3,460 ","$1,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Alameda,$250 ,"$226,002 ","$22,000 ",$0 ,$0 ,$0 ,$0 ,2014,north
Contra Costa,$195 ,"$1,082 ","$23,000 ",$0 ,$0 ,$0 ,$0 ,2014,north
Santa Clara,$800 ,"$1,550,900 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
W. San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
W. Stanislaus,$0 ,$0 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,2014,north
E. Trinity,"$3,250 ",$0 ,$0 ,$0 ,"$150,000 ",$0 ,$0 ,2014,north
Shasta,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014,north
Shasta,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Siskiyou,"$386,100 ","$1,300 ",$0 ,"$10,000 ",$0 ,$0 ,$0 ,2014,north
Colusa,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Lake,"$69,005 ",$250 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Napa,"$14,100 ","$111,908 ",$0 ,$0 ,$0 ,$7 ,$0 ,2014,north
Solano,"$8,000 ","$1,500 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,2014,north
Sonoma,"$7,105 ","$7,850 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Yolo,$300 ,$2 ,$0 ,$0 ,"$10,000 ",$0 ,$0 ,2014,north
Glenn,$0 ,$100 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north
Tehama,"$3,000 ","$17,000 ","$30,500 ","$2,000 ",$0 ,$0 ,$0 ,2014,north
Fresno,$140 ,"$5,560 ","$1,012,000 ",$0 ,$0 ,$0 ,$0 ,2014,south
Kings,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,south
Madera,$452 ,"$5,400 ",$500 ,$0 ,"$5,801,332 ",$0 ,$0 ,2014,south
Mariposa,$0 ,"$10,000 ",$0 ,"$20,000 ",$0 ,$0 ,$0 ,2014,south
Merced,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,south
Riverside,$0 ,"$271,802 ","$4,000 ",$0 ,$0 ,$0 ,$0 ,2014,south
Monterey,"$2,180 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,south
San Benito,$500 ,"$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014,south
Inyo,"$100,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,south
San Bernardino,$485 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014,south
San Diego,"$34,752 ","$31,402 ",$0 ,$0 ,"$600,000 ",$0 ,$0 ,2014,south
San Luis Obispo,"$1,640 ","$2,550 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014,south
Tulare,"$1,000 ","$150,000 ","$92,754 ",$0 ,$0 ,$0 ,$0 ,2014,south
Calaveras,"$13,772 ","$76,217 ","$42,800 ","$30,800 ",$0 ,$0 ,$0 ,2014,south
E. San Joaquin,$5 ,$600 ,"$9,000 ",$0 ,$0 ,$0 ,$0 ,2014,south
E. Stanislaus,$50 ,"$1,400 ","$9,136 ",$0 ,$0 ,$0 ,$0 ,2014,south
