SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,,Equip. Use,,Ltng.,Misc.,Power-line,,P-W-F,Rail- road,,Smoking,Undet.,Vehicle
Fresno,"1,319",20,7,35,,307,,30,367,226,,0,0,,0,309,18
Kings,48,0,0,0,,11,,0,36,0,,0,0,,0,1,0
Fresno-Kings,"1,367",20,7,35,,318,,30,403,226,,0,0,,0,310,18
Madera,702,2,2,10,,113,,0,106,31,,1,0,,0,436,1
Mariposa,111,1,0,24,,10,,0,53,4,,0,0,,0,19,0
Merced,"1,398",0,0,0,,61,,0,30,39,,0,0,,0,693,575
Madera-Mariposa,"2,211",3,2,34,,184,,0,189,74,,1,0,,0,"1,148",576
Riverside,"2,318",13,0,16,,255,,8,382,31,,0,1,,4,"1,597",11
Riverside,"2,318",13,0,16,,255,,8,382,31,,0,1,,4,"1,597",11
Monterey,"1,801",22,0,54,,276,,0,977,446,,0,0,,0,6,20
San Benito,119,4,0,1,,54,,0,12,7,,0,0,,0,41,0
San Benito-Monterey,"1,920",26,0,55,,330,,0,989,453,,0,0,,0,47,20
Inyo,"6,551",1,0,395,,"5,305",,0,0,0,,0,0,,0,850,0
San Bernardino,"1,991",0,0,2,,20,,2,296,15,,1,0,,2,"1,653",0
San Bernardino,"8,542",1,0,397,,"5,325",,2,296,15,,1,0,,2,"2,503",0
San Diego,"17,439","14,138",0,23,,136,,220,374,239,,0,0,,1,"2,306",2
San Diego,"17,439","14,138",0,23,,136,,220,374,239,,0,0,,1,"2,306",2
San Luis Obispo,"2,392",1,0,17,,"1,957",,1,62,67,,0,0,,0,243,44
San Luis Obispo,"2,392",1,0,17,,"1,957",,1,62,67,,0,0,,0,243,44
Tulare,"3,455",29,0,0,,"1,213",,31,803,2,,0,0,,0,"1,377",0
Tulare,"3,455",29,0,0,,"1,213",,31,803,2,,0,0,,0,"1,377",0
Calaveras,"1,145",0,0,28,,189,,6,865,5,,0,0,,12,39,1
E. San Joaquin,26,1,0,0,,,0,0,8,0,,0,0,,0,17,0
E. Stanislaus,"2,157",259,0,0,,59,,"1,122",431,3,,0,0,,1,276,6
Tuolumne,335,8,0,29,,,1,0,154,2,,0,0,,1,134,6
Tuolumne-Calaveras,"3,663",268,0,57,,249,,"1,128","1,458",10,,0,0,,14,466,13
SOUTHERN REGION,,,,,,,,,,,,,,,,,
TOTAL,"43,307","14,499",9,634,,"9,967",,"1,420","4,956","1,117",,2,1,,21,"9,997",684
STATE TOTAL,"51,889","15,896",13,"1,291",,"11,151",,"1,466","7,591","1,660",,5,1,,40,"11,909",866
