NORTHERN REGION,Total,Arson,Campfire,Debris,Equip.,Ltng.,Misc.,Powerline,P-W-F,Railroad,Smoking,Undet.,Vehicle
Amador,102,0,7,9,29,41,1,1,0,0,0,13,1
El Dorado,297,8,0,48,24,9,128,23,0,0,1,7,49
Sacramento,89,0,0,0,50,0,3,0,0,0,14,22,0
Amador-El Dorado,488,8,7,57,103,50,132,24,0,0,15,42,50
Butte,311,20,0,11,75,0,2,106,5,0,1,41,50
Tehama,"1,647","1,641",0,0,3,0,0,0,0,0,0,3,0
Butte,"1,958","1,661",0,11,78,0,2,106,5,0,1,44,50
Del Norte,122,121,0,0,0,0,0,0,0,0,0,1,0
Humboldt,216,16,136,2,2,0,0,11,0,0,0,47,2
Humboldt-Del Norte,338,137,136,2,2,0,0,11,0,0,0,48,2
Lassen,298,0,0,25,0,7,258,0,0,0,0,8,0
Modoc,13,0,0,9,0,2,1,0,0,0,0,1,0
Plumas,101,0,0,1,0,0,0,0,0,0,0,100,0
Lassen-Modoc,412,0,0,35,0,9,259,0,0,0,0,109,0
Mendocino,"5,333",16,"4,522",12,3,8,3,247,4,0,1,497,20
Mendocino,"5,333",16,"4,522",12,3,8,3,247,4,0,1,497,20
Nevada,72,5,4,15,9,2,4,11,0,0,2,14,6
Placer,"2,724","2,650",1,17,11,1,8,4,0,0,0,23,9
Sierra,2,0,0,0,0,0,0,0,0,0,0,2,0
Yuba,117,0,0,10,4,0,51,13,1,1,0,13,24
Nevada-Yuba-Placer,"2,915","2,655",5,42,24,3,63,28,1,1,2,52,39
San Mateo,20,2,1,0,3,1,0,13,0,0,0,0,0
Santa Cruz,122,0,3,110,1,0,2,2,2,0,0,1,1
San Mateo-Santa Cruz,142,2,4,110,4,1,2,15,2,0,0,1,1
NORTHERN REGION,Total,Arson,Campfire,Debris Burning,,Equip. Use,,Ltng.,Misc.,Powerline,P-W-F,Railroad,Smoking,Undet.,Vehicle
Alameda,115,0,0,0,,,0,0,17,83,0,0,0,15,0
Contra Costa,145,2,0,0,,32,,0,0,4,0,0,0,6,101
Santa Clara,26,1,2,8,,,0,0,1,1,0,0,0,10,3
W. San Joaquin,204,0,0,0,,,0,0,6,0,0,0,0,0,198
W. Stanislaus,44,0,0,0,,,0,0,0,3,0,0,0,38,3
Santa Clara,534,3,2,8,,32,,0,24,91,0,0,0,69,305
E. Trinity,20,5,0,5,,,0,0,0,3,0,0,0,6,1
Shasta,"2,134",12,72,36,,235,,180,374,"1,116",2,0,0,97,10
Shasta-Trinity,"2,154",17,72,41,,235,,180,374,"1,119",2,0,0,103,11
Shasta,0,0,0,0,,,0,0,0,0,0,0,0,0,0
Siskiyou,592,2,4,458,,,1,6,4,0,100,0,0,16,1
Siskiyou,592,2,4,458,,,1,6,4,0,100,0,0,16,1
Colusa,"4,285",0,0,0,,,1,0,0,0,0,0,0,"4,284",0
Lake,"8,355",0,0,16,,,9,10,8,317,1,0,0,"7,979",15
Napa,236,0,1,206,,,5,0,2,6,0,0,3,10,3
Solano,235,115,1,1,,,4,0,17,7,0,0,1,89,0
Sonoma,123,2,2,8,,,6,0,3,40,0,0,1,47,14
Yolo,"20,182",251,0,0,,529,,0,0,0,0,0,0,"19,265",137
Sonoma-Lake-Napa,"33,416",368,4,231,,554,,10,30,370,1,0,5,"31,674",169
Glenn,5,0,0,0,,,3,0,0,0,0,0,0,2,0
Tehama,"28,638",7,0,7,,261,,"27,678",158,99,5,0,0,81,342
Tehama-Glenn,"28,643",7,0,7,,264,,"27,678",158,99,5,0,0,83,342
NORTHERN REGION,,,,,,,,,,,,,,,
TOTAL,"76,925","4,876","4,756","1,014",,"1,300",,"27,945","1,051","2,110",120,1,24,"32,738",990
