NORTHERN REGION,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Amador,221,4,0,9,,100,,,2,0,2,100,0,0,2,2
El Dorado,586,11,9,32,,48,,164,,1,8,3,0,118,3,189
Sacramento,83,0,0,2,,7,,11,,0,0,0,0,0,58,5
San Joaquin,67,1,0,1,,0,,64,,0,0,0,0,0,1,0
Amador-El Dorado,957,16,9,44,,155,,241,,1,10,103,0,118,64,196
Butte,"3,416",22,4,107,,197,,"2,283",,5,549,2,0,0,206,41
Tehama,"6,896",0,0,0,,0,,,0,0,0,0,0,0,"6,896",0
Butte,"10,312",22,4,107,,197,,"2,283",,5,549,2,0,0,"7,102",41
Del Norte,15,0,11,1,,0,,,0,0,0,0,0,0,2,1
Humboldt,335,23,7,15,,2,,18,,0,3,3,0,0,138,126
Humboldt-Del Norte,350,23,18,16,,2,,18,,0,3,3,0,0,140,127
Lassen,181,1,0,46,,0,,,0,115,1,0,0,3,15,0
Modoc,629,0,0,2,,0,,,0,583,0,1,1,0,4,38
Plumas,2,0,0,0,,0,,,0,0,0,0,0,0,0,2
Shasta,1,0,0,0,,0,,,0,1,0,0,0,0,0,0
Siskiyou,1,0,0,0,,0,,,0,1,0,0,0,0,0,0
Lassen-Modoc,814,1,0,48,,0,,,0,700,1,1,1,3,19,40
Mendocino,696,18,2,331,,215,,24,,4,7,7,1,0,82,5
Mendocino,696,18,2,331,,215,,24,,4,7,7,1,0,82,5
Nevada,131,0,12,22,,4,,,8,2,3,1,0,11,67,1
Placer,175,3,3,27,,7,,30,,2,22,0,19,0,59,3
Sierra,4,0,0,1,,0,,,0,0,0,0,0,0,3,0
Sutter,1,0,0,0,,1,,,0,0,0,0,0,0,0,0
Yuba,229,1,0,15,,4,,,9,0,67,0,0,1,123,9
Nevada-Yuba-Placer,540,4,15,65,,16,,47,,4,92,1,19,12,252,13
San Mateo,13,1,0,0,,2,,,1,0,0,0,0,0,4,5
Santa Cruz,45,21,3,2,,2,,,0,0,5,1,0,1,9,1
San Mateo-Santa Cruz,58,22,3,2,,4,,,1,0,5,1,0,1,13,6
NORTHERN REGION,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Alameda,843,0,0,1,,256,,65,,0,1,0,0,240,85,195
Contra Costa,"3,971",1,0,1,,505,,60,,0,"3,101",0,0,0,300,3
Santa Clara,148,0,0,1,,101,,,3,0,13,0,0,0,18,12
W. San Joaquin,1,0,0,0,,0,,,0,0,0,0,0,0,1,0
W. Stanislaus,190,0,0,0,,40,,14,,0,3,0,0,0,128,5
Santa Clara,"5,153",1,0,3,,902,,142,,0,"3,118",0,0,240,532,215
E. Trinity,23,1,1,5,,2,,,2,8,1,0,0,1,1,1
Shasta,"8,693",32,12,99,,12,,27,,194,66,10,0,6,"8,217",18
Shasta-Trinity,"8,716",33,13,104,,14,,29,,202,67,10,0,7,"8,218",19
Shasta,2,0,0,0,,0,,,0,2,0,0,0,0,0,0
Siskiyou,134,0,0,7,,0,,63,,61,1,0,0,0,2,0
Siskiyou,136,0,0,7,,0,,63,,63,1,0,0,0,2,0
Colusa,11,0,0,0,,0,,,2,1,0,0,0,0,8,0
Lake,870,33,1,340,,85,,38,,3,103,0,0,0,130,137
Napa,447,0,0,1,,14,,,5,0,6,12,0,0,407,2
Solano,166,0,0,28,,15,,20,,8,1,7,0,0,73,14
Sonoma,"4,189",26,6,24,,"3,668",,210,,7,9,2,0,163,47,27
Yolo,189,0,0,1,,9,,170,,0,1,0,0,0,8,0
Sonoma-Lake-Napa,"5,872",59,7,394,,"3,791",,445,,19,120,21,0,163,673,180
Glenn,224,0,0,217,,1,,,2,1,0,0,0,0,3,0
Tehama,"12,168",7,0,107,,"11,647",,51,,209,8,1,0,22,115,1
Tehama-Glenn,"12,392",7,0,324,,"11,648",,53,,210,8,1,0,22,118,1
NORTHERN REGION,,,,,,,,,,,,,,,,
TOTAL,"45,996",206,71,"1,445",,"16,944",,"3,346",,"1,208","3,981",150,21,566,"17,215",843
