SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Fresno,509,8,0,3,,20,,62,,105,17,1,0,0,279,14
Kings,6,0,0,0,,1,,,0,0,0,0,0,0,5,0
Fresno-Kings,515,8,0,3,,21,,62,,105,17,1,0,0,284,14
Madera,"1,153",41,2,1,,6,,20,,1,18,5,0,5,470,584
Mariposa,132,0,0,17,,1,,15,,0,5,0,0,3,87,4
Merced,286,124,0,1,,8,,,1,0,0,0,0,122,30,0
Madera-Mariposa,"1,571",165,2,19,,15,,36,,1,23,5,0,130,587,588
Riverside,"49,460",5,4,14,,"27,677",,,7,3,184,43,0,1,"21,473",49
Riverside,"49,460",5,4,14,,"27,677",,,7,3,184,43,0,1,"21,473",49
Monterey,202,2,1,12,,10,,,6,0,31,0,0,2,3,135
San Benito,466,1,0,3,,0,,354,,0,7,0,0,0,1,100
San Benito-Monterey,668,3,1,15,,10,,360,,0,38,0,0,2,4,235
Inyo,438,0,0,0,,0,,,0,9,1,0,0,0,21,407
San Bernardino,666,539,2,4,,1,,13,,12,4,1,3,2,82,3
San Bernardino,"1,104",539,2,4,,1,,13,,21,5,1,3,2,103,410
San Diego,"13,319",5,6,5,,16,,215,,12,49,1,0,5,"12,847",158
San Diego,"13,319",5,6,5,,16,,215,,12,49,1,0,5,"12,847",158
San Luis Obispo,407,0,5,9,,117,,61,,0,26,0,0,8,161,20
San Luis Obispo,407,0,5,9,,117,,61,,0,26,0,0,8,161,20
Tulare,529,246,1,1,,12,,257,,3,2,0,0,0,3,4
Tulare,529,246,1,1,,12,,257,,3,2,0,0,0,3,4
Calaveras,211,3,2,20,,38,,13,,0,22,2,0,1,82,28
E. San Joaquin,408,0,0,0,,0,,377,,0,0,0,0,0,31,0
E. Stanislaus,82,1,1,0,,0,,,1,0,0,0,0,0,79,0
Tuolumne,203,0,0,8,,7,,16,,1,13,0,0,1,152,5
Tuolumne-Calaveras,904,4,3,28,,45,,407,,1,35,2,0,2,344,33
SOUTHERN REGION,,,,,,,,,,,,,,,,
TOTAL,"68,477",975,24,98,,"27,914",,"1,418",,146,379,53,3,150,"35,806","1,511"
STATE TOTAL,"114,473","1,181",95,"1,543",,"44,858",,"4,764",,"1,354","4,360",203,24,716,"53,021","2,354"
