NORTHERN REGION,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,,P-W-F,Railroad,Smoking,Undet.,Vehicle
Amador,"70,892",0,0,5,,"70,870",,,1,3,1,,0,0,0,11,1
El Dorado,376,17,1,114,,25,,18,,65,9,,1,0,0,115,11
Sacramento,606,357,0,0,,0,,,3,0,236,,0,0,0,8,2
San Joaquin,65,0,0,0,,2,,,0,0,60,,0,0,0,2,1
Amador-El Dorado,"71,939",374,1,119,,"70,897",,22,,68,306,,1,0,0,136,15
Butte,16,0,0,0,,0,,,0,0,1,,0,0,0,15,0
Tehama,3,0,0,0,,0,,,0,3,0,,0,0,0,0,0
Butte,19,0,0,0,,0,,,0,3,1,,0,0,0,15,0
Del Norte,6,0,2,0,,0,,,0,1,1,,1,0,0,1,0
Humboldt,"3,655",363,4,4,,6,,18,,"3,206",4,,0,0,2,42,6
Humboldt-Del Norte,"3,661",363,6,4,,6,,18,,"3,207",5,,1,0,2,43,6
Lassen,215,0,0,0,,0,,,0,98,77,,0,0,0,40,0
Modoc,184,0,0,0,,0,,60,,122,0,,0,1,0,1,0
Plumas,2,0,0,0,,0,,,0,2,0,,0,0,0,0,0
Shasta,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0
Siskiyou,1,0,0,0,,0,,,0,1,0,,0,0,0,0,0
Lassen-Modoc,402,0,0,0,,0,,60,,223,77,,0,1,0,41,0
Mendocino,364,9,1,262,,16,,,7,20,7,,1,2,0,36,3
Mendocino,364,9,1,262,,16,,,7,20,7,,1,2,0,36,3
Nevada,"2,496",11,0,9,,4,,36,,3,106,,0,0,0,"2,325",2
Placer,199,2,0,13,,10,,26,,6,12,,1,0,0,124,5
Sierra,1,0,0,0,,0,,,0,1,0,,0,0,0,0,0
Sutter,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0
Yuba,72,1,2,4,,5,,,2,1,22,,0,0,0,32,3
Nevada-Yuba-Placer,"2,768",14,2,26,,19,,64,,11,140,,1,0,0,"2,481",10
San Mateo,37,0,0,0,,7,,,4,0,0,,0,0,1,15,10
Santa Cruz,10,1,0,0,,4,,,0,0,2,,0,0,0,3,0
San Mateo-Santa Cruz,47,1,0,0,,11,,,4,0,2,,0,0,1,18,10
NORTHERN REGION,,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Alameda,,"3,458",0,0,0,,272,,33,,43,5,0,0,0,"2,929",176
Contra Costa,,363,7,1,0,,6,,269,,0,46,0,0,0,31,3
Santa Clara,,183,0,0,0,,9,,,5,1,3,0,0,0,159,6
W. San Joaquin,,52,0,0,0,,0,,,0,0,1,0,0,0,41,10
W. Stanislaus,,63,0,0,0,,0,,,0,0,1,0,0,0,44,18
Santa Clara,,"4,119",7,1,0,,287,,307,,44,56,0,0,0,"3,204",213
E. Trinity,,"3,439",2,0,15,,0,,29,,"3,263",129,0,0,0,1,0
Shasta,,768,9,2,28,,16,,123,,91,69,3,0,1,178,248
Shasta-Trinity,,"4,207",11,2,43,,16,,152,,"3,354",198,3,0,1,179,248
Shasta,,0,0,0,0,,0,,,0,0,0,0,0,0,0,0
Siskiyou,,515,0,1,7,,1,,,4,476,1,0,0,0,25,0
"",Siskiyou,515,0,1,7,,1,,,4,476,1,0,0,0,25,0
Colusa,,79,0,0,0,,1,,,6,0,70,0,0,0,2,0
Lake,,"171,849",1,0,4,,"76,069",,"70,611",,0,11,0,0,0,"25,151",2
Napa,,"8,173",0,2,2,,45,,,1,2,17,0,0,0,"8,103",1
Solano,,191,4,0,0,,0,,,0,0,1,0,0,0,31,155
Sonoma,,129,0,2,2,,5,,42,,0,5,0,0,0,58,15
Yolo,,114,0,0,3,,0,,,4,0,0,0,0,0,107,0
Sonoma-Lake-Napa,,"180,535",5,4,11,,"76,120",,"70,664",,2,104,0,0,0,"33,452",173
Glenn,,3,0,0,0,,0,,,0,0,0,0,0,0,1,2
Tehama,,536,16,1,18,,99,,,9,22,60,5,0,0,270,36
Tehama-Glenn,,539,16,1,18,,99,,,9,22,60,5,0,0,271,38
NORTHERN,,,,,,,,,,,,,,,,,
REGION TOTAL,,"269,115",800,19,490,,"147,472",,"71,311",,"7,430",957,12,3,4,"39,901",716
