SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Fresno,393,220,1,12,,27,,12,,59,18,0,0,9,14,21
Kings,2,0,0,0,,0,,,0,0,0,0,0,0,2,0
Fresno-Kings,395,220,1,12,,27,,12,,59,18,0,0,9,16,21
Madera,"1,151",8,0,142,,921,,54,,0,0,3,0,0,4,19
Mariposa,113,4,1,7,,0,,32,,1,5,0,0,0,1,62
Merced,"3,789",23,0,0,,3,,,0,"1,600",11,0,0,0,8,"2,144"
Madera-Mariposa,"5,053",35,1,149,,924,,86,,"1,601",16,3,0,0,13,"2,225"
Riverside,"1,256",0,81,3,,3,,"1,063",,0,20,1,0,0,59,26
Riverside,"1,256",0,81,3,,3,,"1,063",,0,20,1,0,0,59,26
Monterey,"1,206",0,0,12,,4,,,5,69,3,3,0,0,"1,104",6
San Benito,769,0,0,9,,695,,51,,4,2,0,0,0,2,6
San Benito-Monterey,"1,975",0,0,21,,699,,56,,73,5,3,0,0,"1,106",12
Inyo,"7,002",0,0,0,,1,,,0,0,0,0,0,0,"7,001",0
San Bernardino,53,1,2,3,,0,,,1,0,3,2,0,0,41,0
San Bernardino,"7,055",1,2,3,,1,,,1,0,3,2,0,0,"7,042",0
San Diego,229,0,2,4,,3,,,7,2,10,0,0,0,201,0
San Diego,229,0,2,4,,3,,,7,2,10,0,0,0,201,0
San Luis Obispo,"4,463",0,3,24,,11,,11,,4,110,0,0,0,7,"4,293"
San Luis Obispo,"4,463",0,3,24,,11,,11,,4,110,0,0,0,7,"4,293"
Tulare,740,6,0,0,,2,,36,,629,23,0,0,0,43,1
Tulare,740,6,0,0,,2,,36,,629,23,0,0,0,43,1
Calaveras,293,0,0,36,,49,,26,,8,5,1,0,0,17,151
E. San Joaquin,23,0,0,0,,0,,17,,0,2,0,0,0,1,3
E. Stanislaus,117,20,4,0,,44,,,3,0,36,0,0,0,6,4
Tuolumne,568,0,0,209,,6,,72,,0,54,0,0,0,117,110
Tuolumne-Calaveras,"1,001",20,4,245,,99,,118,,8,97,1,0,0,141,268
SOUTHERN REGION,,,,,,,,,,,,,,,,
TOTAL,"22,167",282,94,461,,"1,769",,"1,390",,"2,376",302,10,0,9,"8,628","6,846"
STATE TOTAL,"291,282","1,082",113,951,,"149,241",,"72,701",,"9,806","1,259",22,3,13,"48,529","7,562"
