,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,P-W-F,Powerline,Railroad,Smoking,Undet.,Vehicle,Year,Region
Amador,42,0,0,6,7,0,28,0,1,0,0,0,0,2010,Northern
El Dorado,134,6,0,17,4,0,15,0,71,0,10,10,1,2010,Northern
Sacramento,213,15,0,1,9,0,9,0,177,0,0,2,0,2010,Northern
San Joaquin,7,0,0,1,1,0,4,0,0,0,0,1,0,2010,Northern
Butte,191,33,0,8,25,0,74,0,0,0,1,48,2,2010,Northern
Plumas,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,Northern
Tehama,126,0,0,0,0,0,0,0,0,0,0,126,0,2010,Northern
Butte,317,33,0,8,25,0,74,0,0,0,1,174,2,2010,Northern
Del Norte,22,20,0,0,0,0,1,0,0,0,0,1,0,2010,Northern
Humboldt,250,3,1,3,3,0,215,0,4,0,0,21,0,2010,Northern
Siskiyou,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,Northern
W. Trinity,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,Northern
Lassen,331,10,0,0,76,3,240,0,0,0,1,1,0,2010,Northern
Modoc,86,1,0,1,0,82,1,0,0,0,0,1,0,2010,Northern
Plumas,1,0,0,0,1,0,0,0,0,0,0,0,0,2010,Northern
Mendocino,233,4,0,9,68,0,15,0,3,0,0,134,0,2010,Northern
Trinity,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,Northern
Mendocino,233,4,0,9,68,0,15,0,3,0,0,134,0,2010,Northern
Nevada,55,1,0,17,8,0,12,0,3,0,0,14,0,2010,Northern
Placer,289,5,0,15,28,0,130,0,0,0,0,111,0,2010,Northern
Sierra,4,0,0,0,0,0,0,0,0,0,0,4,0,2010,Northern
Yuba,"1,588",2,0,12,16,0,1517,0,4,0,1,37,0,2010,Northern
San Mateo,12,0,0,0,1,0,3,0,3,0,0,5,0,2010,Northern
Santa Cruz,22,3,0,1,1,0,10,0,1,0,0,5,1,2010,Northern
Alameda,850,0,0,0,21,0,206,0,100,0,0,516,7,2010,Northern
Contra Costa,409,0,0,0,4,0,314,0,1,0,0,87,3,2010,Northern
Santa Clara,69,5,0,4,31,0,6,0,0,0,0,22,1,2010,Northern
W. San Joaquin,218,0,0,0,100,0,1,0,93,0,0,24,0,2010,Northern
W. Stanislaus,718,1,0,0,612,0,4,0,5,0,0,94,2,2010,Northern
E. Trinity,17,0,0,0,9,0,5,0,0,0,2,1,0,2010,Northern
Shasta,413,2,2,28,67,0,208,0,1,0,1,104,0,2010,Northern
Shasta,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,Northern
Siskiyou,61,0,0,1,4,7,32,0,7,0,2,8,0,2010,Northern
Colusa,7,3,0,3,0,0,0,0,0,0,0,1,0,2010,Northern
Lake,504,0,1,1,10,0,17,0,13,0,0,462,0,2010,Northern
Napa,171,53,0,6,48,0,5,0,1,0,1,55,2,2010,Northern
Solano,68,0,0,3,47,0,6,0,0,0,0,12,0,2010,Northern
Sonoma,235,0,0,5,27,0,95,0,97,0,1,10,0,2010,Northern
Yolo,39,0,0,0,7,0,1,0,0,0,0,31,0,2010,Northern
Glenn,8,0,0,1,2,0,0,0,0,0,0,5,0,2010,Northern
Tehama,115,0,0,9,50,0,24,0,2,0,2,19,9,2010,Northern
Fresno,360,1,0,12,12,0,16,0,7,0,3,308,1,2010,Southern
Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,Southern
Madera,157,0,0,8,4,0,13,0,0,0,0,132,0,2010,Southern
Mariposa,175,0,0,9,70,0,87,0,5,0,0,4,0,2010,Southern
Merced,"3,060",2,0,2,300,0,465,0,164,0,57,"2,067",3,2010,Southern
Riverside,"4,548",15,0,74,"1,209",616,"1,809",0,13,0,4,798,10,2010,Southern
Monterey,403,4,0,77,105,0,181,0,13,0,2,19,2,2010,Southern
San Benito,157,20,1,28,15,0,85,0,1,0,0,6,1,2010,Southern
Inyo,2,1,0,0,0,0,0,0,0,0,0,1,0,2010,Southern
San Bernardino,320,16,0,1,9,3,41,0,81,0,0,169,0,2010,Southern
San Diego,"3,594",9,0,9,50,156,"2,037",0,1,0,0,"1,324",8,2010,Southern
San Luis Obispo,"2,017",0,0,59,408,1,284,0,2,0,0,"1,259",4,2010,Southern
Tulare,"2,519",313,0,2,"1,033",62,945,0,2,0,0,162,0,2010,Southern
Calaveras,230,5,2,8,66,2,124,0,6,0,1,16,0,2010,Southern
E. San Joaquin,16,0,0,0,0,0,3,0,1,0,0,2,10,2010,Southern
E. Stanislaus,75,50,0,0,6,0,5,0,1,0,1,11,1,2010,Southern
Tuolumne,297,1,0,4,32,2,34,0,8,0,0,195,21,2010,Southern
