SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,P-W-F,Power- line,Rail- road,Smoking,Undet.,Vehicle
Fresno,360,1,0,12,12,0,16,0,7,0,3,308,1
Kings,0,0,0,0,0,0,0,0,0,0,0,0,0
Madera,157,0,0,8,4,0,13,0,0,0,0,132,0
Mariposa,175,0,0,9,70,0,87,0,5,0,0,4,0
Merced,"3,060",2,0,2,300,0,465,0,164,0,57,"2,067",3
Riverside,"4,548",15,0,74,"1,209",616,"1,809",0,13,0,4,798,10
Monterey,403,4,0,77,105,0,181,0,13,0,2,19,2
San Benito,157,20,1,28,15,0,85,0,1,0,0,6,1
Inyo,2,1,0,0,0,0,0,0,0,0,0,1,0
San Bernardino,320,16,0,1,9,3,41,0,81,0,0,169,0
San Diego,"3,594",9,0,9,50,156,"2,037",0,1,0,0,"1,324",8
San Luis Obispo,"2,017",0,0,59,408,1,284,0,2,0,0,"1,259",4
Tulare,"2,519",313,0,2,"1,033",62,945,0,2,0,0,162,0
Calaveras,230,5,2,8,66,2,124,0,6,0,1,16,0
E. San Joaquin,16,0,0,0,0,0,3,0,1,0,0,2,10
E. Stanislaus,75,50,0,0,6,0,5,0,1,0,1,11,1
Tuolumne,297,1,0,4,32,2,34,0,8,0,0,195,21
