NORTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Railroad,Smoking,Undet.,Vehicle,Year,Region
Amador,114,4,0,24,5,0,29,7,0,0,0,17,28,2011,Northern
El Dorado,107,5,0,43,13,0,22,9,0,0,0,3,12,2011,Northern
Sacramento,58,0,0,0,1,0,38,16,0,0,0,3,0,2011,Northern
San Joaquin,22,0,0,0,5,0,15,0,0,0,0,2,0,2011,Northern
Amador-El Dorado,301,9,0,67,24,0,104,32,0,0,0,25,40,2011,Northern
Butte,276,20,0,45,29,0,33,13,0,0,1,103,32,2011,Northern
Plumas,2,2,0,0,0,0,0,0,0,0,0,0,0,2011,Northern
Tehama,1,0,0,0,1,0,0,0,0,0,0,0,0,2011,Northern
Butte,279,22,0,45,30,0,33,13,0,0,1,103,32,2011,Northern
Del Norte,3,1,0,0,0,0,0,0,0,0,0,2,0,2011,Northern
Humboldt,696,2,0,150,3,0,504,2,0,0,0,24,11,2011,Northern
Siskiyou,5,0,0,0,0,0,0,5,0,0,0,0,0,2011,Northern
W. Trinity,1,0,0,0,0,0,0,0,0,0,0,1,0,2011,Northern
Humboldt-Del Norte,705,3,0,150,3,0,504,7,0,0,0,27,11,2011,Northern
Lassen,57,4,0,9,0,0,3,13,0,0,0,27,1,2011,Northern
Modoc,33,0,0,4,0,10,18,0,0,0,0,1,0,2011,Northern
Plumas,2,0,0,1,0,0,0,0,0,0,0,1,0,2011,Northern
Lassen-Modoc,92,4,0,14,0,10,21,13,0,0,0,29,1,2011,Northern
Mendocino,766,22,2,20,19,0,659,1,1,0,1,38,3,2011,Northern
Mendocino,766,22,2,20,19,0,659,1,1,0,1,38,3,2011,Northern
Nevada,44,2,0,20,2,0,11,0,0,0,2,7,0,2011,Northern
Placer,59,3,0,14,11,0,14,4,0,0,1,10,2,2011,Northern
Sierra,14,0,0,0,0,0,0,0,0,0,0,14,0,2011,Northern
Sutter,357,0,0,0,0,0,112,0,0,0,0,245,0,2011,Northern
Yuba,854,11,0,31,23,0,325,365,0,0,6,88,5,2011,Northern
Nevada-Yuba-Placer,"1,328",16,0,65,36,0,462,369,0,0,9,364,7,2011,Northern
San Mateo,6,0,0,0,2,0,2,0,0,0,0,2,0,2011,Northern
Santa Cruz,20,0,0,4,3,0,8,1,0,0,0,4,0,2011,Northern
San Mateo-Santa Cruz,26,0,0,4,5,0,10,1,0,0,0,6,0,2011,Northern
Alameda,"1,507",545,0,0,730,0,116,24,0,0,0,15,77,2011,Northern
Contra Costa,475,18,0,1,57,7,259,12,0,0,0,118,3,2011,Northern
Santa Clara,113,0,0,1,51,0,43,5,0,0,0,13,0,2011,Northern
W. San Joaquin,290,0,0,5,5,0,1,0,0,0,0,278,1,2011,Northern
W. Stanislaus,52,0,0,6,35,0,0,3,0,0,0,6,2,2011,Northern
E. Trinity,69,13,1,1,1,0,8,32,0,0,1,10,2,2011,Northern
Shasta,347,6,0,69,15,5,101,19,1,0,3,127,1,2011,Northern
Shasta,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,Northern
Siskiyou,100,1,0,22,18,24,21,0,1,0,0,13,0,2011,Northern
Colusa,77,2,0,0,4,0,1,0,0,0,0,70,0,2011,Northern
Lake,82,1,0,14,2,0,15,3,0,0,2,45,0,2011,Northern
Napa,619,0,0,6,21,0,72,3,0,0,0,517,0,2011,Northern
Solano,751,715,0,3,16,0,2,0,0,0,0,15,0,2011,Northern
Sonoma,71,0,1,6,35,0,9,5,0,0,0,14,1,2011,Northern
Yolo,207,0,0,53,36,0,68,0,0,0,0,49,1,2011,Northern
Glenn,2,0,0,0,0,0,1,0,0,0,0,1,0,2011,Northern
Tehama,323,20,0,105,41,0,125,1,0,0,2,29,0,2011,Northern
Fresno,"1,319",20,7,35,307,30,367,226,0,0,0,309,18,2011,Southern
Kings,48,0,0,0,11,0,36,0,0,0,0,1,0,2011,Southern
Madera,702,2,2,10,113,0,106,31,1,0,0,436,1,2011,Southern
Mariposa,111,1,0,24,10,0,53,4,0,0,0,19,0,2011,Southern
Merced,"1,398",0,0,0,61,0,30,39,0,0,0,693,575,2011,Southern
Riverside,"2,318",13,0,16,255,8,382,31,0,1,4,"1,597",11,2011,Southern
Monterey,"1,801",22,0,54,276,0,977,446,0,0,0,6,20,2011,Southern
San Benito,119,4,0,1,54,0,12,7,0,0,0,41,0,2011,Southern
Inyo,"6,551",1,0,395,"5,305",0,0,0,0,0,0,850,0,2011,Southern
San Bernardino,"1,991",0,0,2,20,2,296,15,1,0,2,"1,653",0,2011,Southern
San Diego,"17,439","14,138",0,23,136,220,374,239,0,0,1,"2,306",2,2011,Southern
San Luis Obispo,"2,392",1,0,17,"1,957",1,62,67,0,0,0,243,44,2011,Southern
Tulare,"3,455",29,0,0,"1,213",31,803,2,0,0,0,"1,377",0,2011,Southern
Calaveras,"1,145",0,0,28,189,6,865,5,0,0,12,39,1,2011,Southern
E. San Joaquin,26,1,0,0,0,0,8,0,0,0,0,17,0,2011,Southern
E. Stanislaus,"2,157",259,0,0,59,"1,122",431,3,0,0,1,276,6,2011,Southern
Tuolumne,335,8,0,29,1,0,154,2,0,0,1,134,6,2011,Southern
