,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Power-line,P-W-F,Rail- road,Smoking,Undet.,Vehicle
Fresno,"1,319",20,7,35,307,30,367,226,0,0,0,309,18
Kings,48,0,0,0,11,0,36,0,0,0,0,1,0
Madera,702,2,2,10,113,0,106,31,1,0,0,436,1
Mariposa,111,1,0,24,10,0,53,4,0,0,0,19,0
Merced,"1,398",0,0,0,61,0,30,39,0,0,0,693,575
Riverside,"2,318",13,0,16,255,8,382,31,0,1,4,"1,597",11
Monterey,"1,801",22,0,54,276,0,977,446,0,0,0,6,20
San Benito,119,4,0,1,54,0,12,7,0,0,0,41,0
Inyo,"6,551",1,0,395,"5,305",0,0,0,0,0,0,850,0
San Bernardino,"1,991",0,0,2,20,2,296,15,1,0,2,"1,653",0
San Diego,"17,439","14,138",0,23,136,220,374,239,0,0,1,"2,306",2
San Luis Obispo,"2,392",1,0,17,"1,957",1,62,67,0,0,0,243,44
Tulare,"3,455",29,0,0,"1,213",31,803,2,0,0,0,"1,377",0
Calaveras,"1,145",0,0,28,189,6,865,5,0,0,12,39,1
E. San Joaquin,26,1,0,0,0,0,8,0,0,0,0,17,0
E. Stanislaus,"2,157",259,0,0,59,"1,122",431,3,0,0,1,276,6
Tuolumne,335,8,0,29,1,0,154,2,0,0,1,134,6
