NORTHERN REGION,Total,Arson,Campfire,Debris,Equip.,Ltng.,Misc.,Powerline,P-W-F,Railroad,Smoking,Undet.,Vehicle,Year,Region
Amador,102,0,7,9,29,41,1,1,0,0,0,13,1,2012,Northern
El Dorado,297,8,0,48,24,9,128,23,0,0,1,7,49,2012,Northern
Sacramento,89,0,0,0,50,0,3,0,0,0,14,22,0,2012,Northern
Butte,311,20,0,11,75,0,2,106,5,0,1,41,50,2012,Northern
Tehama,"1,647","1,641",0,0,3,0,0,0,0,0,0,3,0,2012,Northern
Butte,"1,958","1,661",0,11,78,0,2,106,5,0,1,44,50,2012,Northern
Del Norte,122,121,0,0,0,0,0,0,0,0,0,1,0,2012,Northern
Humboldt,216,16,136,2,2,0,0,11,0,0,0,47,2,2012,Northern
Lassen,298,0,0,25,0,7,258,0,0,0,0,8,0,2012,Northern
Modoc,13,0,0,9,0,2,1,0,0,0,0,1,0,2012,Northern
Plumas,101,0,0,1,0,0,0,0,0,0,0,100,0,2012,Northern
Mendocino,"5,333",16,"4,522",12,3,8,3,247,4,0,1,497,20,2012,Northern
Nevada,72,5,4,15,9,2,4,11,0,0,2,14,6,2012,Northern
Placer,"2,724","2,650",1,17,11,1,8,4,0,0,0,23,9,2012,Northern
Sierra,2,0,0,0,0,0,0,0,0,0,0,2,0,2012,Northern
Yuba,117,0,0,10,4,0,51,13,1,1,0,13,24,2012,Northern
San Mateo,20,2,1,0,3,1,0,13,0,0,0,0,0,2012,Northern
Santa Cruz,122,0,3,110,1,0,2,2,2,0,0,1,1,2012,Northern
Alameda,115,0,0,0,0,0,17,83,0,0,0,15,0,2012,Northern
Contra Costa,145,2,0,0,32,0,0,4,0,0,0,6,101,2012,Northern
Santa Clara,26,1,2,8,0,0,1,1,0,0,0,10,3,2012,Northern
W. San Joaquin,204,0,0,0,0,0,6,0,0,0,0,0,198,2012,Northern
W. Stanislaus,44,0,0,0,0,0,0,3,0,0,0,38,3,2012,Northern
E. Trinity,20,5,0,5,0,0,0,3,0,0,0,6,1,2012,Northern
Shasta,"2,134",12,72,36,235,180,374,"1,116",2,0,0,97,10,2012,Northern
Shasta,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,Northern
Siskiyou,592,2,4,458,1,6,4,0,100,0,0,16,1,2012,Northern
Colusa,"4,285",0,0,0,1,0,0,0,0,0,0,"4,284",0,2012,Northern
Lake,"8,355",0,0,16,9,10,8,317,1,0,0,"7,979",15,2012,Northern
Napa,236,0,1,206,5,0,2,6,0,0,3,10,3,2012,Northern
Solano,235,115,1,1,4,0,17,7,0,0,1,89,0,2012,Northern
Sonoma,123,2,2,8,6,0,3,40,0,0,1,47,14,2012,Northern
Yolo,"20,182",251,0,0,529,0,0,0,0,0,0,"19,265",137,2012,Northern
Glenn,5,0,0,0,3,0,0,0,0,0,0,2,0,2012,Northern
Tehama,"28,638",7,0,7,261,"27,678",158,99,5,0,0,81,342,2012,Northern
Fresno,574,34,1,3,50,13,50,88,0,0,138,176,21,2012,Southern
Kings,52,0,0,0,0,3,2,44,0,0,0,3,0,2012,Southern
Madera,188,15,0,5,7,0,8,49,0,0,0,88,16,2012,Southern
Mariposa,"1,750",0,6,16,10,0,4,"1,702",0,0,0,8,4,2012,Southern
Merced,456,0,0,0,0,3,1,434,0,0,0,16,2,2012,Southern
Riverside,"6,256",54,2,16,919,"2,750",489,440,2,0,7,"1,570",7,2012,Southern
Monterey,"2,817",15,2,11,"2,649",3,92,33,2,0,0,4,6,2012,Southern
San Benito,55,1,0,5,9,1,36,2,0,0,0,1,0,2012,Southern
Inyo,21,1,5,3,0,0,3,0,0,0,1,6,2,2012,Southern
San Bernardino,"1,466",1,111,5,1,91,6,7,2,0,3,"1,128",111,2012,Southern
San Diego,"35,213",3,1,8,23,"24,851","1,055",18,0,0,0,"9,211",43,2012,Southern
San Luis Obispo,"1,121",0,1,77,644,150,172,18,1,1,1,25,31,2012,Southern
Tulare,187,27,0,0,25,0,6,6,0,0,0,122,1,2012,Southern
Calaveras,569,20,0,36,174,204,21,4,3,0,0,97,10,2012,Southern
E. San Joaquin,87,11,0,1,71,0,0,0,0,0,0,4,0,2012,Southern
E. Stanislaus,45,1,0,18,6,0,6,0,0,0,0,14,0,2012,Southern
Tuolumne,"1,174",1,1,11,126,10,0,11,26,0,1,985,2,2012,Southern
