NORTHERN REGION,Total,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,Year,Region
Amador,221,4,0,9,100,2,0,2,100,0,0,2,2,2013,Northern
El Dorado,586,11,9,32,48,164,1,8,3,0,118,3,189,2013,Northern
Sacramento,83,0,0,2,7,11,0,0,0,0,0,58,5,2013,Northern
San Joaquin,67,1,0,1,0,64,0,0,0,0,0,1,0,2013,Northern
Butte,"3,416",22,4,107,197,"2,283",5,549,2,0,0,206,41,2013,Northern
Tehama,"6,896",0,0,0,0,0,0,0,0,0,0,"6,896",0,2013,Northern
Butte,"10,312",22,4,107,197,"2,283",5,549,2,0,0,"7,102",41,2013,Northern
Del Norte,15,0,11,1,0,0,0,0,0,0,0,2,1,2013,Northern
Humboldt,335,23,7,15,2,18,0,3,3,0,0,138,126,2013,Northern
Lassen,181,1,0,46,0,0,115,1,0,0,3,15,0,2013,Northern
Modoc,629,0,0,2,0,0,583,0,1,1,0,4,38,2013,Northern
Plumas,2,0,0,0,0,0,0,0,0,0,0,0,2,2013,Northern
Shasta,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,Northern
Siskiyou,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,Northern
Mendocino,696,18,2,331,215,24,4,7,7,1,0,82,5,2013,Northern
Nevada,131,0,12,22,4,8,2,3,1,0,11,67,1,2013,Northern
Placer,175,3,3,27,7,30,2,22,0,19,0,59,3,2013,Northern
Sierra,4,0,0,1,0,0,0,0,0,0,0,3,0,2013,Northern
Sutter,1,0,0,0,1,0,0,0,0,0,0,0,0,2013,Northern
Yuba,229,1,0,15,4,9,0,67,0,0,1,123,9,2013,Northern
San Mateo,13,1,0,0,2,1,0,0,0,0,0,4,5,2013,Northern
Santa Cruz,45,21,3,2,2,0,0,5,1,0,1,9,1,2013,Northern
Alameda,843,0,0,1,256,65,0,1,0,0,240,85,195,2013,Northern
Contra Costa,"3,971",1,0,1,505,60,0,"3,101",0,0,0,300,3,2013,Northern
Santa Clara,148,0,0,1,101,3,0,13,0,0,0,18,12,2013,Northern
W. San Joaquin,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,Northern
W. Stanislaus,190,0,0,0,40,14,0,3,0,0,0,128,5,2013,Northern
E. Trinity,23,1,1,5,2,2,8,1,0,0,1,1,1,2013,Northern
Shasta,"8,693",32,12,99,12,27,194,66,10,0,6,"8,217",18,2013,Northern
Shasta,2,0,0,0,0,0,2,0,0,0,0,0,0,2013,Northern
Siskiyou,134,0,0,7,0,63,61,1,0,0,0,2,0,2013,Northern
Colusa,11,0,0,0,0,2,1,0,0,0,0,8,0,2013,Northern
Lake,870,33,1,340,85,38,3,103,0,0,0,130,137,2013,Northern
Napa,447,0,0,1,14,5,0,6,12,0,0,407,2,2013,Northern
Solano,166,0,0,28,15,20,8,1,7,0,0,73,14,2013,Northern
Sonoma,"4,189",26,6,24,"3,668",210,7,9,2,0,163,47,27,2013,Northern
Yolo,189,0,0,1,9,170,0,1,0,0,0,8,0,2013,Northern
Glenn,224,0,0,217,1,2,1,0,0,0,0,3,0,2013,Northern
Tehama,"12,168",7,0,107,"11,647",51,209,8,1,0,22,115,1,2013,Northern
Fresno,509,8,0,3,20,62,105,17,1,0,0,279,14,2013,Southern
Kings,6,0,0,0,1,0,0,0,0,0,0,5,0,2013,Southern
Madera,"1,153",41,2,1,6,20,1,18,5,0,5,470,584,2013,Southern
Mariposa,132,0,0,17,1,15,0,5,0,0,3,87,4,2013,Southern
Merced,286,124,0,1,8,1,0,0,0,0,122,30,0,2013,Southern
Riverside,"49,460",5,4,14,"27,677",7,3,184,43,0,1,"21,473",49,2013,Southern
Monterey,202,2,1,12,10,6,0,31,0,0,2,3,135,2013,Southern
San Benito,466,1,0,3,0,354,0,7,0,0,0,1,100,2013,Southern
Inyo,438,0,0,0,0,0,9,1,0,0,0,21,407,2013,Southern
San Bernardino,666,539,2,4,1,13,12,4,1,3,2,82,3,2013,Southern
San Diego,"13,319",5,6,5,16,215,12,49,1,0,5,"12,847",158,2013,Southern
San Luis Obispo,407,0,5,9,117,61,0,26,0,0,8,161,20,2013,Southern
Tulare,529,246,1,1,12,257,3,2,0,0,0,3,4,2013,Southern
Calaveras,211,3,2,20,38,13,0,22,2,0,1,82,28,2013,Southern
E. San Joaquin,408,0,0,0,0,377,0,0,0,0,0,31,0,2013,Southern
E. Stanislaus,82,1,1,0,0,1,0,0,0,0,0,79,0,2013,Southern
Tuolumne,203,0,0,8,7,16,1,13,0,0,1,152,5,2013,Southern
