SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Calaveras,293,0,0,36,49,26,8,5,1,0,0,17,151
E. San Joaquin,23,0,0,0,0,17,0,2,0,0,0,1,3
E. Stanislaus,117,20,4,0,44,3,0,36,0,0,0,6,4
Fresno,393,220,1,12,27,12,59,18,0,0,9,14,21
Inyo,"7,002",0,0,0,1,0,0,0,0,0,0,"7,001",0
Kings,2,0,0,0,0,0,0,0,0,0,0,2,0
Madera,"1,151",8,0,142,921,54,0,0,3,0,0,4,19
Mariposa,113,4,1,7,0,32,1,5,0,0,0,1,62
Merced,"3,789",23,0,0,3,0,"1,600",11,0,0,0,8,"2,144"
Monterey,"1,206",0,0,12,4,5,69,3,3,0,0,"1,104",6
Riverside,"1,256",0,81,3,3,"1,063",0,20,1,0,0,59,26
San Benito,769,0,0,9,695,51,4,2,0,0,0,2,6
San Bernardino,53,1,2,3,0,1,0,3,2,0,0,41,0
San Diego,229,0,2,4,3,7,2,10,0,0,0,201,0
San Luis Obispo,"4,463",0,3,24,11,11,4,110,0,0,0,7,"4,293"
Tulare,740,6,0,0,2,36,629,23,0,0,0,43,1
Tuolumne,568,0,0,209,6,72,0,54,0,0,0,117,110
