COUNTY,Total,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,Year,Year,Region
Alameda,170,0,0,0,70,20,0,1,0,0,0,39,40,2016,2016,Northern
Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,Northern
Amador,383,3,0,8,2,41,3,18,0,0,0,260,48,2016,2016,Northern
Butte,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,Northern
Colusa,7,6,0,0,0,0,0,0,0,0,0,0,1,2016,2016,Northern
Contra Costa,224,0,0,0,57,9,0,7,0,0,0,148,3,2016,2016,Northern
Del Norte,105,1,0,0,0,1,0,0,0,0,0,103,0,2016,2016,Northern
El Dorado,371,25,0,19,206,94,0,2,0,0,1,21,3,2016,2016,Northern
Glenn,1,0,0,0,0,0,0,0,0,0,0,1,0,2016,2016,Northern
Humboldt,768,601,3,6,7,22,0,13,0,0,0,100,16,2016,2016,Northern
Imperial,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,Northern
Lake,"4,041","3,979",0,2,18,29,0,2,0,0,0,3,8,2016,2016,Northern
Lassen,"2,631",1,1,4,0,5,5,1,0,0,0,"2,577",37,2016,2016,Northern
Mendocino,206,1,18,6,7,50,0,9,0,1,0,12,102,2016,2016,Northern
Modoc,388,0,0,0,0,0,0,5,0,380,0,1,2,2016,2016,Northern
Mono,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,Northern
Napa,139,2,0,0,3,6,0,1,0,0,0,120,7,2016,2016,Northern
Nevada,44,12,1,6,1,6,0,4,0,0,0,14,0,2016,2016,Northern
Placer,"5,722",1,2,6,8,21,0,8,2,0,2,"5,669",3,2016,2016,Northern
Plumas,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,Northern
Sacramento,542,0,0,0,87,79,0,0,2,0,0,2,372,2016,2016,Northern
San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,Northern
San Joaquin,378,0,0,0,0,5,0,0,0,1,0,223,149,2016,2016,Northern
San Mateo,20,0,0,3,2,,0,1,0,0,0,13,1,2016,2016,Northern
Santa Clara,"4,756",0,0,3,25,129,0,103,0,0,0,"4,488",8,2016,2016,Northern
Santa Cruz,15,0,0,0,1,1,0,2,0,0,0,1,10,2016,2016,Northern
Shasta,480,311,1,42,7,2,2,27,0,0,1,47,40,2016,2016,Northern
Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,Northern
Siskiyou,844,0,2,9,713,2,8,1,29,28,0,31,21,2016,2016,Northern
Solano,73,0,0,0,0,4,0,0,0,0,0,68,1,2016,2016,Northern
Sonoma,"1,632",3,0,1,4,12,0,"1,559",1,0,0,42,10,2016,2016,Northern
Stanislaus,281,0,8,0,30,1,3,0,0,0,0,207,32,2016,2016,Northern
Sutter,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,Northern
Tehama,"1,110",0,0,3,798,110,0,16,0,0,0,93,90,2016,2016,Northern
Trinity,4,0,0,1,1,0,0,0,0,0,0,1,1,2016,2016,Northern
Yolo,"6,105",0,0,5,2,89,0,0,0,0,0,"6,008",1,2016,2016,Northern
Yuba,602,0,1,4,0,36,0,413,0,0,1,93,54,2016,2016,Northern
Calaveras,"1,453",0,0,13,344,540,0,8,0,0,0,92,456,2016,2016,Southern
Fresno,"13,568","9,507",1,6,152,3,150,24,0,0,123,"3,422",180,2016,2016,Southern
Inyo,110,0,0,0,0,1,0,0,0,0,0,109,0,2016,2016,Southern
Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,Southern
Madera,499,2,0,41,8,189,0,105,0,0,2,82,70,2016,2016,Southern
Mariposa,125,1,0,12,4,33,0,1,0,0,0,52,22,2016,2016,Southern
Merced,"1,497",0,33,12,37,5,0,5,0,0,0,52,"1,353",2016,2016,Southern
Monterey,"136,624",6,"132,127","3,877",9,7,0,55,0,0,0,236,307,2016,2016,Southern
Riverside,"2,088",216,7,1,1,2,1,11,1,0,10,"1,835",3,2016,2016,Southern
San Benito,272,0,0,1,1,89,0,174,0,0,0,0,7,2016,2016,Southern
San Bernardino,19,0,0,3,1,2,3,2,0,0,0,8,0,2016,2016,Southern
San Diego,"7,963",7,2,4,12,22,5,33,0,0,1,"7,794",83,2016,2016,Southern
San Luis Obispo,"46,805",10,2,13,67,92,0,20,0,0,4,255,"46,342",2016,2016,Southern
Tulare,229,72,0,2,62,28,0,1,0,0,0,54,10,2016,2016,Southern
Tuolumne,"1,262",0,0,4,32,27,2,84,10,0,0,8,"1,095",2016,2016,Southern
