,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,
NORTHERN REGION,,,,,,,,,,,,,,,,,
Amador-El Dorado,"1,296",28,0,27,,295,,214,,3,20,2,0,1,283,423,
Butte,1,0,0,0,,0,,,0,0,0,0,0,0,1,0,
Humboldt-Del Norte,873,602,3,6,,7,,23,,0,13,0,0,0,203,16,
Lassen-Modoc,"3,018",1,1,4,,0,,,5,5,5,0,380,0,"2,578",39,
Mendocino,206,1,18,6,,7,,50,,0,9,0,1,0,12,102,
Nevada-Yuba-Placer,"6,368",13,4,16,,9,,63,,0,425,2,0,3,"5,776",57,
San Mateo-Santa Cruz,35,0,0,3,,3,,,1,0,3,0,0,0,14,11,
Santa Clara,"5,728",0,0,3,,152,,158,,3,111,0,1,0,"5,100",200,
Shasta-Trinity,484,311,1,43,,8,,,2,2,27,0,0,1,48,41,
Siskiyou,844,0,2,9,,713,,,2,8,1,29,28,0,31,21,
Sonoma-Lake-Napa,"11,997","3,990",0,8,,27,,140,,0,"1,562",1,0,0,"6,241",28,
Tehama-Glenn,"1,110",0,0,3,,798,,110,,0,16,0,0,0,93,90,
TOTAL,"31,960","4,946",29,128,,"2,019",,768,,21,"2,192",34,410,5,"20,380","1,028",
SOUTHERN REGION,,,,,,,,,,,,,,,,,
Fresno-Kings,"13,568","9,507",1,6,,152,,,3,150,24,0,0,123,"3,422",180,
Madera-Mariposa,"2,121",3,33,65,,49,,227,,0,111,0,0,2,186,"1,445",
Riverside,"2,088",216,7,1,,1,,,2,1,11,1,0,10,"1,835",3,
San Benito-Monterey,"136,896",6,"132,127","3,878",,10,,96,,0,229,0,0,0,236,314,
San Bernardino,129,0,0,3,,1,,,3,3,2,0,0,0,117,0,
San Diego,"7,963",7,2,4,,12,,22,,5,33,0,0,1,"7,794",83,
San Luis Obispo,"46,805",10,2,13,,67,,92,,0,20,0,0,4,255,"46,342",
Tulare,229,72,0,2,,62,,28,,0,1,0,0,0,54,10,
Tuolumne-Calaveras,"2,797",0,8,17,,406,,573,,2,93,10,0,0,105,"1,583",
TOTAL,"212,596","9,821","132,180","3,989",,760,,"1,046",,161,524,11,0,140,"14,004","49,960",
STATE TOTAL,"244,556","14,767","132,209","4,117",,"2,779",,"1,814",,182,"2,716",45,410,145,"34,384","50,988",
COUNTY,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Alameda,170,0,0,0,,70,,20,,0,,1,0,0,0,39,40
Alpine,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0
Amador,383,3,0,8,,2,,41,,3,,18,0,0,0,260,48
Butte,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0
Calaveras,"1,453",0,0,13,,344,,540,,0,,8,0,0,0,92,456
Colusa,7,6,0,0,,0,,,0,0,,0,0,0,0,0,1
Contra Costa,224,0,0,0,,57,,,9,0,,7,0,0,0,148,3
Del Norte,105,1,0,0,,0,,,1,0,,0,0,0,0,103,0
El Dorado,371,25,0,19,,206,,94,,0,,2,0,0,1,21,3
Fresno,"13,568","9,507",1,6,,152,,,3,150,,24,0,0,123,"3,422",180
Glenn,1,0,0,0,,0,,,0,0,,0,0,0,0,1,0
Humboldt,768,601,3,6,,7,,22,,0,,13,0,0,0,100,16
Imperial,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0
Inyo,110,0,0,0,,0,,,1,0,,0,0,0,0,109,0
Kings,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0
Lake,"4,041","3,979",0,2,,18,,29,,0,,2,0,0,0,3,8
Lassen,"2,631",1,1,4,,0,,,5,5,,1,0,0,0,"2,577",37
Madera,499,2,0,41,,8,,189,,0,,105,0,0,2,82,70
Mariposa,125,1,0,12,,4,,33,,0,,1,0,0,0,52,22
Mendocino,206,1,18,6,,7,,50,,0,,9,0,1,0,12,102
Merced,"1,497",0,33,12,,37,,,5,0,,5,0,0,0,52,"1,353"
Modoc,388,0,0,0,,0,,,0,0,,5,0,380,0,1,2
Mono,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0
Monterey,"136,624",6,"132,127","3,877",,9,,,7,0,,55,0,0,0,236,307
Napa,139,2,0,0,,3,,,6,0,,1,0,0,0,120,7
Nevada,44,12,1,6,,1,,,6,0,,4,0,0,0,14,0
Placer,"5,722",1,2,6,,8,,21,,0,,8,2,0,2,"5,669",3
