SOUTHERN REGION,,Total,,Brush,,Grass,,Timber,,Woodland,,Other
Fresno,,360,,0,,51,,,1,,4,304
Kings,,0,,0,,0,,,0,,0,0
"",Fresno-Kings,360,,0,,51,,,1,,4,304
Madera,,156,,21,,128,,,2,,0,5
Mariposa,,175,,0,,111,,,0,,0,64
Merced,,"3,059",,0,,"3,040",,,0,,0,19
"",Madera-Mariposa,"3,390",,21,,"3,279",,,2,,0,88
Riverside,,"4,547",,"1,917",,"2,487",,,8,,0,135
"",Riverside,"4,547",,"1,917",,"2,487",,,8,,0,135
Monterey,,403,,23,,370,,,1,,0,9
San Benito,,156,,20,,83,,,0,,0,53
San Benito-Monterey,,559,,43,,453,,,1,,0,62
Inyo,,3,,1,,1,,,0,,0,1
San Bernardino,,321,,88,,205,,,0,,0,28
"",San Bernardino,324,,89,,206,,,0,,0,29
San Diego,,"3,594",,"1,234",,"2,276",,,1,,0,83
"",San Diego,"3,594",,"1,234",,"2,276",,,1,,0,83
San Luis Obispo,,"2,018",,29,,"1,940",,,1,,0,48
"",San Luis Obispo,"2,018",,29,,"1,940",,,1,,0,48
Tulare,,"2,519",,0,,"1,590",,,0,,0,929
"",Tulare,"2,519",,0,,"1,590",,,0,,0,929
Calaveras,,229,,2,,149,,,7,,2,69
E. San Joaquin,,17,,0,,17,,,0,,0,0
E. Stanislaus,,74,,0,,71,,,0,,0,3
Tuolumne,,298,,2,,272,,,3,,8,13
Tuolumne-Calaveras,,618,,4,,509,,,10,,10,85
SOUTHERN REGION TOTAL,,"17,930",,"3,337",,"12,791",,,24,,14,"1,764"
STATE TOTAL,,"25,438",,"5,747",,"16,453",,,409,,58,"2,771"
