NORTHERN REGION,,Total,,Brush,,Grass,,Timber,,Woodland,,Other
Amador,,102,,5,,41,,,1,,15,40
El Dorado,,297,,5,,169,,,3,,17,103
Sacramento,,89,,0,,82,,,0,,0,7
"",Amador-El Dorado,488,,10,,292,,,4,,32,150
Butte,,311,,110,,107,,,10,,63,21
Tehama,,"1,647",,0,,0,,,3,,0,"1,644"
"",Butte,"1,958",,110,,107,,,13,,63,"1,665"
Del Norte,,122,,0,,5,,,116,,0,1
Humboldt,,216,,2,,163,,,42,,0,9
"",Humboldt-Del Norte,338,,2,,168,,,158,,0,10
Lassen,,298,,34,,3,,,255,,0,6
Modoc,,13,,6,,7,,,0,,0,0
Plumas,,101,,100,,0,,,0,,1,0
"",Lassen-Modoc,412,,140,,10,,,255,,1,6
Mendocino,,"5,333",,13,,"4,812",,,83,,0,425
"",Mendocino,"5,333",,13,,"4,812",,,83,,0,425
Nevada,,72,,11,,19,,,14,,5,23
Placer,,"2,724",,"2,661",,21,,,6,,0,36
Sierra,,2,,0,,0,,,0,,0,2
Yuba,,117,,21,,68,,,2,,0,26
"",Nevada-Yuba-Placer,"2,915",,"2,693",,108,,,22,,5,87
San Mateo,,20,,0,,17,,,1,,0,2
Santa Cruz,,122,,1,,3,,,15,,0,103
"",San Mateo-Santa Cruz,142,,1,,20,,,16,,0,105
NORTHERN REGION,,Total,,Brush,,Grass,,Timber,,Woodland,,Other
Alameda,,115,,0,,114,,,0,,0,1
Contra Costa,,145,,0,,144,,,1,,0,0
Santa Clara,,26,,1,,17,,,1,,1,6
W. San Joaquin,,204,,0,,204,,,0,,0,0
W. Stanislaus,,44,,0,,44,,,0,,0,0
"",Santa Clara,534,,1,,523,,,2,,1,7
E. Trinity,,20,,3,,5,,,1,,6,5
Shasta,,"2,134",,"1,215",,573,,,23,,47,276
"",Shasta-Trinity,"2,154",,"1,218",,578,,,24,,53,281
Shasta,,0,,0,,0,,,0,,0,0
Siskiyou,,592,,0,,145,,,232,,110,105
"",Siskiyou,592,,0,,145,,,232,,110,105
Colusa,,"4,285",,"3,740",,545,,,0,,0,0
Lake,,"8,355",,17,,"8,299",,,19,,0,20
Napa,,236,,205,,19,,,2,,7,3
Solano,,235,,0,,222,,,0,,0,13
Sonoma,,123,,3,,73,,,7,,1,39
Yolo,,"20,182",,"19,005",,526,,,0,,0,651
Sonoma-Lake-Napa,,"33,416",,"22,970",,"9,684",,,28,,8,726
Glenn,,5,,0,,5,,,0,,0,0
Tehama,,"28,638",,2,,828,,,0,,0,"27,808"
"",Tehama-Glenn,"28,643",,2,,833,,,0,,0,"27,808"
NORTHERN REGION TOTAL,,"76,925",,"27,160",,"17,280",,,837,,273,"31,375"
