SOUTHERN REGION,,Total,,Brush,,Grass,,Timber,,Woodland,,Other
Fresno,,509,,4,,364,,1,,,0,140
Kings,,6,,0,,1,,0,,,0,5
"",Fresno-Kings,515,,4,,365,,1,,,0,145
Madera,,"1,153",,20,,859,,0,,,15,259
Mariposa,,132,,1,,105,,1,,,0,25
Merced,,286,,0,,160,,0,,,0,126
"",Madera-Mariposa,"1,571",,21,,"1,124",,1,,,15,410
Riverside,,"49,460",,"20,509",,685,,2,,,0,"28,264"
"",Riverside,"49,460",,"20,509",,685,,2,,,0,"28,264"
Monterey,,202,,10,,177,,6,,,0,9
San Benito,,466,,0,,462,,1,,,0,3
San Benito-Monterey,,668,,10,,639,,7,,,0,12
Inyo,,438,,11,,20,,0,,,0,407
San Bernardino,,666,,22,,635,,0,,,0,9
"",San Bernardino,"1,104",,33,,655,,0,,,0,416
San Diego,,"13,319",,"7,215",,"5,755",,6,,,4,339
"",San Diego,"13,319",,"7,215",,"5,755",,6,,,4,339
San Luis Obispo,,407,,54,,321,,0,,,8,24
"",San Luis Obispo,407,,54,,321,,0,,,8,24
Tulare,,529,,0,,522,,1,,,0,6
"",Tulare,529,,0,,522,,1,,,0,6
Calaveras,,211,,87,,99,,10,,,2,13
E. San Joaquin,,408,,0,,384,,0,,,0,24
E. Stanislaus,,82,,0,,62,,0,,,0,20
Tuolumne,,203,,0,,185,,2,,,1,15
Tuolumne-Calaveras,,904,,87,,730,,12,,,3,72
SOUTHERN REGION TOTAL,,"68,477",,"27,933",,"10,796",,30,,,30,"29,688"
STATE TOTAL,,"114,473",,"28,794",,"43,827",,"7,497",,,192,"34,163"
