NORTHERN REGION,,Total,,Brush,,Grass,,Timber,,Woodland,,Other,
Amador,,179,,1,,,132,21,,,10,,15
El Dorado,,"102,085",,"97,719",,,"4,318",18,,,0,,30
Sacramento,,94,,0,,,93,0,,,0,,1
San Joaquin,,30,,0,,,30,0,,,0,,0
"",Amador-El Dorado,"102,388",,"97,720",,,"4,573",39,,,10,,46
Butte,,559,,22,,,90,390,,,1,,56
Tehama,,5,,0,,,0,5,,,0,,0
"",Butte,564,,22,,,90,395,,,1,,56
Del Norte,,14,,3,,,3,3,,,3,,2
Humboldt,,596,,4,,,153,420,,,12,,7
"",Humboldt-Del Norte,610,,7,,,156,423,,,15,,9
Lassen,,"13,220",,20,,,2,"13,195",,,1,,2
Modoc,,18,,0,,,4,14,,,0,,0
Plumas,,0,,0,,,0,0,,,0,,0
Shasta,,0,,0,,,0,0,,,0,,0
Siskiyou,,0,,0,,,0,0,,,0,,0
"",Lassen-Modoc,"13,238",,20,,,6,13209,,,1,,2
Mendocino,,"13,207",,15,,,70,"12,641",,,1,,480
"",Mendocino,"13,207",,15,,,70,12641,,,1,,480
Nevada,,212,,11,,,23,18,,,0,,160
Placer,,552,,463,,,50,23,,,2,,14
Sierra,,0,,0,,,0,0,,,0,,0
Sutter,,0,,0,,,0,0,,,0,,0
Yuba,,126,,51,,,42,11,,,0,,22
"",Nevada-Yuba-Placer,890,,525,,,115,52,,,2,,196
San Mateo,,9,,5,,,4,0,,,0,,0
Santa Cruz,,15,,1,,,1,13,,,0,,0
"",San Mateo-Santa Cruz,24,,6,,,5,13,,,0,,0
NORTHERN REGION,,Total,,Brush,,Grass,,Timber,,Woodland,,Other,
Alameda,,130,,0,,130,,0,,0,,,0
Contra Costa,,210,,0,,210,,0,,0,,,0
Santa Clara,,269,,82,,185,,0,,0,,,2
W. San Joaquin,,0,,0,,0,,0,,0,,,0
W. Stanislaus,,22,,0,,21,,0,,0,,,1
"",Santa Clara,631,,82,,546,,0,,0,,,3
E. Trinity,,466,,0,,1,,0,,461,,,4
Shasta,,"12,918",,5,,"12,817",,8,,8,,,80
"",Shasta-Trinity,"13,384",,5,,12818,,8,,469,,,84
Shasta,,0,,0,,0,,0,,0,,,0
Siskiyou,,292,,2,,244,,26,,2,,,18
"",Siskiyou,292,,2,,244,,26,,2,,,18
Colusa,,16,,0,,1,,0,,0,,,15
Lake,,343,,43,,24,,1,,179,,,96
Napa,,"10,956",,0,,"10,944",,7,,0,,,5
Solano,,94,,1,,93,,0,,0,,,0
Sonoma,,82,,5,,52,,10,,0,,,15
Yolo,,400,,0,,398,,0,,0,,,2
Sonoma-Lake-Napa,,"11,891",,49,,11512,,18,,179,,,133
Glenn,,1,,0,,1,,0,,0,,,0
Tehama,,338,,1,,312,,1,,1,,,23
"",Tehama-Glenn,339,,1,,313,,1,,1,,,23
NORTHERN REGION TOTAL,,"157,458",,"98,454",,"30,448",,"26,825",,681,,,"1,050"
