SOUTHERN REGION,,Total,,Brush,,Grass,,Timber,,Woodland,,Other
Fresno,,242,,6,,209,,2,,10,,15
Kings,,6,,0,,1,,0,,0,,5
"",Fresno-Kings,248,,6,,210,,2,,10,,20
Madera,,998,,617,,54,,1,,4,,322
Mariposa,,527,,0,,96,,1,,292,,138
Merced,,39,,0,,30,,0,,0,,9
Madera-Mariposa,,"1,564",,617,,180,,2,,296,,469
Riverside,,372,,82,,151,,2,,1,,136
"",Riverside,372,,82,,151,,2,,1,,136
Monterey,,374,,66,,117,,191,,0,,0
San Benito,,24,,0,,15,,0,,0,,9
San Benito-Monterey,,398,,66,,132,,191,,0,,9
Inyo,,137,,136,,0,,1,,0,,0
San Bernardino,,37,,12,,6,,0,,3,,16
"",San Bernardino,174,,148,,6,,1,,3,,16
San Diego,,927,,304,,159,,1,,0,,463
"",San Diego,927,,304,,159,,1,,0,,463
San Luis Obispo,,112,,5,,74,,0,,3,,30
San Luis Obispo,,112,,5,,74,,0,,3,,30
Tulare,,321,,0,,318,,1,,0,,2
"",Tulare,321,,0,,318,,1,,0,,2
Calaveras,,322,,107,,177,,14,,1,,23
E. San Joaquin,,51,,0,,50,,0,,0,,1
E. Stanislaus,,395,,0,,265,,1,,0,,129
Tuolumne,,725,,10,,665,,7,,2,,41
Tuolumne-Calaveras,,"1,493",,117,,"1,157",,22,,3,,194
SOUTHERN REGION TOTAL,,"5,609",,"1,345",,"2,387",,222,,316,,"1,339"
STATE TOTAL,,"163,067",,"99,799",,"32,835",,"27,047",,997,,"2,389"
