NORTHERN REGION,Total,Brush,Grass,Timber,Woodland,Other,year,region
Amador,42,1,31,0,7,3,2010,north
El Dorado,133,5,102,1,1,24,2010,north
Sacramento,213,0,192,0,0,21,2010,north
San Joaquin,6,0,3,0,0,3,2010,north
Butte,190,4,98,14,2,72,2010,north
Plumas,0,0,0,0,0,0,2010,north
Tehama,126,0,0,126,0,0,2010,north
Del Norte,22,0,18,0,0,4,2010,north
Humboldt,250,1,231,6,0,12,2010,north
Siskiyou,0,0,0,0,0,0,2010,north
W. Trinity,0,0,0,0,0,0,2010,north
Lassen,332,249,71,2,9,1,2010,north
Modoc,86,81,2,1,1,1,2010,north
Plumas,1,0,0,0,0,1,2010,north
Mendocino,235,4,162,9,0,60,2010,north
Nevada,55,8,24,3,7,13,2010,north
Placer,289,3,209,2,6,69,2010,north
Sierra,4,0,0,2,0,2,2010,north
Yuba,1588,1512,51,0,0,25,2010,north
San Mateo,11,3,7,1,0,0,2010,north
Santa Cruz,23,3,13,5,0,2,2010,north
Alameda,850,0,693,0,0,157,2010,north
Contra Costa,409,0,19,180,0,210,2010,north
Santa Clara,68,2,59,2,0,5,2010,north
W. San Joaquin,218,0,214,0,0,4,2010,north
W. Stanislaus,716,0,715,0,0,1,2010,north
E. Trinity,16,4,2,1,8,1,2010,north
Lassen,0,0,0,0,0,0,2010,north
Shasta,413,54,109,20,1,229,2010,north
Siskiyou,62,10,23,4,2,23,2010,north
Colusa,7,0,7,0,0,0,2010,north
Lake,506,456,38,1,0,11,2010,north
Napa,171,6,129,2,0,34,2010,north
Solano,68,0,66,0,0,2,2010,north
Sonoma,234,3,219,3,0,9,2010,north
Yolo,39,0,39,0,0,0,2010,north
Sonoma-Lake-Napa,1025,465,498,6,0,56,2010,north
Glenn,8,0,8,0,0,0,2010,north
Tehama,114,1,108,0,0,5,2010,north
Fresno,360,0,51,1,4,304,2010,south
Kings,0,0,0,0,0,0,2010,south
Madera,156,21,128,2,0,5,2010,south
Mariposa,175,0,111,0,0,64,2010,south
Merced,3059,0,3040,0,0,19,2010,south
Riverside,4547,1917,2487,8,0,135,2010,south
Monterey,403,23,370,1,0,9,2010,south
San Benito,156,20,83,0,0,53,2010,south
Inyo,3,1,1,0,0,1,2010,south
San Bernardino,321,88,205,0,0,28,2010,south
San Diego,3594,1234,2276,1,0,83,2010,south
San Luis Obispo,2018,29,1940,1,0,48,2010,south
Tulare,2519,0,1590,0,0,929,2010,south
Calaveras,229,2,149,7,2,69,2010,south
E. San Joaquin,17,0,17,0,0,0,2010,south
E. Stanislaus,74,0,71,0,0,3,2010,south
Tuolumne,298,2,272,3,8,13,2010,south
