,Total,Brush,Grass,Timber,Woodland,Other,year,region
Amador,115,0,90,2,1,22,2011,north
El Dorado,109,1,32,43,1,32,2011,north
Sacramento,60,0,53,0,0,7,2011,north
San Joaquin,23,0,18,0,0,5,2011,north
Butte,276,2,163,51,5,55,2011,north
Plumas,2,0,0,0,0,2,2011,north
Tehama,1,0,0,1,0,0,2011,north
Del Norte,3,0,3,0,0,0,2011,north
Humboldt,695,3,532,122,1,37,2011,north
Siskiyou,5,0,0,5,0,0,2011,north
W. Trinity,1,0,0,1,0,0,2011,north
Lassen,59,12,14,4,4,25,2011,north
Modoc,33,6,0,0,0,27,2011,north
Plumas,2,1,0,1,0,0,2011,north
Mendocino,766,12,75,37,1,641,2011,north
Nevada,44,3,6,17,1,17,2011,north
Placer,58,2,38,6,0,12,2011,north
Sierra,14,0,0,11,1,2,2011,north
Sutter,357,0,117,0,0,240,2011,north
Yuba,852,0,229,1,11,611,2011,north
San Mateo,6,1,3,2,0,0,2011,north
Santa Cruz,20,0,4,11,0,5,2011,north
Alameda,1507,4,1421,0,0,82,2011,north
Contra Costa,474,2,404,0,13,55,2011,north
Santa Clara,113,5,78,1,0,29,2011,north
W. San Joaquin,290,0,251,0,0,39,2011,north
W. Stanislaus,52,0,51,0,0,1,2011,north
E. Trinity,69,31,26,8,1,3,2011,north
Lassen,0,0,0,0,0,0,2011,north
Shasta,347,34,188,36,49,40,2011,north
Siskiyou,99,3,62,1,9,24,2011,north
Colusa,77,0,77,0,0,0,2011,north
Lake,83,0,32,1,2,48,2011,north
Napa,619,5,103,1,0,510,2011,north
Solano,749,0,749,0,0,0,2011,north
Sonoma,69,0,53,5,1,10,2011,north
Yolo,207,0,205,1,0,1,2011,north
Glenn,2,0,2,0,0,0,2011,north
Tehama,324,1,164,2,0,157,2011,north
Fresno,1318,11,734,3,16,554,2011,south
Kings,48,0,0,0,0,48,2011,south
Madera,702,26,667,3,4,2,2011,south
Mariposa,112,36,66,0,1,9,2011,south
Merced,1397,40,1351,0,0,6,2011,south
Riverside,2318,217,1767,4,0,330,2011,south
Monterey,1801,883,916,1,0,1,2011,south
San Benito,119,1,114,0,0,4,2011,south
Inyo,6551,6545,5,1,0,0,2011,south
San Bernardino,1992,63,503,0,0,1426,2011,south
San Diego,17439,16883,461,2,0,93,2011,south
San Luis Obispo,2391,6,2366,2,0,17,2011,south
Tulare,3454,31,3393,0,0,30,2011,south
Calaveras,1146,153,216,761,1,15,2011,south
E. San Joaquin,26,0,26,0,0,0,2011,south
E. Stanislaus,2158,1,2073,0,0,84,2011,south
Tuolumne,335,9,171,20,1,134,2011,south
