NORTHERN REGION,Total,Brush,Grass,Timber,Woodland,Other,year,region
Amador,221,4,112,2,0,103,2013,north
El Dorado,586,62,371,22,6,125,2013,north
Sacramento,83,0,55,0,0,28,2013,north
San Joaquin,67,0,2,0,0,65,2013,north
Butte,3416,96,963,74,2,2281,2013,north
Tehama,6896,0,0,6896,0,0,2013,north
Del Norte,15,0,5,1,8,1,2013,north
Humboldt,335,12,241,32,1,49,2013,north
Lassen,181,18,39,9,13,102,2013,north
Modoc,629,4,98,10,0,517,2013,north
Plumas,2,0,0,1,0,1,2013,north
Shasta,1,0,0,1,0,0,2013,north
Siskiyou,1,0,0,0,0,1,2013,north
Mendocino,696,2,274,312,0,108,2013,north
Nevada,131,8,31,12,10,70,2013,north
Placer,175,6,73,7,2,87,2013,north
Sierra,4,0,0,0,3,1,2013,north
Sutter,1,0,1,0,0,0,2013,north
Yuba,229,0,192,2,1,34,2013,north
San Mateo,13,0,6,2,0,5,2013,north
Santa Cruz,45,4,6,11,0,24,2013,north
Alameda,843,1,839,0,0,3,2013,north
Contra Costa,3971,1,3732,0,0,238,2013,north
Santa Clara,148,0,129,1,0,18,2013,north
W. San Joaquin,1,0,1,0,0,0,2013,north
W. Stanislaus,190,0,190,0,0,0,2013,north
E. Trinity,23,0,5,6,3,9,2013,north
Shasta,8693,30,8363,30,7,263,2013,north
Siskiyou,134,1,104,13,13,3,2013,north
Colusa,11,2,9,0,0,0,2013,north
Lake,870,532,206,2,2,128,2013,north
Napa,447,29,412,3,0,3,2013,north
Solano,166,0,116,0,0,50,2013,north
Sonoma,4189,37,3931,14,86,121,2013,north
Yolo,189,3,185,0,0,1,2013,north
Glenn,224,0,223,0,0,1,2013,north
Tehama,12168,9,12117,2,5,35,2013,north
Fresno,509,4,364,1,0,140,2013,south
Kings,6,0,1,0,0,5,2013,south
Madera,1153,20,859,0,15,259,2013,south
Mariposa,132,1,105,1,0,25,2013,south
Merced,286,0,160,0,0,126,2013,south
Riverside,49460,20509,685,2,0,28264,2013,south
Monterey,202,10,177,6,0,9,2013,south
San Benito,466,0,462,1,0,3,2013,south
Inyo,438,11,20,0,0,407,2013,south
San Bernardino,666,22,635,0,0,9,2013,south
San Diego,13319,7215,5755,6,4,339,2013,south
San Luis Obispo,407,54,321,0,8,24,2013,south
Tulare,529,0,522,1,0,6,2013,south
Calaveras,211,87,99,10,2,13,2013,south
E. San Joaquin,408,0,384,0,0,24,2013,south
E. Stanislaus,82,0,62,0,0,20,2013,south
Tuolumne,203,0,185,2,1,15,2013,south
