NORTHERN REGION,Total,Brush,Grass,Timber,Woodland,Other,year,region
Amador,179,1,132,21,10,15,2014,north
El Dorado,102085,97719,4318,18,0,30,2014,north
Sacramento,94,0,93,0,0,1,2014,north
San Joaquin,30,0,30,0,0,0,2014,north
Butte,559,22,90,390,1,56,2014,north
Tehama,5,0,0,5,0,0,2014,north
Del Norte,14,3,3,3,3,2,2014,north
Humboldt,596,4,153,420,12,7,2014,north
Lassen,13220,20,2,13195,1,2,2014,north
Modoc,18,0,4,14,0,0,2014,north
Plumas,0,0,0,0,0,0,2014,north
Shasta,0,0,0,0,0,0,2014,north
Siskiyou,0,0,0,0,0,0,2014,north
Mendocino,13207,15,70,12641,1,480,2014,north
Nevada,212,11,23,18,0,160,2014,north
Placer,552,463,50,23,2,14,2014,north
Sierra,0,0,0,0,0,0,2014,north
Sutter,0,0,0,0,0,0,2014,north
Yuba,126,51,42,11,0,22,2014,north
San Mateo,9,5,4,0,0,0,2014,north
Santa Cruz,15,1,1,13,0,0,2014,north
Alameda,130,0,130,0,0,0,2014,north
Contra Costa,210,0,210,0,0,0,2014,north
Santa Clara,269,82,185,0,0,2,2014,north
W. San Joaquin,0,0,0,0,0,0,2014,north
W. Stanislaus,22,0,21,0,0,1,2014,north
E. Trinity,466,0,1,0,461,4,2014,north
Shasta,12918,5,12817,8,8,80,2014,north
Siskiyou,292,2,244,26,2,18,2014,north
Colusa,16,0,1,0,0,15,2014,north
Lake,343,43,24,1,179,96,2014,north
Napa,10956,0,10944,7,0,5,2014,north
Solano,94,1,93,0,0,0,2014,north
Sonoma,82,5,52,10,0,15,2014,north
Yolo,400,0,398,0,0,2,2014,north
Glenn,1,0,1,0,0,0,2014,north
Tehama,338,1,312,1,1,23,2014,north
Fresno,242,6,209,2,10,15,2014,south
Kings,6,0,1,0,0,5,2014,south
Madera,998,617,54,1,4,322,2014,south
Mariposa,527,0,96,1,292,138,2014,south
Merced,39,0,30,0,0,9,2014,south
Riverside,372,82,151,2,1,136,2014,south
Monterey,374,66,117,191,0,0,2014,south
San Benito,24,0,15,0,0,9,2014,south
Inyo,137,136,0,1,0,0,2014,south
San Bernardino,37,12,6,0,3,16,2014,south
San Diego,927,304,159,1,0,463,2014,south
San Luis Obispo,112,5,74,0,3,30,2014,south
Tulare,321,0,318,1,0,2,2014,south
Calaveras,322,107,177,14,1,23,2014,south
E. San Joaquin,51,0,50,0,0,1,2014,south
E. Stanislaus,395,0,265,1,0,129,2014,south
Tuolumne,725,10,665,7,2,41,2014,south
