,Total,Brush,Grass,Timber,Woodland,Other,year,region
Alameda,170,0,164,0,0,6,2016,north
Alpine,0,0,0,0,0,0,2016,north
Amador,383,0,118,6,1,258,2016,north
Butte,0,0,0,0,0,0,2016,north
Calaveras,1453,372,1046,2,1,32,2016,north
Colusa,7,0,7,0,0,0,2016,north
Contra Costa,224,0,224,0,0,0,2016,north
Del Norte,105,0,2,1,0,102,2016,north
El Dorado,371,6,62,179,5,119,2016,north
Fresno,13568,10160,3401,1,2,4,2016,south
Glenn,1,0,1,0,0,0,2016,north
Humboldt,768,1,19,681,0,67,2016,north
Imperial,0,0,0,0,0,0,2016,south
Inyo,110,107,3,0,0,0,2016,south
Kings,0,0,0,0,0,0,2016,south
Lake,4041,15,4002,2,0,22,2016,north
Lassen,2631,11,2,2608,3,7,2016,north
Madera,499,0,302,1,188,8,2016,south
Mariposa,125,1,100,2,0,22,2016,south
Mendocino,206,2,166,4,1,33,2016,north
Merced,1497,0,1496,0,0,1,2016,south
Modoc,388,4,1,1,0,382,2016,north
Mono,0,0,0,0,0,0,2016,north
Monterey,136624,227,4259,132127,1,10,2016,south
Napa,139,54,81,1,0,3,2016,north
Nevada,44,5,22,3,4,10,2016,north
Placer,5722,3,59,5649,2,9,2016,north
Plumas,0,0,0,0,0,0,2016,north
Riverside,2088,166,1724,3,0,195,2016,south
Sacramento,542,1,509,0,0,32,2016,north
San Benito,272,98,91,0,0,83,2016,south
San Bernardino,19,4,7,3,1,4,2016,south
San Diego,7963,7873,41,9,0,40,2016,south
San Francisco,0,0,0,0,0,0,2016,north
San Joaquin,378,0,378,0,0,0,2016,north
San Luis Obispo,46805,103,431,1,46236,34,2016,south
San Mateo,20,0,17,3,0,0,2016,north
Santa Clara,4756,4504,237,1,0,14,2016,north
Santa Cruz,15,1,12,1,0,1,2016,north
Shasta,480,7,115,3,15,340,2016,north
Siskiyou,844,1,831,6,5,1,2016,north
Solano,73,0,72,0,0,1,2016,north
Sonoma,1632,3,74,6,0,1549,2016,north
Stanislaus,281,1,280,0,0,0,2016,north
Tehama,1110,10,1096,4,0,0,2016,north
Trinity,4,0,2,0,0,2,2016,north
Tulare,229,0,198,1,1,29,2016,south
Tuolumne,1262,1092,148,7,9,6,2016,south
Yolo,6105,0,372,0,0,5733,2016,north
Yuba,602,2,596,1,2,1,2016,north
