county,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,P-W-F,Powerline,Railroad,Smoking,Undet.,Vehicle,year,region
Fresno,2,0,5,7,0,10,0,6,0,1,19,1,2010,south
Kings,0,0,0,0,0,0,0,0,0,0,1,0,2010,south
Madera,0,0,4,3,2,17,0,0,0,0,21,1,2010,south
Mariposa,0,0,4,8,0,10,0,2,0,0,6,1,2010,south
Merced,1,0,1,4,0,3,0,3,0,1,14,1,2010,south
Riverside,6,0,7,33,7,47,0,10,0,6,64,3,2010,south
Monterey,3,0,5,10,0,19,0,3,0,1,10,2,2010,south
San Benito,2,2,2,4,0,6,0,1,0,0,4,1,2010,south
Inyo,3,0,1,0,1,1,0,1,0,0,6,1,2010,south
San Bernardino,8,0,16,8,6,28,0,4,0,0,46,0,2010,south
San Diego,7,0,16,18,8,40,0,3,0,0,43,1,2010,south
San Luis Obispo,0,0,7,18,1,21,0,2,0,0,29,1,2010,south
Tulare,20,0,3,15,1,10,0,2,0,0,24,1,2010,south
Calaveras,7,2,10,12,2,24,0,8,0,2,18,0,2010,south
E. San Joaquin,0,0,0,0,0,1,0,2,0,0,3,1,2010,south
E. Stanislaus,7,0,1,3,0,9,0,1,0,2,8,1,2010,south
Tuolumne,1,0,5,4,2,18,0,2,0,0,24,3,2010,south
