county,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
Fresno,5,1,13,24,2,38,11,0,0,0,14,2,2011,south
Kings,0,0,0,2,0,2,0,0,0,0,1,0,2011,south
Madera,2,1,14,7,1,16,3,1,0,0,27,1,2011,south
Mariposa,1,0,10,6,1,18,1,0,0,0,12,0,2011,south
Merced,0,0,0,2,0,8,2,0,0,0,10,1,2011,south
Riverside,7,0,12,29,5,53,10,0,1,7,78,6,2011,south
Monterey,6,1,9,16,0,27,5,0,0,0,7,1,2011,south
San Benito,2,0,1,5,0,8,3,0,0,0,4,0,2011,south
Inyo,2,1,2,3,1,0,0,0,0,1,3,0,2011,south
San Bernardino,5,0,5,19,3,40,5,1,0,3,21,0,2011,south
San Diego,6,0,8,28,8,57,9,0,0,2,77,1,2011,south
San Luis Obispo,2,0,9,24,1,54,6,0,0,0,27,3,2011,south
Tulare,10,1,4,3,2,14,3,0,0,1,18,1,2011,south
Calaveras,5,1,37,11,3,45,2,1,0,2,25,2,2011,south
E. San Joaquin,1,0,0,1,0,4,0,0,0,0,1,0,2011,south
E. Stanislaus,3,3,0,3,1,22,1,0,0,1,16,2,2011,south
Tuolumne,2,0,31,2,0,66,2,0,0,1,16,1,2011,south
