county,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
Fresno,3,0,8,12,10,5,5,2,0,0,15,4,2013,south
Kings,0,0,0,1,0,0,0,0,0,0,1,2,2013,south
Madera,13,6,7,5,7,3,5,2,0,2,40,12,2013,south
Mariposa,0,1,7,2,3,0,5,0,0,4,13,3,2013,south
Merced,1,0,1,4,1,0,0,0,0,3,10,0,2013,south
Riverside,3,6,11,10,8,2,44,6,0,3,68,63,2013,south
Monterey,2,5,14,9,3,0,7,0,0,5,9,16,2013,south
San Benito,1,1,2,0,1,0,7,0,0,0,3,4,2013,south
Inyo,1,0,1,1,0,7,2,0,0,1,8,1,2013,south
San Bernardino,8,5,21,2,5,6,17,5,2,4,21,8,2013,south
San Diego,11,7,7,10,27,1,27,3,0,2,86,16,2013,south
San Luis Obispo,0,5,5,13,12,0,30,2,0,2,37,16,2013,south
Tulare,12,2,3,6,13,4,5,0,0,0,8,7,2013,south
Calaveras,4,3,22,9,11,0,7,3,0,1,30,8,2013,south
E. San Joaquin,0,0,0,0,4,0,0,0,0,0,3,0,2013,south
E. Stanislaus,2,1,0,2,1,0,0,0,0,0,15,2,2013,south
Tuolumne,2,2,17,8,8,1,18,1,0,2,18,6,2013,south
