county,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
Fresno,5,2,12,5,4,1,9,0,0,1,13,5,2014,south
Kings,0,0,0,0,0,0,1,0,0,0,0,2,2014,south
Madera,12,4,9,2,3,2,12,1,0,1,19,7,2014,south
Mariposa,1,2,12,5,1,1,1,0,0,1,12,2,2014,south
Merced,0,0,0,2,0,0,1,0,0,0,10,1,2014,south
Riverside,4,6,12,7,9,5,15,3,0,4,38,3,2014,south
Monterey,0,1,3,9,2,0,7,0,0,0,6,5,2014,south
San Benito,1,0,1,3,0,0,4,0,0,0,1,1,2014,south
Inyo,0,0,2,1,1,2,2,2,0,0,7,2,2014,south
San Bernardino,10,18,25,1,2,1,24,2,1,4,25,2,2014,south
San Diego,4,6,12,11,2,2,21,0,0,2,66,19,2014,south
San Luis Obispo,0,6,4,10,7,0,21,1,0,2,22,12,2014,south
Tulare,10,2,4,3,4,0,5,0,0,1,10,6,2014,south
Calaveras,1,3,17,12,17,9,17,3,0,1,13,7,2014,south
E. San Joaquin,0,0,0,2,2,0,1,0,0,0,0,2,2014,south
E. Stanislaus,1,1,1,1,4,0,2,0,0,0,8,3,2014,south
Tuolumne,5,1,17,9,5,3,16,2,0,0,31,5,2014,south
