county,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
Fresno,35,3,8,12,10,20,7,0,0,1,12,7,2015,south
Kings,0,0,0,0,0,0,0,0,0,0,2,0,2015,south
Madera,7,2,17,7,7,1,4,4,0,0,16,9,2015,south
Mariposa,4,2,20,0,5,1,5,0,0,1,4,2,2015,south
Merced,4,0,0,1,0,1,2,0,0,0,5,6,2015,south
Riverside,4,12,18,5,8,2,16,5,0,3,40,7,2015,south
Monterey,1,0,5,10,4,9,5,1,0,1,11,7,2015,south
San Benito,2,0,1,3,9,1,1,0,0,0,5,2,2015,south
Inyo,0,1,1,1,0,1,0,0,0,1,5,2,2015,south
San Bernardino,3,9,9,0,2,3,28,4,0,0,26,3,2015,south
San Diego,0,3,16,6,9,6,17,3,0,0,47,3,2015,south
San Luis Obispo,1,10,7,11,15,7,42,1,0,1,11,28,2015,south
Tulare,5,0,1,7,5,17,12,0,0,0,20,3,2015,south
Calaveras,2,1,32,7,13,8,21,1,0,1,26,10,2015,south
E. San Joaquin,0,0,0,0,4,0,1,0,0,0,3,2,2015,south
E. Stanislaus,4,5,0,6,1,1,4,0,0,0,6,3,2015,south
Tuolumne,3,1,13,8,10,6,16,0,0,1,21,4,2015,south
