"",Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
NORTHERN REGION,,,,,,,,,,,,,,,,,
Amador-El Dorado,248,31,4,51,,25,,31,,1,,19,1,0,4,53,28
Butte,2,1,0,0,,,0,,0,0,,0,0,0,0,1,0
Humboldt-Del Norte,133,19,8,12,,10,,,5,1,,20,3,0,0,45,10
Lassen-Modoc,43,2,2,9,,,0,,3,6,,5,0,1,0,9,6
Mendocino,118,7,5,24,,14,,,9,0,,15,1,1,0,29,13
Nevada-Yuba-Placer,319,16,22,67,,19,,37,,3,,34,5,0,5,94,17
San Mateo-Santa Cruz,55,2,5,2,,11,,,3,0,,10,0,0,2,16,4
Santa Clara,121,0,1,2,,13,,14,,1,,10,0,1,2,61,16
Shasta-Trinity,131,13,5,28,,11,,,6,9,,13,2,0,4,28,12
Siskiyou,161,3,8,20,,10,,,5,21,,60,1,1,3,22,7
Sonoma-Lake-Napa,278,29,13,20,,40,,28,,0,,33,3,0,2,73,37
Tehama-Glenn,63,2,1,5,,,9,14,,2,,5,0,0,0,19,6
TOTAL,"1,672",125,74,240,,162,,155,,44,,224,16,4,22,450,156
SOUTHERN REGION,,,,,,,,,,,,,,,,,
Fresno-Kings,108,27,1,14,,18,,,5,4,,10,0,0,2,21,6
Madera-Mariposa,176,7,1,29,,,9,19,,1,,34,1,0,1,39,35
Riverside,133,13,7,6,,,5,,5,2,,22,5,0,1,63,4
San Benito-Monterey,81,6,2,4,,15,,,8,0,,12,1,0,1,16,16
San Bernardino,112,4,17,11,,,6,,3,3,,22,1,1,0,39,5
San Diego,131,10,7,14,,16,,,8,5,,17,2,0,3,36,13
San Luis Obispo,146,8,7,13,,17,,20,,0,,22,0,0,3,37,19
Tulare,71,28,1,6,,,5,,3,1,,4,1,0,1,14,7
Tuolumne-Calaveras,186,2,4,43,,17,,24,,2,,21,5,0,3,45,20
TOTAL,"1,144",105,47,140,,108,,95,,18,,164,16,1,15,310,125
STATE TOTAL,"2,816",230,121,380,,270,,250,,62,,388,32,5,37,760,281
