county,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,P-W-F,Powerline,Railroad,Smoking,Undet.,Vehicle,year,region
Alameda,0,0,1,8,0,12,0,1,0,21,2,2,2010,north
Amador,0,0,15,4,0,19,0,2,0,0,1,0,2010,north
Butte,8,1,13,14,0,24,0,3,0,2,18,1,2010,north
Calaveras,7,2,10,12,2,24,0,8,0,2,18,0,2010,south
Colusa,1,0,1,0,0,0,0,0,0,2,0,0,2010,north
Contra Costa,0,1,1,2,0,25,0,1,0,9,1,1,2010,north
Del Norte,6,0,0,0,0,12,0,1,0,0,5,0,2010,north
E. San Joaquin,0,0,0,0,0,1,0,2,0,0,3,1,2010,south
E. Stanislaus,7,0,1,3,0,9,0,1,0,2,8,1,2010,south
E. Trinity,0,0,2,2,0,5,0,1,2,2,0,0,2010,north
El Dorado,5,0,36,7,0,37,0,3,0,3,17,1,2010,north
Fresno,2,0,5,7,0,10,0,6,0,1,19,1,2010,south
Glenn,0,0,1,2,0,0,0,0,0,1,0,0,2010,north
Humboldt,4,3,5,6,0,26,0,8,0,3,26,0,2010,north
Inyo,3,0,1,0,1,1,0,1,0,0,6,1,2010,south
Kings,0,0,0,0,0,0,0,0,0,0,1,0,2010,south
Lake,4,1,2,10,0,9,0,3,3,12,1,1,2010,north
Lassen,2,0,4,2,5,15,0,0,0,2,4,0,2010,north
Madera,0,0,4,3,2,17,0,0,0,0,21,1,2010,south
Mariposa,0,0,4,8,0,10,0,2,0,0,6,1,2010,south
Mendocino,8,1,11,15,0,23,0,4,0,1,23,1,2010,north
Merced,1,0,1,4,0,3,0,3,0,1,14,1,2010,south
Modoc,1,0,1,0,5,7,0,0,0,0,2,0,2010,north
Monterey,3,0,5,10,0,19,0,3,0,1,10,2,2010,south
Napa,3,1,6,6,0,6,0,2,1,20,3,3,2010,north
Nevada,3,2,19,5,0,18,0,2,0,1,22,0,2010,north
Placer,8,0,7,17,0,30,0,3,0,1,44,0,2010,north
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north
Riverside,6,0,7,33,7,47,0,10,0,6,64,3,2010,south
Sacramento,4,0,1,3,0,5,0,6,0,0,4,0,2010,north
San Benito,2,2,2,4,0,6,0,1,0,0,4,1,2010,south
San Bernardino,8,0,16,8,6,28,0,4,0,0,46,0,2010,south
San Diego,7,0,16,18,8,40,0,3,0,0,43,1,2010,south
San Joaquin,0,0,1,1,0,5,0,0,0,0,3,0,2010,north
San Luis Obispo,0,0,7,18,1,21,0,2,0,0,29,1,2010,south
San Mateo,0,0,0,1,0,5,0,2,0,1,6,0,2010,north
Santa Clara,4,0,1,7,0,12,0,0,1,11,1,1,2010,north
Santa Cruz,5,0,3,4,0,16,0,4,0,0,13,1,2010,north
Shasta,5,3,19,15,1,26,0,1,1,38,0,0,2010,north
Sierra,0,0,0,0,0,0,0,0,0,0,3,0,2010,north
Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,2010,north
Solano,0,0,2,3,0,4,0,0,0,5,0,0,2010,north
Sonoma,1,0,7,9,0,31,0,7,1,15,4,4,2010,north
Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north
Trinity,0,0,0,0,0,1,0,0,0,0,0,0,2010,north
Tulare,20,0,3,15,1,10,0,2,0,0,24,1,2010,south
Tuolumne,1,0,5,4,2,18,0,2,0,0,24,3,2010,south
W. San Joaquin,0,0,0,1,0,9,0,2,0,9,0,0,2010,north
W. Stanislaus,1,0,0,5,0,10,0,1,0,7,2,2,2010,north
W. Trinity,0,0,0,0,0,0,0,0,0,0,0,0,2010,north
Yolo,0,0,1,3,0,1,0,0,0,4,0,0,2010,north
Yuba,4,0,6,2,0,9,0,3,0,2,16,0,2010,north
