county,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
Alameda,1,0,0,9,0,16,5,0,0,0,14,4,2011,north
Amador,1,0,10,6,0,21,2,0,0,0,8,3,2011,north
Butte,24,1,29,16,2,48,9,0,0,2,27,6,2011,north
Calaveras,5,1,37,11,3,45,2,1,0,2,25,2,2011,south
Colusa,3,1,0,2,0,2,0,0,0,0,3,0,2011,north
Contra Costa,3,0,3,5,1,32,1,0,0,0,21,2,2011,north
Del Norte,2,1,3,1,0,4,0,0,0,0,6,0,2011,north
E. San Joaquin,1,0,0,1,0,4,0,0,0,0,1,0,2011,south
E. Stanislaus,3,3,0,3,1,22,1,0,0,1,16,2,2011,south
E. Trinity,3,1,1,2,0,10,3,0,0,1,5,2,2011,north
El Dorado,2,0,42,18,2,53,7,0,0,1,14,4,2011,north
Fresno,5,1,13,24,2,38,11,0,0,0,14,2,2011,south
Glenn,0,0,0,0,0,1,0,0,0,0,1,0,2011,north
Humboldt,5,1,14,3,0,17,3,0,0,1,32,4,2011,north
Inyo,2,1,2,3,1,0,0,0,0,1,3,0,2011,south
Kings,0,0,0,2,0,2,0,0,0,0,1,0,2011,south
Lake,2,2,11,2,0,16,2,0,0,2,20,0,2011,north
Lassen,3,0,10,3,8,4,1,1,0,0,5,1,2011,north
Madera,2,1,14,7,1,16,3,1,0,0,27,1,2011,south
Mariposa,1,0,10,6,1,18,1,0,0,0,12,0,2011,south
Mendocino,13,2,21,10,0,36,2,1,0,2,38,3,2011,north
Merced,0,0,0,2,0,8,2,0,0,0,10,1,2011,south
Modoc,0,0,3,1,3,18,0,0,0,0,4,0,2011,north
Monterey,6,1,9,16,0,27,5,0,0,0,7,1,2011,south
Napa,0,0,3,6,0,10,2,0,0,0,8,1,2011,north
Nevada,2,1,15,6,3,15,1,0,0,2,14,0,2011,north
Placer,1,1,13,9,1,22,7,0,0,3,20,1,2011,north
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north
Riverside,7,0,12,29,5,53,10,0,1,7,78,6,2011,south
Sacramento,2,0,0,2,0,7,1,0,0,0,3,0,2011,north
San Benito,2,0,1,5,0,8,3,0,0,0,4,0,2011,south
San Bernardino,5,0,5,19,3,40,5,1,0,3,21,0,2011,south
San Diego,6,0,8,28,8,57,9,0,0,2,77,1,2011,south
San Joaquin,0,0,0,1,0,4,0,0,0,0,2,0,2011,north
San Luis Obispo,2,0,9,24,1,54,6,0,0,0,27,3,2011,south
San Mateo,0,0,0,2,0,5,0,0,0,0,3,0,2011,north
Santa Clara,2,2,2,6,0,13,5,0,0,0,8,0,2011,north
Santa Cruz,0,2,6,5,0,27,9,0,0,0,11,0,2011,north
Shasta,12,1,27,11,18,51,4,1,0,3,29,1,2011,north
Sierra,0,0,0,0,0,0,0,0,0,0,5,0,2011,north
Siskiyou,1,0,13,4,8,20,1,1,0,0,5,4,2011,north
Solano,1,0,4,2,0,2,0,0,0,0,6,1,2011,north
Sonoma,0,1,9,9,0,29,6,0,0,0,17,3,2011,north
Sutter,0,0,0,0,0,1,0,0,0,0,3,0,2011,north
Tehama,2,0,8,11,0,45,2,0,0,2,13,0,2011,north
Tulare,10,1,4,3,2,14,3,0,0,1,18,1,2011,south
Tuolumne,2,0,31,2,0,66,2,0,0,1,16,1,2011,south
W. San Joaquin,0,0,1,1,0,9,0,0,0,0,9,1,2011,north
W. Stanislaus,0,0,1,4,0,3,2,0,0,0,5,2,2011,north
W. Trinity,0,0,0,0,0,0,0,0,0,0,1,0,2011,north
Yolo,0,0,6,4,0,3,0,0,0,0,9,1,2011,north
Yuba,3,0,5,7,0,18,3,0,0,1,16,2,2011,north
