county,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
Alameda,0,1,0,6,5,0,1,0,0,1,13,6,2014,north
Amador,2,3,14,6,12,1,15,1,0,0,9,4,2014,north
Butte,40,2,34,11,9,4,47,6,0,2,22,15,2014,north
Calaveras,1,3,17,12,17,9,17,3,0,1,13,7,2014,south
Colusa,0,0,0,0,0,0,0,1,0,0,0,1,2014,north
Contra Costa,1,1,1,5,1,0,3,0,0,0,15,2,2014,north
Del Norte,2,7,3,0,0,1,4,1,0,0,8,1,2014,north
E. San Joaquin,0,0,0,2,2,0,1,0,0,0,0,2,2014,south
E. Stanislaus,1,1,1,1,4,0,2,0,0,0,8,3,2014,south
E. Trinity,3,0,4,0,0,5,2,0,0,0,0,1,2014,north
El Dorado,3,3,41,11,18,9,32,5,0,4,26,22,2014,north
Fresno,5,2,12,5,4,1,9,0,0,1,13,5,2014,south
Glenn,0,0,0,0,0,0,2,0,0,0,2,0,2014,north
Humboldt,40,17,8,8,4,0,15,0,0,2,30,3,2014,north
Inyo,0,0,2,1,1,2,2,2,0,0,7,2,2014,south
Kings,0,0,0,0,0,0,1,0,0,0,0,2,2014,south
Lake,0,4,9,4,2,0,11,6,0,0,15,11,2014,north
Lassen,1,2,12,0,2,40,1,0,0,0,7,2,2014,north
Madera,12,4,9,2,3,2,12,1,0,1,19,7,2014,south
Mariposa,1,2,12,5,1,1,1,0,0,1,12,2,2014,south
Mendocino,17,6,22,11,6,4,34,1,0,2,20,15,2014,north
Merced,0,0,0,2,0,0,1,0,0,0,10,1,2014,south
Modoc,0,0,4,0,0,5,0,0,0,0,2,0,2014,north
Monterey,0,1,3,9,2,0,7,0,0,0,6,5,2014,south
Napa,5,0,6,12,5,0,13,0,0,1,11,5,2014,north
Nevada,3,4,20,7,5,2,7,0,0,3,21,3,2014,north
Placer,1,4,16,10,16,5,13,3,3,5,44,6,2014,north
Plumas,0,0,1,0,0,1,2,0,0,0,3,0,2014,north
Riverside,4,6,12,7,9,5,15,3,0,4,38,3,2014,south
Sacramento,1,0,1,2,2,0,2,0,0,0,5,2,2014,north
San Benito,1,0,1,3,0,0,4,0,0,0,1,1,2014,south
San Bernardino,10,18,25,1,2,1,24,2,1,4,25,2,2014,south
San Diego,4,6,12,11,2,2,21,0,0,2,66,19,2014,south
San Joaquin,0,0,0,0,2,0,0,0,0,0,3,1,2014,north
San Luis Obispo,0,6,4,10,7,0,21,1,0,2,22,12,2014,south
San Mateo,0,0,1,2,0,0,1,1,0,0,6,1,2014,north
Santa Clara,2,3,0,3,5,0,2,1,0,3,13,5,2014,north
Santa Cruz,11,7,11,8,2,0,5,1,0,2,13,2,2014,north
Shasta,15,6,38,4,15,17,15,4,0,6,24,20,2014,north
Sierra,0,0,0,0,0,0,0,0,0,0,0,0,2014,north
Siskiyou,5,5,8,5,2,47,62,0,1,2,18,5,2014,north
Solano,0,0,2,0,3,0,3,0,0,0,3,1,2014,north
Sonoma,4,13,24,21,14,0,21,1,0,0,11,11,2014,north
Sutter,0,0,0,0,0,0,0,0,0,0,0,0,2014,north
Tehama,1,0,10,2,7,4,14,2,0,0,23,5,2014,north
Tulare,10,2,4,3,4,0,5,0,0,1,10,6,2014,south
Tuolumne,5,1,17,9,5,3,16,2,0,0,31,5,2014,south
W. San Joaquin,0,0,0,0,0,0,0,0,0,0,0,0,2014,north
W. Stanislaus,0,0,0,0,0,0,0,0,0,0,8,7,2014,north
Yolo,0,0,0,2,6,0,3,0,0,1,4,1,2014,north
Yuba,2,1,11,6,2,1,5,0,0,2,17,2,2014,north
