county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Fresno,13,36,1,1,0,0,0,2010,south
Kings,0,1,0,0,0,0,0,2010,south
Madera,23,23,2,0,0,0,0,2010,south
Mariposa,10,17,4,0,0,0,0,2010,south
Merced,6,11,5,4,1,1,0,2010,south
Riverside,45,113,17,4,3,1,0,2010,south
Monterey,16,26,11,0,0,0,0,2010,south
San Benito,4,12,6,0,0,0,0,2010,south
Inyo,12,2,0,0,0,0,0,2010,south
San Bernardino,52,60,4,0,0,0,0,2010,south
San Diego,65,59,7,3,1,1,0,2010,south
San Luis Obispo,23,48,4,3,0,1,0,2010,south
Tulare,28,31,11,4,2,0,0,2010,south
Calaveras,45,38,1,1,0,0,0,2010,south
E. San Joaquin,3,3,1,0,0,0,0,2010,south
E. Stanislaus,15,16,1,0,0,0,0,2010,south
Tuolumne,16,36,7,0,0,0,0,2010,south
