county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Amador,25,23,3,0,0,0,0,2011,north
El Dorado,105,37,1,0,0,0,0,2011,north
Sacramento,4,9,2,0,0,0,0,2011,north
San Joaquin,2,5,0,0,0,0,0,2011,north
Butte,94,62,8,0,0,0,0,2011,north
Plumas,1,2,0,0,0,0,0,2011,north
Tehama,0,1,0,0,0,0,0,2011,north
Del Norte,14,3,0,0,0,0,0,2011,north
Humboldt,43,33,3,0,1,0,0,2011,north
Siskiyou,0,1,0,0,0,0,0,2011,north
W. Trinity,0,1,0,0,0,0,0,2011,north
Lassen,23,11,2,0,0,0,0,2011,north
Modoc,17,11,1,0,0,0,0,2011,north
Plumas,5,1,0,0,0,0,0,2011,north
Mendocino,46,81,0,0,1,0,0,2011,north
Nevada,37,21,1,0,0,0,0,2011,north
Placer,39,39,0,0,0,0,0,2011,north
Sierra,0,4,1,0,0,0,0,2011,north
Sutter,0,1,1,2,0,0,0,2011,north
Yuba,14,33,5,2,1,0,0,2011,north
San Mateo,4,6,0,0,0,0,0,2011,north
Santa Cruz,41,19,0,0,0,0,0,2011,north
Alameda,15,24,7,1,2,0,0,2011,north
Contra Costa,27,32,8,1,0,0,0,2011,north
Santa Clara,20,14,4,0,0,0,0,2011,north
W. San Joaquin,11,7,2,1,0,0,0,2011,north
W. Stanislaus,5,11,1,0,0,0,0,2011,north
E. Trinity,6,20,2,0,0,0,0,2011,north
Shasta (Shasta-Trinity),76,74,8,0,0,0,0,2011,north
Shasta (Siskiyou),1,0,0,0,0,0,0,2011,north
Siskiyou,34,18,4,0,0,0,0,2011,north
Colusa,6,3,2,0,0,0,0,2011,north
Lake,22,32,3,0,0,0,0,2011,north
Napa,10,17,2,0,1,0,0,2011,north
Solano,2,12,1,0,1,0,0,2011,north
Sonoma,43,30,1,0,0,0,0,2011,north
Yolo,5,14,4,0,0,0,0,2011,north
Glenn,0,2,0,0,0,0,0,2011,north
Tehama,37,37,8,1,0,0,0,2011,north
