,A,B,C,D,E,F,G,,
county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Amador,34,18,3,0,0,0,0,2012,north
El Dorado,121,42,5,1,0,0,0,2012,north
Sacramento,5,4,3,0,0,0,0,2012,north
Butte,53,56,4,1,0,0,0,2012,north
Tehama,1,2,0,0,0,1,0,2012,north
Del Norte,25,5,5,0,0,0,0,2012,north
Humboldt,52,34,1,1,0,0,0,2012,north
Lassen,12,10,2,1,0,0,0,2012,north
Modoc,3,6,0,0,0,0,0,2012,north
Plumas,5,2,0,1,0,0,0,2012,north
Mendocino,45,47,7,1,1,1,0,2012,north
Nevada,42,48,0,0,0,0,0,2012,north
Placer,64,46,0,0,0,1,0,2012,north
Sierra,0,1,0,0,0,0,0,2012,north
Yuba,10,34,3,0,0,0,0,2012,north
San Mateo,8,6,1,0,0,0,0,2012,north
Santa Cruz,28,14,0,1,0,0,0,2012,north
Alameda,3,9,3,0,0,0,0,2012,north
Contra Costa,10,9,1,1,0,0,0,2012,north
Santa Clara,16,18,0,0,0,0,0,2012,north
W. San Joaquin,0,2,1,1,0,0,0,2012,north
W. Stanislaus,5,4,1,0,0,0,0,2012,north
E. Trinity,9,13,0,0,0,0,0,2012,north
Shasta (Shasta-Trinity),49,112,5,4,0,1,0,2012,north
Shasta (Siskiyou),1,0,0,0,0,0,0,2012,north
Siskiyou,63,29,3,3,0,0,0,2012,north
Colusa,1,1,3,0,1,2,0,2012,north
Lake,24,45,2,0,1,1,1,2012,north
Napa,12,20,0,1,0,0,0,2012,north
Solano,6,9,3,1,0,0,0,2012,north
Sonoma,74,50,4,0,0,0,0,2012,north
Yolo,6,4,0,3,1,0,1,2012,north
Glenn,3,3,0,0,0,0,0,2012,north
Tehama,30,34,8,2,1,0,1,2012,north
