county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Fresno,25,58,11,1,0,0,0,2012,south
Kings,0,5,1,0,0,0,0,2012,south
Madera,42,26,4,0,0,0,0,2012,south
Mariposa,23,24,0,0,0,1,0,2012,south
Merced,2,12,0,0,1,0,0,2012,south
Riverside,69,82,13,2,4,2,0,2012,south
Monterey,33,35,6,0,0,1,0,2012,south
San Benito,9,11,1,0,0,0,0,2012,south
Inyo,10,9,0,0,0,0,0,2012,south
San Bernardino,86,30,5,1,0,1,0,2012,south
San Diego,76,64,16,0,2,2,2,2012,south
San Luis Obispo,90,41,2,2,1,0,0,2012,south
Tulare,17,15,6,0,0,0,0,2012,south
Calaveras,87,66,7,1,0,0,0,2012,south
E. San Joaquin,0,7,2,0,0,0,0,2012,south
E. Stanislaus,9,11,2,0,0,0,0,2012,south
Tuolumne,40,39,4,1,1,0,0,2012,south
