county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Fresno,25,27,4,1,0,0,0,2014,south
Kings,2,1,0,0,0,0,0,2014,south
Madera,47,22,1,0,2,0,0,2014,south
Mariposa,20,15,1,2,0,0,0,2014,south
Merced,2,11,1,0,0,0,0,2014,south
Riverside,46,53,6,1,0,0,0,2014,south
Monterey,19,11,1,2,0,0,0,2014,south
San Benito,4,7,0,0,0,0,0,2014,south
Inyo,13,4,1,1,0,0,0,2014,south
San Bernardino,100,15,0,0,0,0,0,2014,south
San Diego,83,56,3,2,1,0,0,2014,south
San Luis Obispo,57,26,2,0,0,0,0,2014,south
Tulare,27,14,3,1,0,0,0,2014,south
Calaveras,51,44,4,1,0,0,0,2014,south
E. San Joaquin,1,3,3,0,0,0,0,2014,south
E. Stanislaus,7,9,4,1,0,0,0,2014,south
Tuolumne,55,32,5,1,1,0,0,2014,south
