county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Alameda,15,24,7,1,2,0,0,2011,north
Amador,25,23,3,0,0,0,0,2011,north
Butte,94,62,8,0,0,0,0,2011,north
Calaveras,63,62,8,0,1,0,0,2011,south
Colusa,6,3,2,0,0,0,0,2011,north
Contra Costa,27,32,8,1,0,0,0,2011,north
Del Norte,14,3,0,0,0,0,0,2011,north
E. San Joaquin,1,5,1,0,0,0,0,2011,south
E. Stanislaus,12,29,7,2,1,1,0,2011,south
E. Trinity,6,20,2,0,0,0,0,2011,north
El Dorado,105,37,1,0,0,0,0,2011,north
Fresno,14,74,18,4,0,0,0,2011,south
Glenn,0,2,0,0,0,0,0,2011,north
Humboldt,43,33,3,0,1,0,0,2011,north
Inyo,8,2,0,0,2,0,1,2011,south
Kings,1,2,2,0,0,0,0,2011,south
Lake,22,32,3,0,0,0,0,2011,north
Lassen,23,11,2,0,0,0,0,2011,north
Madera,35,27,10,1,0,0,0,2011,south
Mariposa,27,18,4,0,0,0,0,2011,south
Mendocino,46,81,0,0,1,0,0,2011,north
Merced,2,13,5,1,2,0,0,2011,south
Modoc,17,11,1,0,0,0,0,2011,north
Monterey,27,29,13,1,2,0,0,2011,south
Napa,10,17,2,0,1,0,0,2011,north
Nevada,37,21,1,0,0,0,0,2011,north
Placer,39,39,0,0,0,0,0,2011,north
Plumas,1,2,0,0,0,0,0,2011,north
Plumas,5,1,0,0,0,0,0,2011,north
Riverside,59,120,26,2,1,0,0,2011,south
Sacramento,4,9,2,0,0,0,0,2011,north
San Benito,4,16,3,0,0,0,0,2011,south
San Bernardino,46,44,8,3,0,1,0,2011,south
San Diego,87,86,18,3,0,1,1,2011,south
San Joaquin,2,5,0,0,0,0,0,2011,north
San Luis Obispo,59,57,7,1,1,1,0,2011,south
San Mateo,4,6,0,0,0,0,0,2011,north
Santa Clara,20,14,4,0,0,0,0,2011,north
Santa Cruz,41,19,0,0,0,0,0,2011,north
Shasta,76,74,8,0,0,0,0,2011,north
Sierra,0,4,1,0,0,0,0,2011,north
Siskiyou,34,18,4,0,0,0,0,2011,north
Solano,2,12,1,0,1,0,0,2011,north
Sonoma,43,30,1,0,0,0,0,2011,north
Sutter,0,1,1,2,0,0,0,2011,north
Tehama,37,37,8,1,0,0,0,2011,north
Tulare,20,27,4,1,4,1,0,2011,south
Tuolumne,76,41,2,2,0,0,0,2011,south
W. San Joaquin,11,7,2,1,0,0,0,2011,north
W. Stanislaus,5,11,1,0,0,0,0,2011,north
W. Trinity,0,1,0,0,0,0,0,2011,north
Yolo,5,14,4,0,0,0,0,2011,north
Yuba,14,33,5,2,1,0,0,2011,north
